frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22122,652.292,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22137,15.067,1,true,13,1,-1,-1,0,0,0,0,0,0,0,0
2,22163,26.218,2,true,19,2,-1,-1,0,0,0,1467,2.4091,0.0016,0,0
3,22166,2.74,2,false,19,2,-1,-1,0,0,0,533,2.4091,0.0016,0,0
4,22170,4.156,2,false,19,2,-1,-1,0,0,0,1020,2.4091,0.0016,0,0
5,22177,6.896,2,false,19,2,-1,-1,0,0,0,577,2.4091,0.0016,0,0
6,22184,6.902,2,false,19,2,-1,-1,0,0,0,562,2.4091,0.0016,0,0
7,22191,6.932,2,false,19,2,-1,-1,0,0,0,569,2.4091,0.0016,0,0
8,22198,6.871,2,false,19,2,-1,-1,0,0,0,570,2.4091,0.0016,0,0
9,22205,6.919,2,false,19,2,-1,-1,0,0,0,600,2.4091,0.0016,0,0
10,22211,6.877,2,false,19,2,-1,-1,0,0,0,541,2.4091,0.0016,0,0
11,22218,6.924,2,false,19,2,-1,-1,0,0,0,579,2.4091,0.0016,0,0
12,22225,6.869,2,false,19,2,-1,-1,0,0,1,19,2.4091,0.0016,0,0
13,22232,6.895,3,true,3,2,1,1,0,0,1,19,2.4091,0.0016,0,0
14,22239,6.935,3,false,3,3,1,2,0,0,1,19,3.5499,0.0016,0,0
15,22246,6.88,3,false,3,3,1,2,0,0,1,19,3.5499,0.0016,0,0
16,22253,6.928,3,false,3,3,1,2,0,0,1,19,3.5499,0.0016,0,0
17,22260,6.861,3,false,3,4,1,3,0,0,1,19,3.5499,0.0016,0,0
18,22267,6.914,3,false,3,4,1,3,0,0,1,19,3.5499,0.0016,0,0
19,22274,6.939,3,false,3,4,1,3,0,0,1,19,3.5499,0.0016,0,0
20,22280,6.842,3,false,3,5,1,4,0,0,1,19,3.5499,0.0016,0,0
21,22288,6.958,3,false,3,5,1,4,0,0,1,19,3.5499,0.0016,0,0
22,22294,6.863,3,false,3,6,1,5,0,0,2,19,3.5499,0.0016,0,0
23,22301,6.888,4,true,2,6,2,4,0,0,2,19,2.0547,0.0019,0,0
24,22308,6.936,4,false,2,6,2,4,0,0,2,19,2.0547,0.0019,0,0
25,22315,6.867,4,false,2,7,2,5,0,0,2,19,2.0547,0.0019,0,0
26,22322,6.939,4,false,2,7,2,5,0,0,2,19,2.0547,0.0019,0,0
27,22329,6.863,4,false,2,7,2,5,0,0,2,19,2.0547,0.0019,0,0
28,22336,6.895,4,false,2,8,2,6,0,0,2,19,2.0547,0.0019,0,0
29,22343,6.94,4,false,2,8,2,6,0,0,2,19,2.0547,0.0019,0,0
30,22349,6.865,4,false,2,8,2,6,0,0,2,19,2.0547,0.0019,0,0
31,22356,6.933,4,false,2,9,2,7,0,0,2,19,2.0547,0.0019,0,0
32,22363,6.87,4,false,2,9,2,7,0,0,2,21,2.0547,0.0019,0,0
33,22370,6.896,4,false,2,9,2,7,0,0,2,19,2.0547,0.0019,0,0
34,22377,6.933,4,false,2,9,2,7,0,0,2,20,2.0547,0.0019,0,0
35,22384,6.871,4,false,2,9,2,7,0,0,2,20,2.0547,0.0019,0,0
36,22391,6.941,4,false,2,9,2,7,0,0,2,21,2.0547,0.0019,0,0
37,22398,6.864,4,false,2,9,2,7,0,0,2,23,2.0547,0.0019,0,0
38,22405,6.895,4,false,2,9,2,7,0,0,2,22,2.0547,0.0019,0,0
39,22412,6.94,4,false,2,9,2,7,0,0,2,46,2.0547,0.0019,0,0
40,22418,6.856,4,false,2,9,2,7,0,0,3,21,2.0547,0.0019,0,0
41,22428,9.958,5,true,4,9,3,6,0,0,3,18,3.5098,0.0022,0,0
42,22432,3.829,5,false,4,9,3,6,0,0,3,18,3.5098,0.0022,0,0
43,22439,6.913,5,false,4,9,3,6,0,0,3,18,3.5098,0.0022,0,0
44,22446,6.939,5,false,4,10,3,7,0,0,3,18,3.5098,0.0022,0,0
45,22453,6.862,5,false,4,10,3,7,0,0,3,23,3.5098,0.0022,0,0
46,22460,6.939,5,false,4,10,3,7,0,0,3,28,3.5098,0.0022,0,0
47,22467,6.867,5,false,4,10,3,7,0,0,3,21,3.5098,0.0022,0,0
48,22474,6.893,5,false,4,10,3,7,0,0,3,30,3.5098,0.0022,0,0
49,22481,6.949,5,false,4,10,3,7,0,0,3,45,3.5098,0.0022,0,0
50,22488,6.86,5,false,4,10,3,7,0,0,3,31,3.5098,0.0022,0,0
51,22495,6.966,5,false,4,10,3,7,0,0,3,31,3.5098,0.0022,0,0
52,22502,6.848,5,false,4,10,3,7,0,0,3,26,3.5098,0.0022,0,0
53,22508,6.886,5,false,4,10,3,7,0,0,3,45,3.5098,0.0022,0,0
54,22515,6.944,5,false,4,10,3,7,0,0,3,24,3.5098,0.0022,0,0
55,22522,6.857,5,false,4,10,3,7,0,0,3,25,3.5098,0.0022,0,0
56,22529,6.958,5,false,4,10,3,7,0,0,3,25,3.5098,0.0022,0,0
57,22536,6.839,5,false,4,10,3,7,0,0,3,30,3.5098,0.0022,0,0
58,22543,6.896,5,false,4,10,3,7,0,0,3,24,3.5098,0.0022,0,0
59,22550,6.951,5,false,4,10,3,7,0,0,3,21,3.5098,0.0022,0,0
60,22556,6.852,5,false,4,10,3,7,0,0,3,29,3.5098,0.0022,0,0
61,22563,6.944,5,false,4,10,3,7,0,0,3,23,3.5098,0.0022,0,0
62,22570,6.861,5,false,4,10,3,7,0,0,3,26,3.5098,0.0022,0,0
63,22577,6.932,5,false,4,10,3,7,0,0,3,47,3.5098,0.0022,0,0
64,22584,6.862,5,false,4,10,3,7,0,0,3,22,3.5098,0.0022,0,0
65,22591,6.9,5,false,4,10,3,7,0,0,3,23,3.5098,0.0022,0,0
66,22598,6.935,5,false,4,10,3,7,0,0,3,20,3.5098,0.0022,0,0
67,22605,6.867,5,false,4,10,3,7,0,0,4,22,3.5098,0.0022,0,0
68,22614,9.489,6,true,3,10,4,6,0,0,4,21,3.7156,0.0023,0,0
69,22619,4.309,6,false,3,10,4,6,0,0,4,21,3.7156,0.0023,0,0
70,22626,6.908,6,false,3,10,4,6,0,0,4,21,3.7156,0.0023,0,0
71,22632,6.932,6,false,3,11,4,7,0,0,4,21,3.7156,0.0023,0,0
72,22639,6.874,6,false,3,11,4,7,0,0,4,24,3.7156,0.0023,0,0
73,22646,6.937,6,false,3,11,4,7,0,0,4,29,3.7156,0.0023,0,0
74,22653,6.847,6,false,3,11,4,7,0,0,4,39,3.7156,0.0023,0,0
75,22660,6.938,6,false,3,11,4,7,0,0,4,56,3.7156,0.0023,0,0
76,22667,6.866,6,false,3,11,4,7,0,0,4,22,3.7156,0.0023,0,0
77,22674,6.894,6,false,3,11,4,7,0,0,4,36,3.7156,0.0023,0,0
78,22681,6.928,6,false,3,11,4,7,0,0,4,19,3.7156,0.0023,0,0
79,22688,6.913,6,false,3,11,4,7,0,0,4,21,3.7156,0.0023,0,0
80,22695,6.917,6,false,3,11,4,7,0,0,4,27,3.7156,0.0023,0,0
81,22702,6.85,6,false,3,11,4,7,0,0,4,33,3.7156,0.0023,0,0
82,22708,6.91,6,false,3,11,4,7,0,0,4,35,3.7156,0.0023,0,0
83,22715,6.958,6,false,3,11,4,7,0,0,4,37,3.7156,0.0023,0,0
84,22722,6.84,6,false,3,11,4,7,0,0,4,37,3.7156,0.0023,0,0
85,22729,6.937,6,false,3,11,4,7,0,0,4,37,3.7156,0.0023,0,0
86,22736,6.95,6,false,3,11,4,7,0,0,4,28,3.7156,0.0023,0,0
87,22743,6.815,6,false,3,11,4,7,0,0,4,36,3.7156,0.0023,0,0
