frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20558,541.779,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20569,11.374,1,true,9,1,-1,-1,0,0,0,0,0,0,0,0
2,20579,9.507,1,false,9,1,-1,-1,0,0,0,0,0,0,0,0
3,20592,13.583,2,true,12,2,-1,-1,0,0,0,1194,1.8747,0.0009,0,0
4,20594,2.041,2,false,12,2,-1,-1,0,0,0,677,1.8747,0.0009,0,0
5,20599,4.847,2,false,12,2,-1,-1,0,0,0,523,1.8747,0.0009,0,0
6,20606,6.915,2,false,12,2,-1,-1,0,0,0,493,1.8747,0.0009,0,0
7,20613,6.884,2,false,12,2,-1,-1,0,0,0,613,1.8747,0.0009,0,0
8,20620,6.898,2,false,12,2,-1,-1,0,0,1,13,1.8747,0.0009,0,0
9,20628,8.394,3,true,4,3,1,2,0,0,1,13,3.4784,0.0013,0,0
10,20634,5.409,3,false,4,3,1,2,0,0,1,13,3.4784,0.0013,0,0
11,20641,6.925,3,false,4,3,1,2,0,0,1,13,3.4784,0.0013,0,0
12,20648,7.053,4,true,2,4,2,2,0,0,2,13,1.891,0.0008,0,0
13,20654,6.72,4,false,2,4,2,2,0,0,2,13,1.891,0.0008,0,0
14,20661,6.919,4,false,2,4,2,2,0,0,2,13,1.891,0.0008,0,0
15,20668,6.979,5,true,2,5,3,2,0,0,3,13,2.7213,0.0009,0,0
16,20675,6.808,5,false,2,5,3,2,0,0,3,13,2.7213,0.0009,0,0
17,20682,6.914,5,false,2,5,3,2,0,0,3,13,2.7213,0.0009,0,0
18,20689,6.88,5,false,2,5,3,2,0,0,4,13,2.7213,0.0009,0,0
19,20696,6.911,6,true,2,6,4,2,0,0,4,13,1.9269,0.0011,0,0
20,20703,6.898,6,false,2,6,4,2,0,0,4,13,1.9269,0.0011,0,0
21,20710,6.887,6,false,2,6,4,2,0,0,4,13,1.9269,0.0011,0,0
22,20720,10.25,7,true,2,7,5,2,0,0,5,13,2.3724,0.001,0,0
23,20723,3.556,7,false,2,7,5,2,0,0,5,13,2.3724,0.001,0,0
24,20730,6.896,7,false,2,7,5,2,0,0,5,13,2.3724,0.001,0,0
25,20737,6.924,8,true,2,8,6,2,0,0,6,13,1.8729,0.0012,0,0
26,20744,6.905,8,false,2,8,6,2,0,0,6,13,1.8729,0.0012,0,0
27,20751,6.899,8,false,2,8,6,2,0,0,6,13,1.8729,0.0012,0,0
28,20758,6.87,9,true,2,9,7,2,0,0,7,13,1.8174,0.0011,0,0
29,20765,6.912,9,false,2,9,7,2,0,0,7,13,1.8174,0.0011,0,0
30,20772,6.925,9,false,2,9,7,2,0,0,7,13,1.8174,0.0011,0,0
31,20779,6.862,10,true,2,10,8,2,0,0,8,13,1.8968,0.0011,0,0
32,20786,6.948,10,false,2,10,8,2,0,0,8,13,1.8968,0.0011,0,0
33,20792,6.861,10,false,2,10,8,2,0,0,8,13,1.8968,0.0011,0,0
34,20801,8.166,11,true,3,11,9,2,0,0,9,13,2.1889,0.0015,0,0
35,20806,5.656,11,false,3,11,9,2,0,0,9,13,2.1889,0.0015,0,0
36,20813,6.874,11,false,3,11,9,2,0,0,9,13,2.1889,0.0015,0,0
37,20820,6.92,12,true,2,12,10,2,0,0,10,13,1.918,0.0011,0,0
38,20827,6.927,12,false,2,12,10,2,0,0,10,13,1.918,0.0011,0,0
39,20834,6.856,12,false,2,12,10,2,0,0,10,13,1.918,0.0011,0,0
40,20841,7.142,13,true,2,13,11,2,0,0,11,13,3.2161,0.001,0,0
41,20848,6.668,13,false,2,13,11,2,0,0,11,13,3.2161,0.001,0,0
42,20855,6.921,13,false,2,13,11,2,0,0,11,13,3.2161,0.001,0,0
43,20861,6.869,14,true,2,14,12,2,0,0,12,13,1.94,0.0011,0,0
44,20868,6.899,14,false,2,14,12,2,0,0,12,13,1.94,0.0011,0,0
45,20875,6.936,14,false,2,14,12,2,0,0,12,13,1.94,0.0011,0,0
46,20883,7.442,15,true,2,15,13,2,0,0,13,13,1.8738,0.001,0,0
47,20889,6.388,15,false,2,15,13,2,0,0,13,13,1.8738,0.001,0,0
48,20896,6.841,15,false,2,15,13,2,0,0,13,13,1.8738,0.001,0,0
49,20903,6.89,16,true,2,16,14,2,0,0,14,13,1.9299,0.001,0,0
50,20910,6.976,16,false,2,16,14,2,0,0,14,13,1.9299,0.001,0,0
51,20917,6.831,16,false,2,16,14,2,0,0,14,13,1.9299,0.001,0,0
52,20924,7.275,17,true,2,17,15,2,0,0,15,13,2.0313,0.0012,0,0
53,20930,6.523,17,false,2,17,15,2,0,0,15,13,2.0313,0.0012,0,0
54,20937,6.897,17,false,2,17,15,2,0,0,15,13,2.0313,0.0012,0,0
55,20944,6.919,18,true,2,18,16,2,0,0,16,13,1.8388,0.0013,0,0
56,20951,6.895,18,false,2,18,16,2,0,0,16,13,1.8388,0.0013,0,0
57,20958,6.911,18,false,2,18,16,2,0,0,16,13,1.8388,0.0013,0,0
58,20965,6.87,19,true,2,19,17,2,0,0,17,13,2.5295,0.0009,0,0
59,20972,6.918,19,false,2,19,17,2,0,0,17,13,2.5295,0.0009,0,0
60,20979,6.925,19,false,2,19,17,2,0,0,17,13,2.5295,0.0009,0,0
61,20986,7.127,20,true,2,20,18,2,0,0,18,13,2.1146,0.0012,0,0
62,20993,6.702,20,false,2,20,18,2,0,0,18,13,2.1146,0.0012,0,0
63,20999,6.833,20,false,2,20,18,2,0,0,18,13,2.1146,0.0012,0,0
64,21006,7.06,21,true,2,21,19,2,0,0,19,13,2.4626,0.001,0,0
65,21013,6.745,21,false,2,21,19,2,0,0,19,13,2.4626,0.001,0,0
66,21020,6.906,21,false,2,21,19,2,0,0,19,13,2.4626,0.001,0,0
67,21027,7.102,22,true,2,22,20,2,0,0,20,13,1.8418,0.001,0,0
68,21034,6.704,22,false,2,22,20,2,0,0,20,13,1.8418,0.001,0,0
69,21041,6.912,22,false,2,23,20,3,0,0,20,13,1.8418,0.001,0,0
70,21048,6.891,22,false,2,23,20,3,0,0,21,13,2.191,0.002,0,0
71,21055,6.883,23,true,3,23,21,2,0,0,21,13,2.191,0.002,0,0
72,21062,6.94,23,false,3,24,21,3,0,0,21,13,2.191,0.002,0,0
73,21068,6.872,23,false,3,24,21,3,0,0,22,13,1.9215,0.0018,0,0
74,21075,6.938,24,true,2,24,22,2,0,0,22,13,1.9215,0.0018,0,0
75,21082,6.845,24,false,2,25,22,3,0,0,22,13,1.9215,0.0018,0,0
