frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20861,552.797,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20873,11.966,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20896,23.153,2,true,13,2,-1,-1,0,0,0,1401,1.9846,0.0011,0,0
3,20898,1.901,2,false,13,2,-1,-1,0,0,0,492,1.9846,0.0011,0,0
4,20903,4.997,2,false,13,2,-1,-1,0,0,0,490,1.9846,0.0011,0,0
5,20910,6.892,2,false,13,2,-1,-1,0,0,0,501,1.9846,0.0011,0,0
6,20917,6.929,2,false,13,2,-1,-1,0,0,0,543,1.9846,0.0011,0,0
7,20924,6.877,2,false,13,2,-1,-1,0,0,1,17,1.9846,0.0011,0,0
8,20932,8.557,3,true,3,3,1,2,0,0,1,17,3.303,0.0014,0,0
9,20938,5.233,3,false,3,3,1,2,0,0,1,17,3.303,0.0014,0,0
10,20945,6.92,3,false,3,3,1,2,0,0,1,17,3.303,0.0014,0,0
11,20951,6.899,3,false,3,4,1,3,0,0,1,17,3.303,0.0014,0,0
12,20958,6.882,3,false,3,4,1,3,0,0,2,17,2.1022,0.0014,0,0
13,20965,6.915,4,true,2,4,2,2,0,0,2,17,2.1022,0.0014,0,0
14,20972,6.885,4,false,2,5,2,3,0,0,2,17,2.1022,0.0014,0,0
15,20979,6.905,4,false,2,5,2,3,0,0,3,17,2.1022,0.0014,0,0
16,20986,6.917,5,true,2,5,3,2,0,0,3,17,3.0525,0.0012,0,0
17,20994,8.394,5,false,2,6,3,3,0,0,3,17,3.0525,0.0012,0,0
18,21000,5.395,5,false,2,6,3,3,0,0,3,17,3.0525,0.0012,0,0
19,21007,6.905,5,false,2,6,3,3,0,0,4,17,1.8732,0.0014,0,0
20,21014,7.631,6,true,2,7,4,3,0,0,4,17,1.8732,0.0014,0,0
21,21020,6.18,6,false,2,7,4,3,0,0,4,17,1.8732,0.0014,0,0
