frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20637,550.005,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20649,11.995,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20658,9.629,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
3,20673,14.096,2,true,13,2,-1,-1,0,0,0,1321,1.9908,0.0014,0,0
4,20675,2.107,2,false,13,2,-1,-1,0,0,0,538,1.9908,0.0014,0,0
5,20679,4.801,2,false,13,2,-1,-1,0,0,0,503,1.9908,0.0014,0,0
6,20686,6.885,2,false,13,2,-1,-1,0,0,0,497,1.9908,0.0014,0,0
7,20693,6.9,2,false,13,2,-1,-1,0,0,0,538,1.9908,0.0014,0,0
8,20700,6.95,2,false,13,2,-1,-1,0,0,1,20,1.9908,0.0014,0,0
9,20707,6.843,3,true,3,2,1,1,0,0,1,20,1.9908,0.0014,0,0
10,20714,6.923,3,false,3,3,1,2,0,0,1,20,3.4629,0.0011,0,0
11,20721,6.885,3,false,3,3,1,2,0,0,1,20,3.4629,0.0011,0,0
12,20728,6.896,3,false,3,3,1,2,0,0,1,20,3.4629,0.0011,0,0
13,20735,7.117,4,true,2,4,2,2,0,0,2,20,1.916,0.001,0,0
14,20742,6.689,4,false,2,4,2,2,0,0,2,20,1.916,0.001,0,0
15,20749,6.91,4,false,2,4,2,2,0,0,2,20,1.916,0.001,0,0
16,20757,7.721,5,true,2,5,3,2,0,0,3,20,2.8975,0.0011,0,0
17,20762,6.063,5,false,2,5,3,2,0,0,3,20,2.8975,0.0011,0,0
18,20769,6.924,5,false,2,5,3,2,0,0,3,20,2.8975,0.0011,0,0
19,20780,10.557,6,true,2,6,4,2,0,0,4,20,1.9039,0.001,0,0
20,20783,3.232,6,false,2,6,4,2,0,0,4,20,1.9039,0.001,0,0
21,20790,6.887,6,false,2,6,4,2,0,0,4,20,1.9039,0.001,0,0
22,20797,6.893,7,true,2,7,5,2,0,0,5,20,2.392,0.0013,0,0
23,20804,6.938,7,false,2,7,5,2,0,0,5,20,2.392,0.0013,0,0
24,20811,6.871,7,false,2,7,5,2,0,0,5,20,2.392,0.0013,0,0
25,20817,6.916,8,true,2,8,6,2,0,0,6,20,1.8701,0.0011,0,0
26,20825,6.95,8,false,2,8,6,2,0,0,6,20,1.8701,0.0011,0,0
27,20831,6.834,8,false,2,8,6,2,0,0,6,20,1.8701,0.0011,0,0
28,20838,6.913,9,true,2,9,7,2,0,0,7,20,1.8745,0.0012,0,0
29,20845,6.886,9,false,2,9,7,2,0,0,7,20,1.8745,0.0012,0,0
30,20852,6.924,9,false,2,9,7,2,0,0,7,20,1.8745,0.0012,0,0
31,20859,7.405,10,true,2,10,8,2,0,0,8,20,2.1972,0.0011,0,0
32,20866,6.371,10,false,2,10,8,2,0,0,8,20,2.1972,0.0011,0,0
33,20873,6.915,10,false,2,10,8,2,0,0,8,20,2.1972,0.0011,0,0
