frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20509,535.217,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20521,11.526,1,true,9,1,-1,-1,0,0,0,0,0,0,0,0
2,20530,9.016,1,false,9,1,-1,-1,0,0,0,0,0,0,0,0
3,20544,14.507,2,true,13,2,-1,-1,0,0,0,1165,0,0,0,0
4,20546,1.746,2,false,13,2,-1,-1,0,0,0,481,0,0,0,0
5,20551,5.156,2,false,13,2,-1,-1,0,0,0,484,0,0,0,0
6,20558,6.887,2,false,13,2,-1,-1,0,0,0,485,0,0,0,0
7,20565,6.897,2,false,13,2,-1,-1,0,0,0,495,0,0,0,0
8,20572,6.913,2,false,13,2,-1,-1,0,0,0,510,0,0,0,0
9,20579,6.885,2,false,13,2,-1,-1,0,0,0,510,0,0,0,0
10,20586,6.925,2,false,13,2,-1,-1,0,0,0,556,0,0,0,0
11,20593,6.877,2,false,13,2,-1,-1,0,0,0,491,0,0,0,0
12,20600,6.92,2,false,13,2,-1,-1,0,0,0,498,0,0,0,0
13,20606,6.878,2,false,13,2,-1,-1,0,0,0,524,0,0,0,0
14,20613,6.905,2,false,13,2,-1,-1,0,0,0,490,0,0,0,0
15,20627,13.617,2,false,13,2,-1,-1,0,0,0,12069,0,0,0,0
16,20638,11.177,2,false,13,2,-1,-1,0,0,0,9661,0,0,0,0
17,20647,9.019,2,false,13,2,-1,-1,0,0,0,7689,0,0,0,0
18,20648,1.073,2,false,13,2,-1,-1,0,0,0,7689,0,0,0,0
19,20663,15.176,3,true,13,3,-1,-1,0,0,0,7689,0,0,0,0
20,20669,5.356,3,false,13,3,-1,-1,0,0,0,7689,0,0,0,0
21,20692,23.326,4,true,21,4,-1,-1,0,0,0,1542,8.6582,0.002,0,0
22,20695,3.091,4,false,21,4,-1,-1,0,0,0,1856,8.6582,0.002,0,0
23,20699,3.813,4,false,21,4,-1,-1,0,0,0,576,8.6582,0.002,15.3542,0
24,20706,6.929,4,false,21,4,-1,-1,0,0,0,575,8.6582,0.002,15.3542,0
25,20713,6.859,4,false,21,4,-1,-1,0,0,0,603,8.6582,0.002,15.3542,0
26,20720,6.928,4,false,21,4,-1,-1,0,0,0,589,8.6582,0.002,15.3542,0
27,20727,6.86,4,false,21,4,-1,-1,0,0,0,593,8.6582,0.002,15.3542,0
28,20734,6.923,4,false,21,4,-1,-1,0,0,0,585,8.6582,0.002,15.3542,0
29,20740,6.88,4,false,21,4,-1,-1,0,0,0,579,8.6582,0.002,15.3542,0
30,20747,7.065,4,false,21,4,-1,-1,0,0,0,565,8.6582,0.002,15.3542,0
31,20754,6.757,4,false,21,4,-1,-1,0,0,0,576,8.6582,0.002,15.3542,0
32,20761,6.876,4,false,21,4,-1,-1,0,0,0,575,8.6582,0.002,15.3542,0
33,20768,6.948,4,false,21,4,-1,-1,0,0,1,567,8.6582,0.002,15.3542,0
34,20775,6.861,4,false,21,4,-1,-1,0,0,1,592,7.4356,0.003,15.3542,0
35,20782,6.893,4,false,21,4,-1,-1,0,0,1,819,7.4356,0.003,15.3542,0
36,20789,7.335,4,false,21,4,-1,-1,0,0,1,635,7.4356,0.003,15.3542,0
37,20796,6.463,4,false,21,4,-1,-1,0,0,1,584,7.4356,0.003,19.1788,0
38,20803,6.938,4,false,21,4,-1,-1,0,0,1,752,7.4356,0.003,19.1788,0
39,20809,6.862,4,false,21,4,-1,-1,0,0,1,569,7.4356,0.003,19.1788,0
40,20816,6.933,4,false,21,4,-1,-1,0,0,1,586,7.4356,0.003,19.1788,0
41,20823,6.87,4,false,21,4,-1,-1,0,0,1,623,7.4356,0.003,19.1788,0
42,20830,6.903,4,false,21,4,-1,-1,0,0,1,585,7.4356,0.003,19.1788,0
43,20837,6.93,4,false,21,4,-1,-1,0,0,1,584,7.4356,0.003,19.1788,0
44,20844,6.869,4,false,21,4,-1,-1,0,0,1,565,7.4356,0.003,19.1788,0
45,20851,6.92,4,false,21,4,-1,-1,0,0,1,578,7.4356,0.003,19.1788,0
46,20858,6.877,4,false,21,4,-1,-1,0,0,1,567,7.4356,0.003,19.1788,0
47,20865,6.909,4,false,21,4,-1,-1,0,0,1,578,7.4356,0.003,19.1788,0
48,20872,6.93,4,false,21,4,-1,-1,0,0,2,584,7.4356,0.003,0,0
49,20884,12.489,4,false,21,4,-1,-1,0,0,2,11058,7.4356,0.003,0,0
50,20894,10.416,4,false,21,4,-1,-1,0,0,2,8916,7.4356,0.003,0,0
51,20903,8.555,4,false,21,4,-1,-1,0,0,2,7137,7.4356,0.003,0,0
52,20904,1.151,4,false,21,4,-1,-1,0,0,2,7137,7.4356,0.003,0,0
53,20919,14.774,5,true,14,5,-1,-1,0,0,2,7137,7.4356,0.003,0,0
54,20925,6.431,5,false,14,5,-1,-1,0,0,2,7137,7.4356,0.003,0,0
55,20936,10.255,5,false,14,5,-1,-1,0,0,2,7137,7.4356,0.003,0,0
56,20946,10.602,5,false,14,5,-1,-1,0,0,2,9238,7.4356,0.003,0,0
57,20959,13.207,5,false,14,5,-1,-1,0,0,2,11744,7.4356,0.003,0,0
58,20962,2.507,5,false,14,5,-1,-1,0,0,2,1291,7.4356,0.003,0,0
59,20978,16.464,6,true,15,6,-1,-1,0,0,2,612,8.9548,0,0,0
60,20980,1.632,6,false,15,6,-1,-1,0,0,2,603,8.9548,0,0,0
61,20985,5.271,6,false,15,6,-1,-1,0,0,2,598,8.9548,0,0,0
62,20992,6.89,6,false,15,6,-1,-1,0,0,2,641,8.9548,0,0,0
63,20999,6.9,6,false,15,6,-1,-1,0,0,2,638,8.9548,0,0,0
64,21006,6.942,6,false,15,6,-1,-1,0,0,2,649,8.9548,0,0,0
65,21013,6.884,6,false,15,6,-1,-1,0,0,2,739,8.9548,0,0,0
66,21020,6.911,6,false,15,6,-1,-1,0,0,2,684,8.9548,0,0,0
67,21027,6.863,6,false,15,6,-1,-1,0,0,2,652,8.9548,0,0,0
68,21034,6.925,6,false,15,6,-1,-1,0,0,2,651,8.9548,0,0,0
69,21040,6.864,6,false,15,6,-1,-1,0,0,2,648,8.9548,0,0,0
70,21048,7.051,6,false,15,6,-1,-1,0,0,2,627,8.9548,0,0,0
71,21060,12.653,6,false,15,6,-1,-1,0,0,2,10988,8.9548,0,0,0
72,21068,8.189,6,false,15,6,-1,-1,0,0,2,6785,8.9548,0,0,0
73,21074,5.603,6,false,15,6,-1,-1,0,0,2,4286,8.9548,0,0,0
74,21086,12.183,6,false,15,6,-1,-1,0,0,2,10596,8.9548,0,0,0
75,21092,5.938,6,false,15,6,-1,-1,0,0,2,4502,8.9548,0,0,0
76,21093,1.081,6,false,15,6,-1,-1,0,0,2,4502,8.9548,0,0,0
77,21114,20.818,7,true,20,7,-1,-1,0,0,2,1778,8.9548,0,0,0
78,21125,10.853,7,false,20,7,-1,-1,0,0,2,1778,8.9548,0,0,0
79,21137,11.885,7,false,20,7,-1,-1,0,0,2,10036,8.9548,0,0,0
80,21141,3.981,7,false,20,7,-1,-1,0,0,2,2395,8.9548,0,0,0
81,21145,4.216,7,false,20,7,-1,-1,0,0,2,2833,8.9548,0,0,0
82,21150,5.574,7,false,20,7,-1,-1,0,0,2,2649,8.9548,0,0,0
83,21158,6.946,7,false,20,7,-1,-1,0,0,2,1179,8.9548,0,0,0
84,21199,41.758,7,false,20,7,-1,-1,0,0,2,39604,8.9548,0,0,0
85,21239,39.765,7,false,20,7,-1,-1,0,0,2,38159,8.9548,0,0,0
86,21241,2.174,7,false,20,7,-1,-1,0,0,2,838,8.9548,0,0,0
87,21324,83.134,8,true,82,8,-1,-1,0,0,2,1843,8.9548,0,0,0
88,21334,10.198,8,false,82,8,-1,-1,0,0,2,1843,8.9548,0,0,0
89,21345,10.925,8,false,82,8,-1,-1,0,0,2,9405,8.9548,0,0,0
90,21350,5.078,8,false,82,8,-1,-1,0,0,2,3894,8.9548,0,0,0
91,21354,3.828,8,false,82,8,-1,-1,0,0,2,2438,8.9548,0,0,0
92,21732,377.919,8,false,82,8,-1,-1,0,0,2,375942,8.9548,0,0,0
93,22085,353.27,8,false,82,8,-1,-1,0,0,2,351382,8.9548,0,0,0
94,22087,1.633,8,false,82,8,-1,-1,0,0,2,472,8.9548,0,0,0
95,22092,5.221,8,false,82,8,-1,-1,0,0,2,472,8.9548,0,0,0
96,22785,692.604,9,true,690,9,-1,-1,0,0,2,2258,8.9548,0,0,0
97,22795,9.892,9,false,690,9,-1,-1,0,0,2,2258,8.9548,0,0,0
98,22806,11.33,9,false,690,9,-1,-1,0,0,2,9843,8.9548,0,0,0
99,22810,3.785,9,false,690,9,-1,-1,0,0,2,2443,8.9548,0,0,0
100,22814,3.86,9,false,690,9,-1,-1,0,0,2,2629,8.9548,0,0,0
101,22820,6.157,9,false,690,9,-1,-1,0,0,2,2605,8.9548,0,0,0
102,28237,5417.084,9,false,690,9,-1,-1,0,0,2,5415479,8.9548,0,0,0
103,31549,3311.929,9,false,690,9,-1,-1,0,0,2,3310346,8.9548,0,0,0
104,31551,1.855,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
105,31556,5.001,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
106,31563,6.903,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
107,31570,6.917,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
108,31577,6.88,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
109,31583,6.935,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
110,31590,6.874,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
111,31597,6.899,9,false,690,9,-1,-1,0,0,2,623,8.9548,0,0,0
112,37330,5732.942,10,true,5731,10,-1,-1,0,0,2,1781,8.9548,0,0,0
113,37338,7.129,10,false,5731,10,-1,-1,0,0,2,1781,8.9548,0,0,0
