frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24192,4.845,2,false,13,84,78,6,0,0,78,24,1.562,0.0016,0,0
1,24199,6.933,2,false,13,85,79,6,0,0,79,24,1.5516,0.0011,0,0
2,24206,6.858,2,false,13,85,79,6,0,0,79,18,1.5516,0.0011,0,0
3,24213,6.909,2,false,13,85,79,6,0,0,79,18,1.5516,0.0011,0,0
4,24220,6.935,2,false,13,85,80,5,0,0,80,18,1.5619,0.0015,0,0
5,24227,6.862,2,false,13,86,80,6,0,0,80,18,1.5619,0.0015,0,0
6,24234,6.953,2,false,13,86,80,6,0,0,80,18,1.5619,0.0015,0,0
7,24241,6.889,2,false,13,86,81,5,0,0,81,18,1.5532,0.0013,0,0
8,24247,6.895,2,false,13,87,81,6,0,0,81,18,1.5532,0.0013,0,0
9,24254,6.869,2,false,13,87,81,6,0,0,81,18,1.5532,0.0013,0,0
10,24261,6.904,2,false,13,87,81,6,0,0,82,18,1.7641,0.0014,0,0
11,24268,6.92,2,false,13,88,82,6,0,0,82,18,1.7641,0.0014,0,0
12,24275,6.883,2,false,13,88,82,6,0,0,82,18,1.7641,0.0014,0,0
13,24282,6.935,2,false,13,88,82,6,0,0,82,18,1.7641,0.0014,0,0
14,24289,6.85,2,false,13,89,83,6,0,0,83,18,2.634,0.0015,0,0
15,24296,6.909,2,false,13,89,83,6,0,0,83,28,2.634,0.0015,0,0
16,24303,6.964,2,false,13,89,83,6,0,0,83,28,2.634,0.0015,0,0
17,24309,6.834,2,false,13,90,83,7,0,0,84,28,1.7531,0.0012,0,0
18,24316,6.916,2,false,13,90,84,6,0,0,84,20,1.7531,0.0012,0,0
19,24323,6.888,2,false,13,90,84,6,0,0,84,20,1.7531,0.0012,0,0
