frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,32236,901.665,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,32266,30.364,1,true,24,1,-1,-1,0,0,0,0,0,0,0,0
2,32276,9.545,1,false,24,1,-1,-1,0,0,0,0,0,0,0,0
3,32318,42.481,2,true,34,2,-1,-1,0,0,0,3249,6.3623,0.0024,0,0
4,32322,3.318,2,false,34,2,-1,-1,0,0,0,998,6.3623,0.0024,0,0
5,32325,3.545,2,false,34,2,-1,-1,0,0,0,969,6.3623,0.0024,0,0
6,32332,6.906,2,false,34,2,-1,-1,0,0,0,1071,6.3623,0.0024,0,0
7,32347,14.402,2,false,34,2,-1,-1,0,0,0,981,6.3623,0.0024,0,0
8,32350,3.483,2,false,34,2,-1,-1,0,0,0,1026,6.3623,0.0024,0,0
9,32353,3.247,2,false,34,2,-1,-1,0,0,0,1070,6.3623,0.0024,0,0
10,32362,8.229,2,false,34,2,-1,-1,0,0,0,962,6.3623,0.0024,0,0
11,32367,5.591,2,false,34,2,-1,-1,0,0,0,1323,6.3623,0.0024,0,0
12,32377,9.723,2,false,34,2,-1,-1,0,0,0,1533,6.3623,0.0024,0,0
13,32381,4.069,2,false,34,2,-1,-1,0,0,0,1095,6.3623,0.0024,0,0
14,32392,11.066,2,false,34,2,-1,-1,0,0,0,1590,6.3623,0.0024,0,0
15,32397,4.375,2,false,34,2,-1,-1,0,0,0,1487,6.3623,0.0024,0,0
16,32402,5.261,2,false,34,2,-1,-1,0,0,0,1363,6.3623,0.0024,0,0
17,32422,20.338,2,false,34,2,-1,-1,0,0,1,30,6.3623,0.0024,0,0
18,32435,12.714,3,true,7,2,1,1,0,0,1,30,6.3623,0.0024,0,0
19,32445,10.462,3,false,7,3,1,2,0,0,1,30,6.3623,0.0024,0,0
20,32447,1.801,3,false,7,3,1,2,0,0,1,30,6.3623,0.0024,0,0
21,32453,6.361,3,false,7,3,1,2,0,0,1,30,6.9974,0.0025,0,0
22,32464,10.803,3,false,7,4,1,3,0,0,1,30,6.9974,0.0025,0,0
23,32467,2.36,3,false,7,4,1,3,0,0,1,30,6.9974,0.0025,0,0
24,32485,18.002,3,false,7,4,1,3,0,0,1,30,6.9974,0.0025,0,0
25,32487,2.636,3,false,7,4,1,3,0,0,1,30,6.9974,0.0025,0,0
26,32503,15.789,4,true,5,5,2,3,0,0,2,30,3.794,0.0026,0,0
27,32506,2.563,4,false,5,5,2,3,0,0,2,30,3.794,0.0026,0,0
28,32519,13.684,4,false,5,6,2,4,0,0,2,30,3.794,0.0026,0,0
29,32522,2.511,4,false,5,6,2,4,0,0,2,30,3.794,0.0026,0,0
30,32526,4.403,4,false,5,6,2,4,0,0,2,30,3.794,0.0026,0,0
31,32550,23.295,5,true,8,7,3,4,0,0,3,30,7.8683,0.0051,0,0
32,32553,3.477,5,false,8,7,3,4,0,0,3,30,7.8683,0.0051,0,0
33,32567,13.713,5,false,8,8,3,5,0,0,3,30,7.8683,0.0051,0,0
34,32570,3.048,5,false,8,8,3,5,0,0,3,30,7.8683,0.0051,0,0
35,32584,14.311,5,false,8,9,3,6,0,0,3,30,7.8683,0.0051,0,0
36,32586,2.408,5,false,8,9,3,6,0,0,3,30,7.8683,0.0051,0,0
37,32594,7.562,5,false,8,9,3,6,0,0,3,30,7.8683,0.0051,0,0
38,32599,4.848,5,false,8,10,3,7,0,0,4,30,7.8683,0.0051,0,0
39,32626,26.157,6,true,8,10,4,6,0,0,4,61,10.0085,0.0042,0,0
40,32629,4.186,6,false,8,10,4,6,0,0,4,61,10.0085,0.0042,0,0
41,32633,4.04,6,false,8,11,4,7,0,0,4,61,10.0085,0.0042,0,0
42,32641,7.529,6,false,8,11,4,7,0,0,4,31,10.0085,0.0042,0,0
43,32646,4.923,6,false,8,11,4,7,0,0,4,44,10.0085,0.0042,0,0
44,32656,10.596,6,false,8,11,4,7,0,0,5,38,10.0085,0.0042,0,0
45,32669,13.243,7,true,4,11,5,6,0,0,5,31,4.9795,0.0034,0,0
46,32671,1.905,7,false,4,11,5,6,0,0,5,31,4.9795,0.0034,0,0
47,32688,16.164,7,false,4,12,5,7,0,0,5,31,4.9795,0.0034,0,0
48,32691,3.006,7,false,4,12,5,7,0,0,6,32,4.9795,0.0034,0,0
49,32703,12.337,8,true,4,12,6,6,0,0,6,20,3.4027,0.003,0,0
50,32705,1.924,8,false,4,12,6,6,0,0,6,20,3.4027,0.003,0,0
51,32718,12.831,8,false,4,13,6,7,0,0,6,20,3.4027,0.003,0,0
52,32720,2.713,8,false,4,13,6,7,0,0,6,29,3.4027,0.003,0,0
53,32733,12.362,8,false,4,13,6,7,0,0,7,18,3.2386,0.0017,0,0
54,32745,12.534,9,true,3,13,7,6,0,0,7,23,3.2386,0.0017,0,0
55,32747,1.857,9,false,3,13,7,6,0,0,7,23,3.2386,0.0017,0,0
56,32764,17.029,9,false,3,13,7,6,0,0,8,23,3.2624,0.0016,0,0
57,32777,12.315,10,true,3,14,8,6,0,0,8,23,3.2624,0.0016,0,0
58,32779,2.241,10,false,3,14,8,6,0,0,8,23,3.2624,0.0016,0,0
59,32796,17.045,10,false,3,15,8,7,0,0,9,23,3.2294,0.0016,0,0
60,32808,12.804,11,true,4,15,9,6,0,0,9,26,3.2294,0.0016,0,0
61,32811,2.672,11,false,4,16,9,7,0,0,9,26,3.2294,0.0016,0,0
62,32815,4.222,11,false,4,16,9,7,0,0,9,26,3.2294,0.0016,0,0
63,32827,11.512,11,false,4,16,9,7,0,0,10,20,3.2294,0.0016,0,0
64,32839,12.252,12,true,4,16,10,6,0,0,10,27,3.5662,0.002,0,0
65,32841,2.206,12,false,4,16,10,6,0,0,10,27,3.5662,0.002,0,0
66,32859,17.07,12,false,4,16,10,6,0,0,10,27,3.5662,0.002,0,0
67,32873,14.361,13,true,4,17,11,6,0,0,11,27,6.0362,0.0029,0,0
68,32875,2.451,13,false,4,17,11,6,0,0,11,27,6.0362,0.0029,0,0
69,32880,4.449,13,false,4,18,11,7,0,0,11,27,6.0362,0.0029,0,0
70,32890,10.48,13,false,4,18,11,7,0,0,11,23,6.0362,0.0029,0,0
71,32893,3.313,13,false,4,18,11,7,0,0,11,26,6.0362,0.0029,0,0
72,32906,12.097,13,false,4,18,11,7,0,0,12,17,3.28,0.0039,0,0
73,32918,12.349,14,true,3,18,12,6,0,0,12,29,3.28,0.0039,0,0
74,32920,2.039,14,false,3,18,12,6,0,0,12,29,3.28,0.0039,0,0
75,32937,16.43,14,false,3,19,12,7,0,0,13,29,3.1607,0.002,0,0
76,32949,13.033,15,true,4,19,13,6,0,0,13,26,3.1607,0.002,0,0
77,32952,2.118,15,false,4,19,13,6,0,0,13,26,3.1607,0.002,0,0
78,32956,4.749,15,false,4,20,13,7,0,0,13,26,3.1607,0.002,0,0
79,32968,11.401,15,false,4,20,13,7,0,0,14,27,3.1607,0.002,0,0
80,32980,12.475,16,true,4,20,14,6,0,0,14,32,3.6278,0.0023,0,0
81,32982,1.824,16,false,4,20,14,6,0,0,14,32,3.6278,0.0023,0,0
82,32999,16.533,16,false,4,21,14,7,0,0,14,32,3.6278,0.0023,0,0
83,33023,24.451,17,true,12,21,15,6,0,0,15,32,3.6943,0.0026,0,0
84,33026,2.71,17,false,12,22,15,7,0,0,15,32,3.6943,0.0026,0,0
85,33030,4.155,17,false,12,22,15,7,0,0,15,22,3.6943,0.0026,0,0
86,33044,14.412,17,false,12,22,15,7,0,0,16,22,3.2297,0.0018,0,0
87,33056,11.737,18,true,3,22,16,6,0,0,16,22,3.2297,0.0018,0,0
88,33058,1.992,18,false,3,22,16,6,0,0,16,22,3.2297,0.0018,0,0
89,33076,17.376,18,false,3,22,16,6,0,0,17,22,4.3071,0.0026,0,0
90,33087,11.797,19,true,3,23,17,6,0,0,17,22,4.3071,0.0026,0,0
91,33089,1.833,19,false,3,23,17,6,0,0,17,22,4.3071,0.0026,0,0
92,33106,16.99,19,false,3,24,17,7,0,0,18,22,4.3071,0.0026,0,0
93,33118,11.572,20,true,3,24,18,6,0,0,18,26,3.3185,0.0019,0,0
94,33119,1.763,20,false,3,24,18,6,0,0,18,26,3.3185,0.0019,0,0
95,33137,17.796,20,false,3,25,18,7,0,0,18,26,3.3185,0.0019,0,0
96,33150,12.497,21,true,3,25,19,6,0,0,19,63,4.2796,0.0019,0,0
97,33152,1.996,21,false,3,25,19,6,0,0,19,63,4.2796,0.0019,0,0
98,33168,16.134,21,false,3,26,19,7,0,0,19,63,4.2796,0.0019,0,0
99,33170,2.448,21,false,3,26,19,7,0,0,19,25,4.2796,0.0019,0,0
100,33184,13.74,21,false,3,26,19,7,0,0,20,16,3.2625,0.002,0,0
101,33196,12.552,22,true,4,26,20,6,0,0,20,27,3.2625,0.002,0,0
102,33199,2.292,22,false,4,26,20,6,0,0,20,27,3.2625,0.002,0,0
103,33215,15.779,22,false,4,27,20,7,0,0,21,27,3.2738,0.0021,0,0
104,33228,13.082,23,true,4,27,21,6,0,0,21,29,3.2738,0.0021,0,0
105,33231,3.194,23,false,4,28,21,7,0,0,21,29,3.2738,0.0021,0,0
106,33234,3.691,23,false,4,28,21,7,0,0,21,26,3.2738,0.0021,0,0
107,33246,11.115,23,false,4,28,21,7,0,0,22,16,3.5371,0.0025,0,0
108,33258,12.179,24,true,3,28,22,6,0,0,22,24,3.5371,0.0025,0,0
109,33260,1.831,24,false,3,28,22,6,0,0,22,24,3.5371,0.0025,0,0
110,33278,17.82,24,false,3,28,22,6,0,0,23,24,3.5371,0.0025,0,0
111,33291,13.457,25,true,3,29,23,6,0,0,23,24,5.2904,0.0021,0,0
