frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,21311,592.267,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,21323,12.289,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,21347,23.203,2,true,13,2,-1,-1,0,0,0,1224,2.081,0.0012,0,0
3,21349,2.213,2,false,13,2,-1,-1,0,0,0,519,2.081,0.0012,0,0
4,21353,4.666,2,false,13,2,-1,-1,0,0,0,867,2.081,0.0012,0,0
5,21360,6.935,2,false,13,2,-1,-1,0,0,0,635,2.081,0.0012,0,0
6,21367,6.882,2,false,13,2,-1,-1,0,0,0,556,2.081,0.0012,0,0
7,21374,6.91,2,false,13,2,-1,-1,0,0,1,21,2.081,0.0012,0,0
8,21383,8.891,3,true,3,3,1,2,0,0,1,21,3.7833,0.0018,0,0
9,21388,4.885,3,false,3,3,1,2,0,0,1,21,3.7833,0.0018,0,0
10,21395,6.94,3,false,3,3,1,2,0,0,1,21,3.7833,0.0018,0,0
11,21404,8.731,3,false,3,4,1,3,0,0,1,21,3.7833,0.0018,0,0
12,21409,5.045,4,true,2,4,2,2,0,0,2,21,1.9963,0.0016,0,0
13,21416,6.886,4,false,2,4,2,2,0,0,2,21,1.9963,0.0016,0,0
14,21422,6.906,4,false,2,5,2,3,0,0,2,21,1.9963,0.0016,0,0
15,21429,6.9,4,false,2,5,2,3,0,0,3,21,1.9963,0.0016,0,0
16,21437,7.464,5,true,2,6,3,3,0,0,3,21,3.0102,0.0024,0,0
17,21443,6.362,5,false,2,6,3,3,0,0,3,21,3.0102,0.0024,0,0
18,21450,6.87,5,false,2,6,3,3,0,0,3,21,3.0102,0.0024,0,0
19,21457,6.921,5,false,2,7,3,4,0,0,4,21,3.0102,0.0024,0,0
20,21464,6.875,6,true,2,7,4,3,0,0,4,21,1.9435,0.0013,0,0
21,21471,6.908,6,false,2,7,4,3,0,0,4,21,1.9435,0.0013,0,0
22,21478,6.9,6,false,2,8,4,4,0,0,4,21,1.9435,0.0013,0,0
23,21485,6.894,6,false,2,8,4,4,0,0,5,21,2.488,0.0017,0,0
24,21491,6.941,7,true,2,8,5,3,0,0,5,21,2.488,0.0017,0,0
25,21498,6.862,7,false,2,9,5,4,0,0,5,21,2.488,0.0017,0,0
26,21505,6.942,7,false,2,9,5,4,0,0,5,21,2.488,0.0017,0,0
27,21512,6.858,7,false,2,9,5,4,0,0,6,21,2.216,0.0012,0,0
28,21519,6.913,8,true,2,10,6,4,0,0,6,21,2.216,0.0012,0,0
29,21526,6.902,8,false,2,10,6,4,0,0,6,21,2.216,0.0012,0,0
30,21533,6.873,8,false,2,10,6,4,0,0,7,21,2.216,0.0012,0,0
31,21540,6.922,9,true,2,11,7,4,0,0,7,21,1.9495,0.0012,0,0
32,21547,6.901,9,false,2,11,7,4,0,0,7,21,1.9495,0.0012,0,0
33,21553,6.875,9,false,2,12,7,5,0,0,7,21,1.9495,0.0012,0,0
34,21560,6.934,9,false,2,12,7,5,0,0,8,21,1.9469,0.0012,0,0
35,21567,6.878,10,true,2,12,8,4,0,0,8,21,1.9469,0.0012,0,0
36,21574,7.118,10,false,2,13,8,5,0,0,8,21,1.9469,0.0012,0,0
37,21581,6.669,10,false,2,13,8,5,0,0,9,21,1.9469,0.0012,0,0
38,21588,6.901,11,true,2,13,9,4,0,0,9,21,1.8921,0.0011,0,0
39,21595,6.957,11,false,2,14,9,5,0,0,9,21,1.8921,0.0011,0,0
40,21602,6.855,11,false,2,14,9,5,0,0,9,21,1.8921,0.0011,0,0
41,21609,6.925,11,false,2,14,9,5,0,0,10,21,1.8918,0.0012,0,0
42,21616,6.995,12,true,2,15,10,5,0,0,10,21,1.8918,0.0012,0,0
43,21623,6.781,12,false,2,15,10,5,0,0,10,21,1.8918,0.0012,0,0
44,21629,6.954,12,false,2,15,10,5,0,0,10,21,1.8918,0.0012,0,0
45,21637,7.675,13,true,2,16,11,5,0,0,11,21,4.9822,0.0023,0,0
46,21643,6.101,13,false,2,16,11,5,0,0,11,21,4.9822,0.0023,0,0
47,21650,6.87,13,false,2,16,11,5,0,0,11,21,4.9822,0.0023,0,0
48,21657,6.886,13,false,2,17,11,6,0,0,11,21,4.9822,0.0023,0,0
49,21664,6.956,13,false,2,17,11,6,0,0,12,21,2.1312,0.0019,0,0
50,21671,6.848,14,true,3,17,12,5,0,0,12,21,2.1312,0.0019,0,0
51,21678,6.932,14,false,3,18,12,6,0,0,12,21,2.1312,0.0019,0,0
52,21685,6.867,14,false,3,18,12,6,0,0,12,21,2.1312,0.0019,0,0
53,21691,6.9,15,true,2,18,13,5,0,0,13,21,1.787,0.001,0,0
54,21698,6.933,15,false,2,19,13,6,0,0,13,21,1.787,0.001,0,0
55,21705,6.867,15,false,2,19,13,6,0,0,13,21,1.787,0.001,0,0
56,21712,6.916,15,false,2,19,13,6,0,0,14,21,1.7948,0.0009,0,0
57,21719,6.882,16,true,2,20,14,6,0,0,14,21,1.7948,0.0009,0,0
