frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22357,623.421,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22371,13.818,1,true,11,1,-1,-1,0,0,0,0,0,0,0,0
2,22381,10.332,1,false,11,1,-1,-1,0,0,0,0,0,0,0,0
3,22382,1.376,1,false,11,1,-1,-1,0,0,0,0,0,0,0,0
4,22388,5.533,1,false,11,1,-1,-1,0,0,0,0,0,0,0,0
5,22412,24.541,3,true,3,2,1,1,0,0,1,775,2.4576,0.0016,0,0
6,22414,1.73,3,false,3,2,1,1,0,0,1,775,2.4576,0.0016,0,0
7,22419,5.164,3,false,3,2,1,1,0,0,1,775,2.4576,0.0016,0,0
8,22426,6.929,3,false,3,3,1,2,0,0,1,775,2.4576,0.0016,0,0
9,22433,6.874,3,false,3,3,1,2,0,0,1,775,3.8332,0.0015,0,0
10,22440,6.933,3,false,3,3,1,2,0,0,1,775,3.8332,0.0015,0,0
11,22447,6.851,3,false,3,4,1,3,0,0,1,775,3.8332,0.0015,0,0
12,22454,6.95,3,false,3,4,1,3,0,0,1,775,3.8332,0.0015,0,0
13,22461,6.856,4,true,2,4,2,2,0,0,2,775,2.2398,0.0021,0,0
14,22467,6.899,4,false,2,5,2,3,0,0,2,775,2.2398,0.0021,0,0
15,22474,6.922,4,false,2,5,2,3,0,0,2,775,2.2398,0.0021,0,0
16,22481,6.88,4,false,2,5,2,3,0,0,3,775,2.2398,0.0021,0,0
17,22489,7.291,5,true,2,6,3,3,0,0,3,775,3.7587,0.0019,0,0
18,22495,6.51,5,false,2,6,3,3,0,0,3,775,3.7587,0.0019,0,0
19,22502,6.914,5,false,2,6,3,3,0,0,4,775,3.7587,0.0019,0,0
20,22509,6.89,6,true,2,7,4,3,0,0,4,775,2.0239,0.0014,0,0
21,22516,6.904,6,false,2,7,4,3,0,0,4,775,2.0239,0.0014,0,0
22,22523,6.912,6,false,2,7,4,3,0,0,5,775,2.0239,0.0014,0,0
23,22530,7.372,7,true,2,8,5,3,0,0,5,775,2.4903,0.0011,0,0
24,22536,6.424,7,false,2,8,5,3,0,0,5,775,2.4903,0.0011,0,0
25,22543,6.879,7,false,2,8,5,3,0,0,6,775,2.4903,0.0011,0,0
26,22551,7.13,8,true,2,9,6,3,0,0,6,775,1.8756,0.0013,0,0
27,22557,6.719,8,false,2,9,6,3,0,0,6,775,1.8756,0.0013,0,0
