frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22667,625.721,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22679,12.493,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,22703,23.732,2,true,14,2,-1,-1,0,0,0,1372,2.002,0.0011,0,0
3,22705,2.533,2,false,14,2,-1,-1,0,0,0,646,2.002,0.0011,0,0
4,22710,4.353,2,false,14,2,-1,-1,0,0,0,608,2.002,0.0011,0,0
5,22717,6.9,2,false,14,2,-1,-1,0,0,0,506,2.002,0.0011,0,0
6,22724,6.933,2,false,14,2,-1,-1,0,0,0,545,2.002,0.0011,0,0
7,22730,6.873,2,false,14,2,-1,-1,0,0,0,189,2.002,0.0011,0,0
8,22744,13.118,3,true,3,3,1,2,0,0,1,189,4.9337,0.002,0,0
9,22745,1.262,3,false,3,3,1,2,0,0,1,189,4.9337,0.002,0,0
10,22751,6.329,3,false,3,3,1,2,0,0,1,189,4.9337,0.002,0,0
11,22758,6.888,3,false,3,3,1,2,0,0,1,189,4.9337,0.002,0,0
12,22767,8.819,4,true,3,4,2,2,0,0,2,189,2.2621,0.0016,0,0
13,22772,4.989,4,false,3,4,2,2,0,0,2,189,2.2621,0.0016,0,0
14,22779,6.889,4,false,3,4,2,2,0,0,2,189,2.2621,0.0016,0,0
15,22787,8.361,5,true,2,5,3,2,0,0,3,189,3.1747,0.0012,0,0
16,22793,5.476,5,false,2,5,3,2,0,0,3,189,3.1747,0.0012,0,0
17,22800,6.888,5,false,2,5,3,2,0,0,3,189,3.1747,0.0012,0,0
18,22807,7.566,6,true,2,6,4,2,0,0,4,189,2.1485,0.0012,0,0
19,22813,6.214,6,false,2,6,4,2,0,0,4,189,2.1485,0.0012,0,0
20,22820,6.915,6,false,2,6,4,2,0,0,4,189,2.1485,0.0012,0,0
21,22827,6.878,6,false,2,7,4,3,0,0,5,189,2.1485,0.0012,0,0
22,22834,6.918,7,true,2,7,5,2,0,0,5,189,2.6637,0.0017,0,0
23,22841,6.888,7,false,2,7,5,2,0,0,5,189,2.6637,0.0017,0,0
24,22848,6.903,7,false,2,8,5,3,0,0,6,189,2.6637,0.0017,0,0
25,22855,6.932,8,true,2,8,6,2,0,0,6,189,2.7125,0.0036,0,0
26,22862,6.87,8,false,2,8,6,2,0,0,6,189,2.7125,0.0036,0,0
27,22869,7.311,8,false,2,9,6,3,0,0,6,189,2.7125,0.0036,0,0
28,22876,6.758,9,true,4,9,7,2,0,0,7,189,1.9506,0.0016,0,0
29,22882,6.641,9,false,4,10,7,3,0,0,7,189,1.9506,0.0016,0,0
30,22889,6.884,9,false,4,10,7,3,0,0,7,189,1.9506,0.0016,0,0
31,22896,6.894,10,true,2,10,8,2,0,0,8,189,2.1528,0.0012,0,0
32,22903,6.921,10,false,2,11,8,3,0,0,8,189,2.1528,0.0012,0,0
33,22910,6.885,10,false,2,11,8,3,0,0,9,189,2.1528,0.0012,0,0
34,22917,6.933,11,true,2,11,9,2,0,0,9,189,2.0472,0.0013,0,0
35,22924,6.869,11,false,2,12,9,3,0,0,9,189,2.0472,0.0013,0,0
36,22931,6.9,11,false,2,12,9,3,0,0,10,189,1.8631,0.001,0,0
37,22938,6.937,12,true,2,12,10,2,0,0,10,189,1.8631,0.001,0,0
