frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25547,652.938,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,25561,14.534,1,true,12,1,-1,-1,0,0,0,0,0,0,0,0
2,25593,32.055,3,true,4,2,1,1,0,0,1,763,2.5788,0.0024,0,0
3,25599,5.927,3,false,4,3,1,2,0,0,1,763,2.5788,0.0024,0,0
4,25601,1.837,3,false,4,3,1,2,0,0,1,763,2.5788,0.0024,0,0
5,25607,6.018,3,false,4,3,1,2,0,0,1,763,5.0733,0.0023,0,0
6,25614,6.929,3,false,4,3,1,2,0,0,1,763,5.0733,0.0023,0,0
7,25621,6.877,3,false,4,3,1,2,0,0,1,763,5.0733,0.0023,0,0
8,25628,6.896,3,false,4,4,1,3,0,0,1,763,5.0733,0.0023,0,0
9,25635,6.943,3,false,4,4,1,3,0,0,2,763,5.0733,0.0023,0,0
10,25642,6.855,4,true,3,4,2,2,0,0,2,763,2.5853,0.0015,0,0
11,25649,6.913,4,false,3,5,2,3,0,0,2,763,2.5853,0.0015,0,0
12,25655,6.908,4,false,3,5,2,3,0,0,2,763,2.5853,0.0015,0,0
13,25663,6.893,4,false,3,5,2,3,0,0,3,763,2.5853,0.0015,0,0
14,25672,9.443,5,true,2,6,3,3,0,0,3,763,3.3338,0.0014,0,0
15,25676,4.349,5,false,2,6,3,3,0,0,3,763,3.3338,0.0014,0,0
16,25683,6.901,5,false,2,6,3,3,0,0,4,763,3.3338,0.0014,0,0
17,25691,8.029,6,true,2,7,4,3,0,0,4,763,2.416,0.0015,0,0
18,25697,5.796,6,false,2,7,4,3,0,0,4,763,2.416,0.0015,0,0
19,25704,6.893,6,false,2,7,4,3,0,0,4,763,2.416,0.0015,0,0
20,25712,8.338,7,true,2,8,5,3,0,0,5,763,2.9281,0.0019,0,0
21,25718,5.438,7,false,2,8,5,3,0,0,5,763,2.9281,0.0019,0,0
22,25725,6.953,7,false,2,8,5,3,0,0,5,763,2.9281,0.0019,0,0
23,25733,8.067,8,true,3,9,6,3,0,0,6,763,2.2908,0.0013,0,0
24,25738,5.719,8,false,3,9,6,3,0,0,6,763,2.2908,0.0013,0,0
25,25745,6.862,8,false,3,9,6,3,0,0,6,763,2.2908,0.0013,0,0
26,25752,6.917,8,false,3,10,6,4,0,0,7,763,2.2908,0.0013,0,0
27,25759,6.913,9,true,2,10,7,3,0,0,7,763,2.0499,0.0012,0,0
28,25766,6.88,9,false,2,10,7,3,0,0,7,763,2.0499,0.0012,0,0
29,25773,6.917,9,false,2,11,7,4,0,0,7,763,2.0499,0.0012,0,0
30,25780,6.868,10,true,3,11,8,3,0,0,8,763,2.4581,0.0011,0,0
31,25787,6.953,10,false,3,11,8,3,0,0,8,763,2.4581,0.0011,0,0
32,25793,6.854,10,false,3,12,8,4,0,0,8,763,2.4581,0.0011,0,0
33,25800,6.901,10,false,3,12,8,4,0,0,9,763,1.9572,0.0011,0,0
34,25807,6.932,11,true,2,12,9,3,0,0,9,763,1.9572,0.0011,0,0
35,25814,6.866,11,false,2,13,9,4,0,0,9,763,1.9572,0.0011,0,0
36,25821,6.95,11,false,2,13,9,4,0,0,10,763,1.9572,0.0011,0,0
37,25828,6.85,12,true,2,13,10,3,0,0,10,763,2.4867,0.0014,0,0
38,25835,6.904,12,false,2,14,10,4,0,0,10,763,2.4867,0.0014,0,0
39,25842,6.924,12,false,2,14,10,4,0,0,10,763,2.4867,0.0014,0,0
40,25849,7.403,13,true,2,15,11,4,0,0,11,763,4.1347,0.0019,0,0
41,25856,6.408,13,false,2,15,11,4,0,0,11,763,4.1347,0.0019,0,0
42,25863,6.869,13,false,2,15,11,4,0,0,11,763,4.1347,0.0019,0,0
43,25870,6.931,13,false,2,16,11,5,0,0,11,763,4.1347,0.0019,0,0
44,25876,6.861,14,true,3,16,12,4,0,0,12,763,2.8734,0.002,0,0
45,25883,6.93,14,false,3,16,12,4,0,0,12,763,2.8734,0.002,0,0
46,25890,6.891,14,false,3,17,12,5,0,0,12,763,2.8734,0.002,0,0
47,25897,6.894,14,false,3,17,12,5,0,0,13,763,2.0589,0.0015,0,0
48,25904,6.92,15,true,3,17,13,4,0,0,13,763,2.0589,0.0015,0,0
49,25911,6.931,15,false,3,18,13,5,0,0,13,763,2.0589,0.0015,0,0
50,25918,6.851,15,false,3,18,13,5,0,0,13,763,2.0589,0.0015,0,0
51,25925,6.937,15,false,3,18,13,5,0,0,14,763,2.5244,0.0025,0,0
52,25935,10.637,16,true,3,19,14,5,0,0,14,763,2.5244,0.0025,0,0
53,25939,3.147,16,false,3,19,14,5,0,0,14,763,2.5244,0.0025,0,0
54,25946,6.871,16,false,3,20,14,6,0,0,14,763,2.5244,0.0025,0,0
55,25953,7.368,17,true,4,20,15,5,0,0,15,763,3.2041,0.0025,0,0
56,25959,6.436,17,false,4,20,15,5,0,0,15,763,3.2041,0.0025,0,0
57,25966,7.207,17,false,4,21,15,6,0,0,15,763,3.2041,0.0025,0,0
58,25973,6.629,17,false,4,21,15,6,0,0,15,763,3.2041,0.0025,0,0
