frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23536,5.049,2,false,13,88,84,4,0,0,84,597,1.6002,0.0014,0,0
1,23543,6.879,2,false,13,88,84,4,0,0,84,597,1.6002,0.0014,0,0
2,23550,6.923,2,false,13,89,85,4,0,0,85,597,1.6121,0.0014,0,0
3,23557,6.876,2,false,13,89,85,4,0,0,85,597,1.6121,0.0014,0,0
4,23564,6.93,2,false,13,89,85,4,0,0,85,597,1.6121,0.0014,0,0
5,23571,6.855,2,false,13,90,86,4,0,0,86,597,2.6315,0.0017,0,0
6,23578,7.005,2,false,13,90,86,4,0,0,86,597,2.6315,0.0017,0,0
7,23585,6.809,2,false,13,90,86,4,0,0,86,597,2.6315,0.0017,0,0
8,23591,6.894,2,false,13,91,87,4,0,0,87,597,1.6096,0.0016,0,0
9,23598,6.959,2,false,13,91,87,4,0,0,87,597,1.6096,0.0016,0,0
10,23605,6.849,2,false,13,91,87,4,0,0,87,597,1.6096,0.0016,0,0
11,23615,9.49,2,false,13,92,88,4,0,0,88,597,1.5191,0.0013,0,0
12,23619,4.302,2,false,13,92,88,4,0,0,88,597,1.5191,0.0013,0,0
13,23626,6.905,2,false,13,92,88,4,0,0,88,597,1.5191,0.0013,0,0
14,23633,6.912,2,false,13,93,89,4,0,0,89,597,1.5578,0.0013,0,0
15,23640,6.893,2,false,13,93,89,4,0,0,89,597,1.5578,0.0013,0,0
16,23647,7.028,2,false,13,93,89,4,0,0,89,597,1.5578,0.0013,0,0
17,23653,6.753,2,false,13,94,90,4,0,0,90,597,1.512,0.0011,0,0
18,23660,6.943,2,false,13,94,90,4,0,0,90,597,1.512,0.0011,0,0
19,23667,6.866,2,false,13,94,90,4,0,0,90,597,1.512,0.0011,0,0
20,23674,6.893,2,false,13,95,91,4,0,0,91,597,3.2592,0.0019,0,0
21,23681,6.929,2,false,13,95,91,4,0,0,91,597,3.2592,0.0019,0,0
22,23688,6.881,2,false,13,95,91,4,0,0,91,597,3.2592,0.0019,0,0
23,23695,6.916,2,false,13,96,91,5,0,0,92,597,1.5108,0.001,0,0
24,23702,6.886,2,false,13,96,92,4,0,0,92,597,1.5108,0.001,0,0
25,23709,6.902,2,false,13,96,92,4,0,0,92,597,1.5108,0.001,0,0
26,23716,6.926,2,false,13,97,93,4,0,0,93,597,1.5344,0.0011,0,0
27,23723,6.873,2,false,13,97,93,4,0,0,93,597,1.5344,0.0011,0,0
28,23729,6.923,2,false,13,98,93,5,0,0,93,597,1.5344,0.0011,0,0
29,23736,6.876,2,false,13,98,93,5,0,0,94,597,1.7472,0.0015,0,0
30,23743,6.898,2,false,13,98,94,4,0,0,94,597,1.7472,0.0015,0,0
31,23750,6.932,2,false,13,99,94,5,0,0,94,597,1.7472,0.0015,0,0
32,23757,6.871,2,false,13,99,94,5,0,0,95,597,1.572,0.0013,0,0
33,23765,6.974,2,false,13,99,95,4,0,0,95,597,1.572,0.0013,0,0
34,23771,6.816,2,false,13,100,95,5,0,0,95,597,1.572,0.0013,0,0
35,23778,6.945,2,false,13,100,95,5,0,0,96,597,1.5141,0.0016,0,0
36,23785,6.884,2,false,13,100,96,4,0,0,96,597,1.5141,0.0016,0,0
37,23793,8.387,2,false,13,101,96,5,0,0,96,597,1.5141,0.0016,0,0
38,23798,5.411,2,false,13,101,97,4,0,0,97,597,1.7296,0.0022,0,0
39,23806,6.886,2,false,13,101,97,4,0,0,97,597,1.7296,0.0022,0,0
40,23812,6.918,2,false,13,102,97,5,0,0,97,597,1.7296,0.0022,0,0
41,23819,6.875,2,false,13,102,98,4,0,0,98,597,1.595,0.0014,0,0
42,23826,6.922,2,false,13,102,98,4,0,0,98,597,1.595,0.0014,0,0
43,23833,6.904,2,false,13,103,98,5,0,0,98,597,1.595,0.0014,0,0
44,23840,6.877,2,false,13,103,99,4,0,0,99,597,2.3201,0.0013,0,0
45,23847,6.945,2,false,13,103,99,4,0,0,99,597,2.3201,0.0013,0,0
46,23854,6.852,2,false,13,104,99,5,0,0,99,597,2.3201,0.0013,0,0
47,23861,6.945,2,false,13,104,99,5,0,0,100,597,2.2579,0.0022,0,0
48,23867,6.859,2,false,13,104,100,4,0,0,100,597,2.2579,0.0022,0,0
49,23874,6.891,2,false,13,105,100,5,0,0,100,597,2.2579,0.0022,0,0
50,23882,6.969,2,false,13,105,100,5,0,0,101,597,2.2579,0.0022,0,0
51,23888,6.839,2,false,13,105,101,4,0,0,101,597,1.8328,0.0013,0,0
52,23895,6.92,2,false,13,106,101,5,0,0,101,597,1.8328,0.0013,0,0
53,23902,6.876,2,false,13,106,101,5,0,0,102,597,1.8328,0.0013,0,0
54,23909,6.904,2,false,13,106,102,4,0,0,102,597,1.5938,0.0019,0,0
55,23916,6.921,2,false,13,107,102,5,0,0,102,597,1.5938,0.0019,0,0
56,23923,6.877,2,false,13,107,102,5,0,0,103,597,1.5938,0.0019,0,0
57,23929,6.919,2,false,13,108,103,5,0,0,103,597,1.5895,0.0011,0,0
58,23936,6.886,2,false,13,108,103,5,0,0,103,597,1.5895,0.0011,0,0
59,23943,6.897,2,false,13,108,103,5,0,0,104,597,1.6075,0.0016,0,0
60,23950,6.914,2,false,13,109,104,5,0,0,104,597,1.6075,0.0016,0,0
61,23957,6.885,2,false,13,109,104,5,0,0,104,597,1.6075,0.0016,0,0
62,23964,6.924,2,false,13,109,104,5,0,0,105,597,1.6075,0.0016,0,0
63,23971,6.867,2,false,13,110,105,5,0,0,105,597,1.5035,0.001,0,0
64,23978,6.941,2,false,13,110,105,5,0,0,105,597,1.5035,0.001,0,0
65,23985,6.867,2,false,13,110,105,5,0,0,106,597,1.6479,0.0012,0,0
66,23992,6.889,2,false,13,111,106,5,0,0,106,597,1.6479,0.0012,0,0
67,23999,6.952,2,false,13,111,106,5,0,0,106,597,1.6479,0.0012,0,0
68,24006,6.862,2,false,13,111,106,5,0,0,107,597,2.5778,0.0017,0,0
69,24012,6.919,2,false,13,112,107,5,0,0,107,597,2.5778,0.0017,0,0
70,24019,6.881,2,false,13,112,107,5,0,0,107,597,2.5778,0.0017,0,0
71,24026,6.895,2,false,13,112,107,5,0,0,108,597,2.5778,0.0017,0,0
72,24033,6.925,2,false,13,113,108,5,0,0,108,597,1.4903,0.0009,0,0
73,24040,6.877,2,false,13,113,108,5,0,0,108,597,1.4903,0.0009,0,0
74,24047,6.932,2,false,13,113,108,5,0,0,109,597,1.5967,0.0012,0,0
75,24054,6.868,2,false,13,114,109,5,0,0,109,597,1.5967,0.0012,0,0
76,24061,6.938,2,false,13,114,109,5,0,0,109,597,1.5967,0.0012,0,0
77,24068,6.862,2,false,13,114,109,5,0,0,110,597,1.4819,0.0019,0,0
78,24074,6.896,2,false,13,115,110,5,0,0,110,597,1.4819,0.0019,0,0
79,24081,6.937,2,false,13,115,110,5,0,0,110,597,1.4819,0.0019,0,0
80,24088,6.862,2,false,13,115,110,5,0,0,111,597,1.4934,0.0012,0,0
81,24095,6.925,2,false,13,116,111,5,0,0,111,597,1.4934,0.0012,0,0
82,24102,6.884,2,false,13,116,111,5,0,0,111,597,1.4934,0.0012,0,0
83,24109,6.909,2,false,13,116,112,4,0,0,112,597,1.4883,0.001,0,0
84,24116,6.913,2,false,13,117,112,5,0,0,112,597,1.4883,0.001,0,0
85,24123,6.868,2,false,13,117,112,5,0,0,112,597,1.4883,0.001,0,0
86,24130,6.92,2,false,13,118,113,5,0,0,113,597,1.78,0.0015,0,0
87,24137,6.888,2,false,13,118,113,5,0,0,113,597,1.78,0.0015,0,0
88,24143,6.897,2,false,13,118,113,5,0,0,113,597,1.78,0.0015,0,0
89,24150,6.92,2,false,13,119,114,5,0,0,114,597,1.5681,0.001,0,0
90,24157,6.882,2,false,13,119,114,5,0,0,114,597,1.5681,0.001,0,0
91,24164,6.959,2,false,13,119,114,5,0,0,115,597,1.5681,0.001,0,0
92,24171,6.838,2,false,13,120,115,5,0,0,115,597,2.3626,0.0015,0,0
93,24178,6.931,2,false,13,120,115,5,0,0,115,597,2.3626,0.0015,0,0
94,24185,6.86,2,false,13,120,115,5,0,0,116,597,2.3626,0.0015,0,0
95,24192,6.907,2,false,13,121,116,5,0,0,116,597,1.5347,0.0011,0,0
96,24199,6.94,2,false,13,121,116,5,0,0,116,597,1.5347,0.0011,0,0
97,24205,6.858,2,false,13,121,116,5,0,0,117,597,1.4386,0.001,0,0
98,24212,6.93,2,false,13,122,117,5,0,0,117,597,1.4386,0.001,0,0
99,24219,6.877,2,false,13,122,117,5,0,0,117,597,1.4386,0.001,0,0
100,24226,6.904,2,false,13,122,117,5,0,0,118,597,1.525,0.0012,0,0
101,24233,6.91,2,false,13,123,118,5,0,0,118,597,1.525,0.0012,0,0
102,24240,6.881,2,false,13,123,118,5,0,0,118,597,1.525,0.0012,0,0
103,24247,6.937,2,false,13,123,118,5,0,0,119,597,1.518,0.0012,0,0
104,24254,6.859,2,false,13,124,119,5,0,0,119,597,1.518,0.0012,0,0
105,24261,6.935,2,false,13,124,119,5,0,0,119,597,1.518,0.0012,0,0
106,24268,6.871,2,false,13,124,119,5,0,0,120,597,1.4602,0.0011,0,0
107,24274,6.892,2,false,13,125,120,5,0,0,120,597,1.4602,0.0011,0,0
108,24281,6.943,2,false,13,125,120,5,0,0,120,597,1.4602,0.0011,0,0
109,24288,6.865,2,false,13,125,121,4,0,0,121,597,1.4988,0.0011,0,0
110,24295,6.929,2,false,13,126,121,5,0,0,121,597,1.4988,0.0011,0,0
111,24302,6.872,2,false,13,126,121,5,0,0,122,597,1.4988,0.0011,0,0
112,24309,6.902,2,false,13,126,122,4,0,0,122,597,1.4553,0.0011,0,0
113,24316,6.925,2,false,13,127,122,5,0,0,122,597,1.4553,0.0011,0,0
114,24323,6.876,2,false,13,127,122,5,0,0,123,597,2.3203,0.0015,0,0
115,24330,6.989,2,false,13,128,123,5,0,0,123,597,2.3203,0.0015,0,0
116,24337,6.811,2,false,13,128,123,5,0,0,123,597,2.3203,0.0015,0,0
117,24344,6.906,2,false,13,128,123,5,0,0,124,597,1.9736,0.0035,0,0
118,24350,6.917,2,false,13,129,124,5,0,0,124,597,1.9736,0.0035,0,0
119,24358,6.879,2,false,13,129,124,5,0,0,124,597,1.9736,0.0035,0,0
120,24364,6.934,2,false,13,129,124,5,0,0,125,597,1.9736,0.0035,0,0
121,24373,8.55,2,false,13,130,125,5,0,0,125,597,1.5788,0.0011,0,0
122,24378,5.25,2,false,13,130,125,5,0,0,125,597,1.5788,0.0011,0,0
123,24385,6.864,2,false,13,130,125,5,0,0,126,597,1.4795,0.0014,0,0
124,24392,6.892,2,false,13,131,126,5,0,0,126,597,1.4795,0.0014,0,0
125,24399,6.942,2,false,13,131,126,5,0,0,126,597,1.4795,0.0014,0,0
126,24406,6.864,2,false,13,131,126,5,0,0,127,597,1.5677,0.0015,0,0
127,24413,6.928,2,false,13,132,127,5,0,0,127,597,1.5677,0.0015,0,0
128,24419,6.88,2,false,13,132,127,5,0,0,127,597,1.5677,0.0015,0,0
129,24426,6.894,2,false,13,132,127,5,0,0,128,597,1.5866,0.0014,0,0
130,24433,6.934,2,false,13,133,128,5,0,0,128,597,1.5866,0.0014,0,0
131,24440,6.87,2,false,13,133,128,5,0,0,128,597,1.5866,0.0014,0,0
132,24447,6.925,2,false,13,133,129,4,0,0,129,597,1.7345,0.0012,0,0
133,24454,6.862,2,false,13,134,129,5,0,0,129,597,1.7345,0.0012,0,0
