frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24395,4.172,2,false,12,66,59,7,0,0,59,30,2.6806,0.0016,0,0
1,24402,6.933,2,false,12,66,59,7,0,0,60,24,1.5461,0.0016,0,0
2,24409,6.862,2,false,12,66,60,6,0,0,60,347,1.5461,0.0016,0,0
3,24416,6.909,2,false,12,66,60,6,0,0,60,347,1.5461,0.0016,0,0
4,24423,6.936,2,false,12,66,60,6,0,0,60,347,1.5461,0.0016,0,0
5,24430,6.855,2,false,12,67,60,7,0,0,61,347,1.6887,0.0012,0,0
6,24437,6.923,2,false,12,67,61,6,0,0,61,351,1.6887,0.0012,0,0
7,24443,6.886,2,false,12,67,61,6,0,0,61,351,1.6887,0.0012,0,0
8,24450,6.892,2,false,12,67,61,6,0,0,61,351,1.6887,0.0012,0,0
9,24457,6.936,2,false,12,68,61,7,0,0,62,351,1.4978,0.001,0,0
10,24464,6.863,2,false,12,68,62,6,0,0,62,322,1.4978,0.001,0,0
11,24471,7.005,2,false,12,68,62,6,0,0,62,322,1.4978,0.001,0,0
12,24478,6.799,2,false,12,68,62,6,0,0,62,322,1.4978,0.001,0,0
13,24485,6.936,2,false,12,69,62,7,0,0,63,322,1.5838,0.0011,0,0
14,24492,6.852,2,false,12,69,63,6,0,0,63,325,1.5838,0.0011,0,0
15,24499,6.934,2,false,12,69,63,6,0,0,63,325,1.5838,0.0011,0,0
16,24505,6.924,2,false,12,70,63,7,0,0,63,325,1.5838,0.0011,0,0
17,24512,6.857,2,false,12,70,64,6,0,0,64,24,1.5777,0.001,0,0
18,24520,7.477,2,false,12,70,64,6,0,0,64,330,1.5777,0.001,0,0
19,24526,6.319,2,false,12,70,64,6,0,0,64,330,1.5777,0.001,0,0
20,24533,6.902,2,false,12,70,64,6,0,0,64,330,1.5777,0.001,0,0
21,24540,6.929,2,false,12,71,64,7,0,0,65,330,1.6621,0.0023,0,0
22,24547,6.859,2,false,12,71,65,6,0,0,65,313,1.6621,0.0023,0,0
23,24554,6.935,2,false,12,71,65,6,0,0,65,313,1.6621,0.0023,0,0
24,24561,6.874,2,false,12,71,65,6,0,0,65,313,1.6621,0.0023,0,0
