frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24676,4.826,2,false,13,78,72,6,0,0,72,327,1.8324,0.0017,0,0
1,24683,6.899,2,false,13,78,72,6,0,0,73,327,1.5613,0.0013,0,0
2,24690,6.918,2,false,13,79,73,6,0,0,73,327,1.5613,0.0013,0,0
3,24697,6.881,2,false,13,79,73,6,0,0,73,327,1.5613,0.0013,0,0
4,24704,6.931,2,false,13,79,73,6,0,0,73,327,1.5613,0.0013,0,0
5,24711,6.858,2,false,13,80,73,7,0,0,74,327,1.4782,0.001,0,0
6,24718,6.905,2,false,13,80,74,6,0,0,74,323,1.4782,0.001,0,0
7,24725,6.948,2,false,13,80,74,6,0,0,74,323,1.4782,0.001,0,0
8,24731,6.862,2,false,13,81,74,7,0,0,74,323,1.4782,0.001,0,0
9,24738,6.925,2,false,13,81,75,6,0,0,75,24,2.9584,0.0016,0,0
10,24745,6.909,2,false,13,81,75,6,0,0,75,328,2.9584,0.0016,0,0
11,24752,6.876,2,false,13,81,75,6,0,0,75,328,2.9584,0.0016,0,0
12,24759,6.95,2,false,13,81,75,6,0,0,76,328,2.9584,0.0016,0,0
13,24766,6.822,2,false,13,82,76,6,0,0,76,328,1.7332,0.0016,0,0
14,24773,6.95,2,false,13,82,76,6,0,0,76,328,1.7332,0.0016,0,0
15,24780,6.861,2,false,13,82,76,6,0,0,76,328,1.7332,0.0016,0,0
16,24787,6.935,2,false,13,83,76,7,0,0,77,328,1.7338,0.0018,0,0
17,24793,6.861,2,false,13,83,77,6,0,0,77,324,1.7338,0.0018,0,0
18,24800,6.904,2,false,13,83,77,6,0,0,77,324,1.7338,0.0018,0,0
19,24808,6.962,2,false,13,83,77,6,0,0,78,324,1.4949,0.0011,0,0
20,24814,6.829,2,false,13,84,78,6,0,0,78,324,1.4949,0.0011,0,0
21,24821,6.945,2,false,13,84,78,6,0,0,78,324,1.4949,0.0011,0,0
22,24828,6.891,2,false,13,84,78,6,0,0,79,324,1.4949,0.0011,0,0
23,24835,6.862,2,false,13,85,79,6,0,0,79,324,1.5775,0.001,0,0
24,24842,6.969,2,false,13,85,79,6,0,0,79,324,1.5775,0.001,0,0
25,24849,6.847,2,false,13,85,79,6,0,0,79,324,1.5775,0.001,0,0
26,24856,6.936,2,false,13,86,79,7,0,0,80,324,1.6268,0.001,0,0
27,24862,6.85,2,false,13,86,80,6,0,0,80,334,1.6268,0.001,0,0
28,24870,6.948,2,false,13,86,80,6,0,0,80,334,1.6268,0.001,0,0
29,24876,6.863,2,false,13,86,80,6,0,0,81,334,1.5118,0.0012,0,0
30,24883,6.889,2,false,13,87,81,6,0,0,81,334,1.5118,0.0012,0,0
31,24890,6.959,2,false,13,87,81,6,0,0,81,334,1.5118,0.0012,0,0
32,24897,6.855,2,false,13,87,81,6,0,0,81,334,1.5118,0.0012,0,0
33,24904,6.925,2,false,13,88,82,6,0,0,82,334,2.6648,0.0028,0,0
