frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24289,4.591,2,false,14,66,59,7,0,0,60,34,2.5036,0.0013,0,0
1,24295,6.829,2,false,14,66,60,6,0,0,60,24,2.2572,0.003,0,0
2,24302,6.963,2,false,14,66,60,6,0,0,60,24,2.2572,0.003,0,0
3,24309,6.85,2,false,14,66,60,6,0,0,60,24,2.2572,0.003,0,0
4,24316,7.032,2,false,14,67,60,7,0,0,61,24,1.4976,0.0009,0,0
5,24323,6.777,2,false,14,67,61,6,0,0,61,19,1.4976,0.0009,0,0
6,24330,6.894,2,false,14,67,61,6,0,0,61,19,1.4976,0.0009,0,0
7,24337,6.936,2,false,14,68,61,7,0,0,61,19,1.4976,0.0009,0,0
8,24344,6.864,2,false,14,68,61,7,0,0,61,20,1.4976,0.0009,0,0
9,24351,6.945,2,false,14,68,62,6,0,0,62,23,1.6292,0.0017,0,0
10,24357,6.839,2,false,14,68,62,6,0,0,62,426,1.6292,0.0017,0,0
11,24365,6.918,2,false,14,68,62,6,0,0,62,426,1.6292,0.0017,0,0
12,24371,6.922,2,false,14,68,62,6,0,0,62,426,1.6292,0.0017,0,0
13,24378,6.857,2,false,14,69,63,6,0,0,63,426,1.5543,0.0015,0,0
14,24385,6.95,2,false,14,69,63,6,0,0,63,426,1.5543,0.0015,0,0
15,24392,6.862,2,false,14,69,63,6,0,0,63,426,1.5543,0.0015,0,0
16,24399,6.913,2,false,14,70,63,7,0,0,64,426,1.5543,0.0015,0,0
17,24406,6.908,2,false,14,70,64,6,0,0,64,19,1.5534,0.0013,0,0
18,24413,6.883,2,false,14,70,64,6,0,0,64,19,1.5534,0.0013,0,0
19,24420,7.217,2,false,14,70,64,6,0,0,64,19,1.5534,0.0013,0,0
20,24427,6.623,2,false,14,71,64,7,0,0,65,19,1.5534,0.0013,0,0
21,24433,6.877,2,false,14,71,65,6,0,0,65,18,1.6124,0.0016,0,0
22,24440,6.881,2,false,14,71,65,6,0,0,65,18,1.6124,0.0016,0,0
23,24447,6.925,2,false,14,71,65,6,0,0,65,18,1.6124,0.0016,0,0
24,24454,6.893,2,false,14,72,65,7,0,0,66,18,1.5517,0.0011,0,0
25,24461,6.871,2,false,14,72,66,6,0,0,66,17,1.5517,0.0011,0,0
26,24468,6.934,2,false,14,72,66,6,0,0,66,17,1.5517,0.0011,0,0
27,24475,6.878,2,false,14,72,66,6,0,0,66,17,1.5517,0.0011,0,0
28,24482,6.888,2,false,14,73,66,7,0,0,67,17,1.5517,0.0011,0,0
29,24489,6.948,2,false,14,73,67,6,0,0,67,19,2.1345,0.001,0,0
30,24495,6.854,2,false,14,73,67,6,0,0,67,19,2.1345,0.001,0,0
31,24502,6.94,2,false,14,73,67,6,0,0,67,19,2.1345,0.001,0,0
32,24510,6.868,2,false,14,74,67,7,0,0,68,19,1.5819,0.0011,0,0
33,24516,6.924,2,false,14,74,68,6,0,0,68,310,1.5819,0.0011,0,0
34,24523,6.878,2,false,14,74,68,6,0,0,68,310,1.5819,0.0011,0,0
35,24530,6.893,2,false,14,74,68,6,0,0,69,310,1.4371,0.0012,0,0
36,24537,6.929,2,false,14,75,69,6,0,0,69,310,1.4371,0.0012,0,0
37,24544,6.876,2,false,14,75,69,6,0,0,69,310,1.4371,0.0012,0,0
38,24551,6.938,2,false,14,75,69,6,0,0,69,310,1.4371,0.0012,0,0
39,24558,6.854,2,false,14,76,69,7,0,0,70,310,1.455,0.0009,0,0
40,24564,6.897,2,false,14,76,70,6,0,0,70,310,1.455,0.0009,0,0
41,24571,6.944,2,false,14,76,70,6,0,0,70,310,1.455,0.0009,0,0
42,24578,6.854,2,false,14,76,70,6,0,0,71,310,1.4193,0.0009,0,0
43,24585,6.924,2,false,14,77,71,6,0,0,71,310,1.4193,0.0009,0,0
44,24592,6.883,2,false,14,77,71,6,0,0,71,310,1.4193,0.0009,0,0
45,24599,6.907,2,false,14,78,71,7,0,0,71,310,1.4193,0.0009,0,0
46,24606,6.918,2,false,14,78,72,6,0,0,72,29,1.5065,0.0009,0,0
47,24613,6.882,2,false,14,78,72,6,0,0,72,311,1.5065,0.0009,0,0
48,24620,6.924,2,false,14,78,72,6,0,0,72,311,1.5065,0.0009,0,0
49,24627,6.863,2,false,14,78,72,6,0,0,73,311,1.4245,0.001,0,0
50,24633,6.927,2,false,14,79,73,6,0,0,73,311,1.4245,0.001,0,0
51,24640,6.908,2,false,14,79,73,6,0,0,73,311,1.4245,0.001,0,0
52,24647,6.876,2,false,14,79,73,6,0,0,73,311,1.4245,0.001,0,0
53,24654,6.922,2,false,14,80,74,6,0,0,74,311,1.4333,0.001,0,0
54,24661,6.876,2,false,14,80,74,6,0,0,74,306,1.4333,0.001,0,0
55,24668,6.94,2,false,14,80,74,6,0,0,74,306,1.4333,0.001,0,0
56,24675,6.868,2,false,14,80,74,6,0,0,75,306,1.4333,0.001,0,0
57,24682,6.892,2,false,14,81,75,6,0,0,75,306,2.2411,0.0014,0,0
58,24689,6.933,2,false,14,81,75,6,0,0,75,306,2.2411,0.0014,0,0
59,24696,6.873,2,false,14,81,75,6,0,0,75,306,2.2411,0.0014,0,0
60,24703,6.928,2,false,14,82,75,7,0,0,76,306,1.5159,0.0012,0,0
61,24709,6.857,2,false,14,82,76,6,0,0,76,18,1.5159,0.0012,0,0
62,24716,6.941,2,false,14,82,76,6,0,0,76,18,1.5159,0.0012,0,0
63,24723,6.874,2,false,14,82,76,6,0,0,76,18,1.5159,0.0012,0,0
64,24730,6.894,2,false,14,83,76,7,0,0,77,18,1.4538,0.0009,0,0
65,24737,6.925,2,false,14,83,77,6,0,0,77,303,1.4538,0.0009,0,0
66,24744,6.874,2,false,14,83,77,6,0,0,77,303,1.4538,0.0009,0,0
67,24751,6.932,2,false,14,83,77,6,0,0,78,303,1.6451,0.0013,0,0
68,24758,6.861,2,false,14,84,78,6,0,0,78,303,1.6451,0.0013,0,0
69,24765,6.906,2,false,14,84,78,6,0,0,78,303,1.6451,0.0013,0,0
70,24772,6.931,2,false,14,84,78,6,0,0,78,303,1.6451,0.0013,0,0
71,24778,6.865,2,false,14,85,79,6,0,0,79,303,1.4528,0.0009,0,0
72,24785,6.938,2,false,14,85,79,6,0,0,79,339,1.4528,0.0009,0,0
73,24792,6.875,2,false,14,85,79,6,0,0,79,339,1.4528,0.0009,0,0
74,24800,7.38,2,false,14,85,79,6,0,0,80,339,1.4528,0.0009,0,0
75,24806,6.429,2,false,14,86,80,6,0,0,80,339,1.544,0.0013,0,0
76,24813,6.9,2,false,14,86,80,6,0,0,80,339,1.544,0.0013,0,0
77,24820,6.926,2,false,14,86,80,6,0,0,80,339,1.544,0.0013,0,0
78,24827,6.85,2,false,14,87,81,6,0,0,81,339,1.457,0.0009,0,0
79,24834,6.942,2,false,14,87,81,6,0,0,81,313,1.457,0.0009,0,0
80,24840,6.866,2,false,14,87,81,6,0,0,81,313,1.457,0.0009,0,0
81,24847,6.907,2,false,14,88,81,7,0,0,82,313,1.457,0.0009,0,0
82,24854,6.91,2,false,14,88,82,6,0,0,82,21,1.5382,0.0015,0,0
83,24861,6.882,2,false,14,88,82,6,0,0,82,21,1.5382,0.0015,0,0
84,24868,6.93,2,false,14,88,82,6,0,0,82,21,1.5382,0.0015,0,0
85,24875,6.86,2,false,14,89,82,7,0,0,83,21,2.4699,0.0009,0,0
86,24882,6.903,2,false,14,89,83,6,0,0,83,33,2.4699,0.0009,0,0
87,24889,6.941,2,false,14,89,83,6,0,0,83,33,2.4699,0.0009,0,0
88,24896,6.873,2,false,14,89,83,6,0,0,83,33,2.4699,0.0009,0,0
89,24903,6.915,2,false,14,90,83,7,0,0,84,33,1.5096,0.001,0,0
90,24909,6.876,2,false,14,90,84,6,0,0,84,17,1.5096,0.001,0,0
91,24916,6.943,2,false,14,90,84,6,0,0,84,17,1.5096,0.001,0,0
92,24923,6.858,2,false,14,90,84,6,0,0,84,17,1.5096,0.001,0,0
93,24930,6.894,2,false,14,91,84,7,0,0,85,17,1.4466,0.001,0,0
94,24937,6.925,2,false,14,91,85,6,0,0,85,16,1.4466,0.001,0,0
95,24944,6.891,2,false,14,91,85,6,0,0,85,16,1.4466,0.001,0,0
96,24951,6.923,2,false,14,91,85,6,0,0,85,16,1.4466,0.001,0,0
97,24958,6.859,2,false,14,92,85,7,0,0,86,16,1.4463,0.001,0,0
98,24965,6.902,2,false,14,92,86,6,0,0,86,15,1.4463,0.001,0,0
99,24972,6.94,2,false,14,92,86,6,0,0,86,15,1.4463,0.001,0,0
100,24979,6.872,2,false,14,92,86,6,0,0,86,15,1.4463,0.001,0,0
101,24985,6.934,2,false,14,93,86,7,0,0,87,15,1.494,0.0009,0,0
102,24992,6.849,2,false,14,93,87,6,0,0,87,17,1.494,0.0009,0,0
103,24999,6.922,2,false,14,93,87,6,0,0,87,17,1.494,0.0009,0,0
104,25006,6.938,2,false,14,93,87,6,0,0,87,17,1.494,0.0009,0,0
105,25013,6.855,2,false,14,94,87,7,0,0,88,17,1.5528,0.0013,0,0
106,25020,6.914,2,false,14,94,88,6,0,0,88,19,1.5528,0.0013,0,0
107,25027,6.877,2,false,14,94,88,6,0,0,88,19,1.5528,0.0013,0,0
108,25034,6.943,2,false,14,94,88,6,0,0,88,19,1.5528,0.0013,0,0
109,25041,6.864,2,false,14,95,88,7,0,0,89,19,1.4653,0.0013,0,0
110,25047,6.893,2,false,14,95,89,6,0,0,89,18,1.4653,0.0013,0,0
111,25054,6.932,2,false,14,95,89,6,0,0,89,18,1.4653,0.0013,0,0
112,25061,6.878,2,false,14,95,89,6,0,0,89,18,1.4653,0.0013,0,0
113,25068,6.925,2,false,14,96,89,7,0,0,90,18,1.427,0.001,0,0
114,25075,6.866,2,false,14,96,90,6,0,0,90,316,1.427,0.001,0,0
115,25082,6.907,2,false,14,96,90,6,0,0,90,316,1.427,0.001,0,0
116,25089,6.924,2,false,14,96,90,6,0,0,91,316,1.427,0.001,0,0
117,25096,6.865,2,false,14,97,91,6,0,0,91,316,2.2267,0.0009,0,0
118,25103,7.023,2,false,14,97,91,6,0,0,91,316,2.2267,0.0009,0,0
119,25110,6.791,2,false,14,98,91,7,0,0,91,316,2.2267,0.0009,0,0
120,25117,6.928,2,false,14,98,92,6,0,0,92,21,1.4824,0.0013,0,0
121,25124,6.868,2,false,14,98,92,6,0,0,92,315,1.4824,0.0013,0,0
122,25130,6.906,2,false,14,98,92,6,0,0,92,315,1.4824,0.0013,0,0
123,25137,6.93,2,false,14,98,92,6,0,0,93,315,1.4554,0.0011,0,0
124,25144,6.857,2,false,14,99,93,6,0,0,93,315,1.4554,0.0011,0,0
125,25151,6.947,2,false,14,99,93,6,0,0,93,315,1.4554,0.0011,0,0
126,25158,6.862,2,false,14,99,93,6,0,0,93,315,1.4554,0.0011,0,0
127,25165,6.889,2,false,14,100,94,6,0,0,94,315,1.5105,0.0013,0,0
128,25172,6.959,2,false,14,100,94,6,0,0,94,315,1.5105,0.0013,0,0
129,25179,6.849,2,false,14,100,94,6,0,0,94,315,1.5105,0.0013,0,0
130,25185,6.928,2,false,14,101,94,7,0,0,95,315,1.6979,0.0015,0,0
131,25192,6.862,2,false,14,101,95,6,0,0,95,16,1.6979,0.0015,0,0
132,25199,6.905,2,false,14,101,95,6,0,0,95,16,1.6979,0.0015,0,0
133,25206,6.936,2,false,14,101,95,6,0,0,95,16,1.6979,0.0015,0,0
134,25213,6.859,2,false,14,102,95,7,0,0,96,16,1.4297,0.0009,0,0
135,25220,6.932,2,false,14,102,96,6,0,0,96,171,1.4297,0.0009,0,0
136,25227,6.881,2,false,14,102,96,6,0,0,96,171,1.4297,0.0009,0,0
137,25234,6.934,2,false,14,102,96,6,0,0,97,171,1.4297,0.0009,0,0
138,25241,6.855,2,false,14,103,97,6,0,0,97,171,1.4992,0.001,0,0
139,25248,6.906,2,false,14,103,97,6,0,0,97,171,1.4992,0.001,0,0
140,25255,6.947,2,false,14,103,97,6,0,0,97,171,1.4992,0.001,0,0
141,25261,6.856,2,false,14,104,97,7,0,0,98,171,1.4576,0.001,0,0
142,25268,6.918,2,false,14,104,98,6,0,0,98,16,1.4576,0.001,0,0
143,25275,6.874,2,false,14,104,98,6,0,0,98,16,1.4576,0.001,0,0
144,25282,6.909,2,false,14,104,98,6,0,0,98,16,1.4576,0.001,0,0
145,25289,6.928,2,false,14,105,98,7,0,0,99,16,2.4594,0.0012,0,0
146,25296,6.863,2,false,14,105,99,6,0,0,99,17,2.4594,0.0012,0,0
147,25303,6.93,2,false,14,105,99,6,0,0,99,17,2.4594,0.0012,0,0
148,25310,6.88,2,false,14,105,99,6,0,0,99,17,2.4594,0.0012,0,0
149,25317,6.94,2,false,14,106,99,7,0,0,100,17,2.4594,0.0012,0,0
150,25323,6.851,2,false,14,106,100,6,0,0,100,21,1.6088,0.0016,0,0
151,25330,6.908,2,false,14,106,100,6,0,0,100,21,1.6088,0.0016,0,0
152,25337,6.93,2,false,14,106,100,6,0,0,100,21,1.6088,0.0016,0,0
153,25344,6.869,2,false,14,107,100,7,0,0,101,21,1.4636,0.001,0,0
154,25351,6.929,2,false,14,107,101,6,0,0,101,311,1.4636,0.001,0,0
155,25358,6.881,2,false,14,107,101,6,0,0,101,311,1.4636,0.001,0,0
156,25365,6.892,2,false,14,108,101,7,0,0,102,311,1.5618,0.0014,0,0
157,25372,6.919,2,false,14,108,102,6,0,0,102,18,1.5618,0.0014,0,0
158,25379,6.882,2,false,14,108,102,6,0,0,102,18,1.5618,0.0014,0,0
159,25386,6.937,2,false,14,108,102,6,0,0,102,18,1.5618,0.0014,0,0
160,25393,6.861,2,false,14,109,102,7,0,0,103,18,1.4735,0.001,0,0
161,25399,6.888,2,false,14,109,103,6,0,0,103,19,1.4735,0.001,0,0
162,25406,6.956,2,false,14,109,103,6,0,0,103,19,1.4735,0.001,0,0
163,25413,6.859,2,false,14,109,103,6,0,0,103,19,1.4735,0.001,0,0
164,25420,6.931,2,false,14,110,103,7,0,0,104,19,1.5993,0.0011,0,0
165,25427,6.857,2,false,14,110,104,6,0,0,104,340,1.5993,0.0011,0,0
166,25434,6.964,2,false,14,110,104,6,0,0,104,340,1.5993,0.0011,0,0
167,25441,6.841,2,false,14,110,104,6,0,0,105,340,1.4398,0.001,0,0
168,25448,6.898,2,false,14,111,105,6,0,0,105,340,1.4398,0.001,0,0
169,25455,6.943,2,false,14,111,105,6,0,0,105,340,1.4398,0.001,0,0
170,25461,6.86,2,false,14,111,105,6,0,0,105,340,1.4398,0.001,0,0
