frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24346,1.276,2,false,12,76,70,6,0,0,70,44,3.1208,0.0041,0,0
1,24352,6.596,2,false,12,76,70,6,0,0,70,44,3.1208,0.0041,0,0
2,24359,6.946,2,false,12,76,70,6,0,0,70,44,3.1208,0.0041,0,0
3,24366,6.866,2,false,12,77,70,7,0,0,71,44,3.1208,0.0041,0,0
4,24373,6.904,2,false,12,77,71,6,0,0,71,28,1.8571,0.0015,0,0
5,24380,6.885,2,false,12,77,71,6,0,0,71,28,1.8571,0.0015,0,0
6,24387,6.899,2,false,12,77,71,6,0,0,71,28,1.8571,0.0015,0,0
7,24394,7.393,2,false,12,78,71,7,0,0,72,28,1.8571,0.0015,0,0
8,24400,6.395,2,false,12,78,72,6,0,0,72,22,2.3139,0.0028,0,0
9,24407,6.958,2,false,12,78,72,6,0,0,72,22,2.3139,0.0028,0,0
10,24414,6.855,2,false,12,78,72,6,0,0,72,22,2.3139,0.0028,0,0
11,24421,6.905,2,false,12,79,72,7,0,0,72,22,2.3139,0.0028,0,0
12,24428,6.913,2,false,12,79,73,6,0,0,73,27,1.5793,0.0013,0,0
13,24435,6.88,2,false,12,79,73,6,0,0,73,27,1.5793,0.0013,0,0
14,24442,6.953,2,false,12,79,73,6,0,0,73,27,1.5793,0.0013,0,0
15,24449,6.855,2,false,12,80,73,7,0,0,74,27,1.8436,0.0017,0,0
16,24455,6.873,2,false,12,80,74,6,0,0,74,28,1.8436,0.0017,0,0
17,24463,6.961,2,false,12,80,74,6,0,0,74,28,1.8436,0.0017,0,0
18,24469,6.858,2,false,12,80,74,6,0,0,74,28,1.8436,0.0017,0,0
19,24476,6.935,2,false,12,81,74,7,0,0,74,28,1.8436,0.0017,0,0
20,24483,6.859,2,false,12,81,75,6,0,0,75,24,2.4321,0.0016,0,0
21,24490,6.922,2,false,12,81,75,6,0,0,75,340,2.4321,0.0016,0,0
22,24497,6.881,2,false,12,81,75,6,0,0,75,340,2.4321,0.0016,0,0
23,24504,6.897,2,false,12,81,75,6,0,0,76,340,1.5114,0.0014,0,0
24,24511,6.916,2,false,12,82,76,6,0,0,76,340,1.5114,0.0014,0,0
25,24518,6.888,2,false,12,82,76,6,0,0,76,340,1.5114,0.0014,0,0
26,24525,6.931,2,false,12,82,76,6,0,0,76,340,1.5114,0.0014,0,0
27,24531,6.855,2,false,12,83,77,6,0,0,77,340,1.8027,0.0023,0,0
28,24538,6.916,2,false,12,83,77,6,0,0,77,340,1.8027,0.0023,0,0
29,24545,6.928,2,false,12,83,77,6,0,0,77,340,1.8027,0.0023,0,0
30,24552,6.868,2,false,12,84,77,7,0,0,78,340,1.7261,0.0014,0,0
31,24559,6.93,2,false,12,84,78,6,0,0,78,21,1.7261,0.0014,0,0
32,24566,6.874,2,false,12,84,78,6,0,0,78,21,1.7261,0.0014,0,0
33,24573,6.931,2,false,12,84,78,6,0,0,78,21,1.7261,0.0014,0,0
34,24580,6.951,2,false,12,85,78,7,0,0,79,21,1.5385,0.0012,0,0
35,24587,6.808,2,false,12,85,79,6,0,0,79,337,1.5385,0.0012,0,0
36,24594,6.954,2,false,12,85,79,6,0,0,79,337,1.5385,0.0012,0,0
37,24601,6.863,2,false,12,86,79,7,0,0,80,337,1.5385,0.0012,0,0
38,24607,6.904,2,false,12,86,80,6,0,0,80,25,1.8365,0.0014,0,0
39,24614,6.889,2,false,12,86,80,6,0,0,80,25,1.8365,0.0014,0,0
40,24621,6.9,2,false,12,86,80,6,0,0,80,25,1.8365,0.0014,0,0
41,24628,6.939,2,false,12,87,80,7,0,0,81,25,2.0276,0.0014,0,0
42,24635,6.845,2,false,12,87,81,6,0,0,81,21,2.0276,0.0014,0,0
43,24642,6.976,2,false,12,87,81,6,0,0,81,21,2.0276,0.0014,0,0
44,24649,6.834,2,false,12,87,81,6,0,0,81,21,2.0276,0.0014,0,0
45,24656,6.906,2,false,12,88,81,7,0,0,82,21,1.5127,0.0009,0,0
46,24663,6.916,2,false,12,88,82,6,0,0,82,363,1.5127,0.0009,0,0
47,24670,6.883,2,false,12,88,82,6,0,0,82,363,1.5127,0.0009,0,0
48,24677,6.979,2,false,12,88,82,6,0,0,82,363,1.5127,0.0009,0,0
49,24683,6.807,2,false,12,89,83,6,0,0,83,363,2.6957,0.0021,0,0
50,24690,6.959,2,false,12,89,83,6,0,0,83,363,2.6957,0.0021,0,0
51,24697,6.852,2,false,12,89,83,6,0,0,83,363,2.6957,0.0021,0,0
52,24704,6.898,2,false,12,90,83,7,0,0,84,363,2.6957,0.0021,0,0
53,24711,6.917,2,false,12,90,84,6,0,0,84,28,1.7867,0.0014,0,0
54,24718,6.898,2,false,12,90,84,6,0,0,84,28,1.7867,0.0014,0,0
55,24725,6.928,2,false,12,90,84,6,0,0,84,28,1.7867,0.0014,0,0
56,24732,6.849,2,false,12,91,84,7,0,0,85,28,1.5299,0.0012,0,0
57,24738,6.899,2,false,12,91,85,6,0,0,85,334,1.5299,0.0012,0,0
58,24745,6.952,2,false,12,91,85,6,0,0,85,334,1.5299,0.0012,0,0
59,24753,6.859,2,false,12,91,85,6,0,0,86,334,1.582,0.0014,0,0
60,24761,8.93,2,false,12,92,86,6,0,0,86,334,1.582,0.0014,0,0
61,24766,4.866,2,false,12,92,86,6,0,0,86,334,1.582,0.0014,0,0
62,24773,6.937,2,false,12,92,86,6,0,0,86,334,1.582,0.0014,0,0
