frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,28153,2.058,2,false,18,71,65,6,0,0,65,27,2.6925,0.0037,0,0
1,28160,6.916,2,false,18,71,65,6,0,0,65,27,2.6925,0.0037,0,0
2,28167,6.934,2,false,18,71,65,6,0,0,66,27,2.6925,0.0037,0,0
3,28176,9.148,2,false,18,72,66,6,0,0,66,27,1.6047,0.0016,0,0
4,28181,4.662,2,false,18,72,66,6,0,0,66,27,1.6047,0.0016,0,0
5,28188,6.849,2,false,18,72,66,6,0,0,66,27,1.6047,0.0016,0,0
6,28196,7.866,2,false,18,73,67,6,0,0,67,27,2.7244,0.0016,0,0
7,28202,5.978,2,false,18,73,67,6,0,0,67,27,2.7244,0.0016,0,0
8,28209,6.865,2,false,18,73,67,6,0,0,67,27,2.7244,0.0016,0,0
9,28216,6.939,2,false,18,74,67,7,0,0,68,27,2.1727,0.0021,0,0
10,28222,6.843,2,false,18,74,68,6,0,0,68,26,2.1727,0.0021,0,0
11,28229,6.953,2,false,18,74,68,6,0,0,68,26,2.1727,0.0021,0,0
12,28236,6.866,2,false,18,74,68,6,0,0,68,26,2.1727,0.0021,0,0
13,28244,7.77,2,false,18,75,69,6,0,0,69,26,2.0831,0.0062,0,0
14,28250,6.077,2,false,18,75,69,6,0,0,69,26,2.0831,0.0062,0,0
15,28257,6.845,2,false,18,75,69,6,0,0,69,26,2.0831,0.0062,0,0
16,28264,6.936,2,false,18,76,69,7,0,0,70,26,2.0831,0.0062,0,0
17,28271,6.858,2,false,18,76,70,6,0,0,70,25,1.9311,0.0019,0,0
18,28277,6.909,2,false,18,76,70,6,0,0,70,25,1.9311,0.0019,0,0
19,28285,6.969,2,false,18,76,70,6,0,0,71,25,1.9311,0.0019,0,0
20,28292,7.737,2,false,18,77,71,6,0,0,71,25,1.9535,0.0017,0,0
21,28299,6.049,2,false,18,77,71,6,0,0,71,25,1.9535,0.0017,0,0
22,28305,6.844,2,false,18,77,71,6,0,0,71,25,1.9535,0.0017,0,0
23,28312,6.942,2,false,18,78,71,7,0,0,72,25,1.7464,0.0012,0,0
24,28319,6.851,2,false,18,78,72,6,0,0,72,17,1.7464,0.0012,0,0
25,28326,6.904,2,false,18,78,72,6,0,0,72,17,1.7464,0.0012,0,0
26,28333,6.968,2,false,18,78,72,6,0,0,73,17,1.7464,0.0012,0,0
27,28340,7.332,2,false,18,79,73,6,0,0,73,17,2.2154,0.0028,0,0
28,28347,6.466,2,false,18,79,73,6,0,0,73,17,2.2154,0.0028,0,0
29,28354,6.837,2,false,18,79,73,6,0,0,73,17,2.2154,0.0028,0,0
30,28360,6.993,2,false,18,80,74,6,0,0,74,17,1.8604,0.0016,0,0
31,28368,6.877,2,false,18,80,74,6,0,0,74,17,1.8604,0.0016,0,0
32,28374,6.823,2,false,18,81,74,7,0,0,74,17,1.8604,0.0016,0,0
33,28381,6.951,2,false,18,81,74,7,0,0,75,23,1.8604,0.0016,0,0
34,28391,10.084,2,false,18,81,75,6,0,0,75,33,3.5535,0.002,0,0
35,28395,3.669,2,false,18,81,75,6,0,0,75,33,3.5535,0.002,0,0
36,28402,6.974,2,false,18,81,75,6,0,0,75,33,3.5535,0.002,0,0
37,28409,6.829,2,false,18,82,75,7,0,0,75,33,3.5535,0.002,0,0
38,28416,6.936,2,false,18,82,75,7,0,0,76,40,2.4258,0.0016,0,0
39,28422,6.853,2,false,18,82,76,6,0,0,76,28,2.4258,0.0016,0,0
40,28429,6.949,2,false,18,82,76,6,0,0,76,28,2.4258,0.0016,0,0
41,28436,6.86,2,false,18,82,76,6,0,0,77,28,2.4258,0.0016,0,0
42,28443,6.917,2,false,18,83,77,6,0,0,77,28,1.9819,0.0022,0,0
43,28450,6.918,2,false,18,83,77,6,0,0,77,28,1.9819,0.0022,0,0
44,28457,6.87,2,false,18,83,77,6,0,0,77,28,1.9819,0.0022,0,0
45,28464,6.936,2,false,18,84,78,6,0,0,78,28,2.5101,0.0018,0,0
46,28471,6.85,2,false,18,84,78,6,0,0,78,21,2.5101,0.0018,0,0
47,28478,6.903,2,false,18,84,78,6,0,0,78,21,2.5101,0.0018,0,0
48,28485,6.953,2,false,18,84,78,6,0,0,79,21,2.0452,0.0031,0,0
49,28492,7.455,2,false,18,85,79,6,0,0,79,21,2.0452,0.0031,0,0
50,28498,6.334,2,false,18,85,79,6,0,0,79,21,2.0452,0.0031,0,0
51,28505,6.867,2,false,18,85,79,6,0,0,79,21,2.0452,0.0031,0,0
52,28512,7.101,2,false,18,86,80,6,0,0,80,21,2.0587,0.0014,0,0
