frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25220,5.255,78,false,2,82,76,6,0,0,76,27,1.5363,0.001,0,0
1,25227,6.932,78,false,2,82,76,6,0,0,77,27,1.5295,0.0012,0,0
2,25234,6.894,79,true,2,83,77,6,0,0,77,27,1.5295,0.0012,0,0
3,25241,6.872,79,false,2,83,77,6,0,0,77,27,1.5295,0.0012,0,0
4,25248,6.936,79,false,2,83,77,6,0,0,78,27,1.5689,0.001,0,0
5,25255,7.146,80,true,2,84,78,6,0,0,78,27,1.5689,0.001,0,0
6,25261,6.641,80,false,2,84,78,6,0,0,78,27,1.5689,0.001,0,0
7,25268,6.867,80,false,2,85,78,7,0,0,79,27,1.5027,0.0011,0,0
8,25276,7.741,81,true,2,85,79,6,0,0,79,15,1.5027,0.0011,0,0
9,25282,6.103,81,false,2,85,79,6,0,0,79,15,1.5027,0.0011,0,0
10,25289,6.872,81,false,2,85,79,6,0,0,80,15,1.7795,0.0019,0,0
11,25296,6.907,82,true,2,86,80,6,0,0,80,15,1.7795,0.0019,0,0
12,25303,6.89,82,false,2,86,80,6,0,0,80,15,1.7795,0.0019,0,0
13,25310,6.926,83,true,2,86,81,5,0,0,81,15,1.7598,0.0014,0,0
14,25316,6.863,83,false,2,87,81,6,0,0,81,15,1.7598,0.0014,0,0
15,25323,6.92,83,false,2,87,81,6,0,0,82,15,1.7598,0.0014,0,0
16,25330,6.921,84,true,2,87,82,5,0,0,82,15,1.6183,0.002,0,0
17,25337,6.868,84,false,2,88,82,6,0,0,82,15,1.6183,0.002,0,0
18,25344,6.934,84,false,2,88,82,6,0,0,83,15,1.6183,0.002,0,0
19,25351,6.86,85,true,2,88,83,5,0,0,83,15,2.674,0.0017,0,0
20,25358,6.901,85,false,2,89,83,6,0,0,83,15,2.674,0.0017,0,0
21,25365,6.968,85,false,2,89,83,6,0,0,84,15,2.674,0.0017,0,0
22,25372,6.835,86,true,3,89,84,5,0,0,84,15,1.8182,0.0018,0,0
23,25379,6.92,86,false,3,90,84,6,0,0,84,15,1.8182,0.0018,0,0
24,25386,6.892,86,false,3,90,84,6,0,0,85,15,1.8182,0.0018,0,0
25,25392,6.92,87,true,2,90,85,5,0,0,85,15,1.705,0.002,0,0
26,25399,6.865,87,false,2,91,85,6,0,0,85,15,1.705,0.002,0,0
27,25406,6.913,87,false,2,91,85,6,0,0,86,15,1.705,0.002,0,0
