frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20977,552.979,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20988,11.745,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20998,10.032,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
3,21000,1.382,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
4,21005,5.519,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
5,21019,14.051,2,true,13,2,-1,-1,0,0,0,1221,1.9859,0.0011,0,0
6,21021,1.818,2,false,13,2,-1,-1,0,0,0,480,1.9859,0.0011,0,0
7,21026,5.069,2,false,13,2,-1,-1,0,0,0,702,1.9859,0.0011,0,0
8,21033,6.917,2,false,13,2,-1,-1,0,0,0,537,1.9859,0.0011,0,0
9,21040,6.881,2,false,13,2,-1,-1,0,0,0,534,1.9859,0.0011,0,0
10,21047,6.903,2,false,13,2,-1,-1,0,0,1,15,1.9859,0.0011,0,0
11,21054,6.914,3,true,3,2,1,1,0,0,1,15,1.9859,0.0011,0,0
12,21061,6.885,3,false,3,3,1,2,0,0,1,15,3.4787,0.0011,0,0
13,21068,6.897,3,false,3,3,1,2,0,0,1,15,3.4787,0.0011,0,0
14,21075,6.922,3,false,3,3,1,2,0,0,1,15,3.4787,0.0011,0,0
15,21081,6.944,4,true,2,4,2,2,0,0,2,15,1.9325,0.0009,0,0
16,21088,6.876,4,false,2,4,2,2,0,0,2,15,1.9325,0.0009,0,0
17,21095,6.864,4,false,2,4,2,2,0,0,2,15,1.9325,0.0009,0,0
18,21108,12.544,5,true,2,5,3,2,0,0,3,15,3.1435,0.0015,0,0
19,21109,1.259,5,false,2,5,3,2,0,0,3,15,3.1435,0.0015,0,0
20,21116,6.903,5,false,2,6,3,3,0,0,3,15,3.1435,0.0015,0,0
21,21123,6.92,5,false,2,6,3,3,0,0,4,15,1.9169,0.001,0,0
22,21130,6.879,6,true,2,6,4,2,0,0,4,15,1.9169,0.001,0,0
23,21137,6.923,6,false,2,6,4,2,0,0,4,15,1.9169,0.001,0,0
