frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20566,552.737,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20578,12.12,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20603,24.36,2,true,14,2,-1,-1,0,0,0,1392,0,0,0,0
3,20604,1.874,2,false,14,2,-1,-1,0,0,0,521,0,0,0,0
4,20609,5.007,2,false,14,2,-1,-1,0,0,0,511,0,0,0,0
5,20616,6.907,2,false,14,2,-1,-1,0,0,0,551,0,0,0,0
6,20623,6.89,2,false,14,2,-1,-1,0,0,0,520,0,0,0,0
7,20630,6.933,2,false,14,2,-1,-1,0,0,0,515,0,0,0,0
8,20637,6.873,2,false,14,2,-1,-1,0,0,0,553,0,0,0,0
9,20644,6.898,2,false,14,2,-1,-1,0,0,0,526,0,0,0,0
10,20651,6.912,2,false,14,2,-1,-1,0,0,0,538,0,0,0,0
11,20658,6.891,2,false,14,2,-1,-1,0,0,0,552,0,0,0,0
12,20665,6.898,2,false,14,2,-1,-1,0,0,0,529,0,0,0,0
13,20672,6.92,2,false,14,2,-1,-1,0,0,0,544,0,0,0,0
14,20685,13.846,2,false,14,2,-1,-1,0,0,0,12544,0,0,0,0
15,20695,9.63,2,false,14,2,-1,-1,0,0,0,8193,0,0,0,0
16,20705,9.969,2,false,14,2,-1,-1,0,0,0,8606,0,0,0,0
17,20722,16.952,3,true,14,3,-1,-1,0,0,0,1013,0,0,0,0
18,20728,5.997,3,false,14,3,-1,-1,0,0,0,1013,0,0,0,0
19,20750,22.563,4,true,21,4,-1,-1,0,0,0,1263,8.045,0.0013,0,0
20,20754,3.327,4,false,21,4,-1,-1,0,0,0,1978,8.045,0.0013,0,0
21,20757,3.544,4,false,21,4,-1,-1,0,0,0,644,8.045,0.0013,15.1731,0
22,20764,6.926,4,false,21,4,-1,-1,0,0,0,587,8.045,0.0013,15.1731,0
23,20771,6.874,4,false,21,4,-1,-1,0,0,0,608,8.045,0.0013,15.1731,0
24,20778,6.91,4,false,21,4,-1,-1,0,0,0,608,8.045,0.0013,15.1731,0
25,20785,6.963,4,false,21,4,-1,-1,0,0,0,571,8.045,0.0013,15.1731,0
26,20792,6.836,4,false,21,4,-1,-1,0,0,0,597,8.045,0.0013,15.1731,0
27,20799,6.896,4,false,21,4,-1,-1,0,0,0,593,8.045,0.0013,15.1731,0
28,20806,6.919,4,false,21,4,-1,-1,0,0,0,589,8.045,0.0013,15.1731,0
29,20813,6.877,4,false,21,4,-1,-1,0,0,0,566,8.045,0.0013,15.1731,0
30,20820,6.942,4,false,21,4,-1,-1,0,0,0,564,8.045,0.0013,15.1731,0
31,20826,6.863,4,false,21,4,-1,-1,0,0,1,572,8.045,0.0013,15.1731,0
32,20833,6.905,4,false,21,4,-1,-1,0,0,1,591,8.045,0.0013,15.1731,0
33,20840,6.925,4,false,21,4,-1,-1,0,0,1,631,7.6924,0.0021,15.1731,0
34,20849,8.911,4,false,21,4,-1,-1,0,0,1,598,7.6924,0.0021,15.1731,0
35,20854,4.902,4,false,21,4,-1,-1,0,0,1,580,7.6924,0.0021,15.1731,0
36,20861,6.862,4,false,21,4,-1,-1,0,0,1,623,7.6924,0.0021,20.3865,0
37,20868,6.918,4,false,21,4,-1,-1,0,0,1,585,7.6924,0.0021,20.3865,0
38,20875,6.875,4,false,21,4,-1,-1,0,0,1,607,7.6924,0.0021,20.3865,0
39,20882,6.904,4,false,21,4,-1,-1,0,0,1,600,7.6924,0.0021,20.3865,0
40,20889,6.989,4,false,21,4,-1,-1,0,0,1,568,7.6924,0.0021,20.3865,0
41,20895,6.807,4,false,21,4,-1,-1,0,0,1,586,7.6924,0.0021,20.3865,0
42,20902,6.911,4,false,21,4,-1,-1,0,0,1,574,7.6924,0.0021,20.3865,0
43,20909,6.89,4,false,21,4,-1,-1,0,0,1,564,7.6924,0.0021,20.3865,0
44,20916,6.898,4,false,21,4,-1,-1,0,0,1,576,7.6924,0.0021,20.3865,0
45,20923,6.946,4,false,21,4,-1,-1,0,0,1,575,7.6924,0.0021,20.3865,0
46,20930,6.857,4,false,21,4,-1,-1,0,0,2,601,7.6924,0.0021,0,0
47,20943,12.979,4,false,21,4,-1,-1,0,0,2,11606,7.6924,0.0021,0,0
48,20953,10.278,4,false,21,4,-1,-1,0,0,2,8813,7.6924,0.0021,0,0
49,20961,7.724,4,false,21,4,-1,-1,0,0,2,6522,7.6924,0.0021,0,0
50,20962,0.989,4,false,21,4,-1,-1,0,0,2,6522,7.6924,0.0021,0,0
51,20976,14.495,5,true,13,5,-1,-1,0,0,2,6522,7.6924,0.0021,0,0
52,20983,7.049,5,false,13,5,-1,-1,0,0,2,6522,7.6924,0.0021,0,0
53,20993,10.098,5,false,13,5,-1,-1,0,0,2,6522,7.6924,0.0021,0,0
54,21004,10.45,5,false,13,5,-1,-1,0,0,2,9185,7.6924,0.0021,0,0
55,21015,10.673,5,false,13,5,-1,-1,0,0,2,9361,7.6924,0.0021,0,0
56,21017,2.494,5,false,13,5,-1,-1,0,0,2,1296,7.6924,0.0021,0,0
57,21035,17.454,6,true,16,6,-1,-1,0,0,2,670,9.3897,0,0,0
58,21037,1.98,6,false,16,6,-1,-1,0,0,2,701,9.3897,0,0,0
59,21041,4.919,6,false,16,6,-1,-1,0,0,2,625,9.3897,0,0,0
60,21048,6.889,6,false,16,6,-1,-1,0,0,2,614,9.3897,0,0,0
61,21055,6.932,6,false,16,6,-1,-1,0,0,2,701,9.3897,0,0,0
62,21062,6.869,6,false,16,6,-1,-1,0,0,2,636,9.3897,0,0,0
63,21069,6.939,6,false,16,6,-1,-1,0,0,2,634,9.3897,0,0,0
64,21076,6.858,6,false,16,6,-1,-1,0,0,2,928,9.3897,0,0,0
65,21083,6.897,6,false,16,6,-1,-1,0,0,2,627,9.3897,0,0,0
66,21090,6.954,6,false,16,6,-1,-1,0,0,2,640,9.3897,0,0,0
67,21097,6.849,6,false,16,6,-1,-1,0,0,2,651,9.3897,0,0,0
68,21104,6.931,6,false,16,6,-1,-1,0,0,2,663,9.3897,0,0,0
69,21111,6.869,6,false,16,6,-1,-1,0,0,2,2011,9.3897,0,0,0
70,21123,12.331,6,false,16,6,-1,-1,0,0,2,10771,9.3897,0,0,0
71,21131,7.844,6,false,16,6,-1,-1,0,0,2,6389,9.3897,0,0,0
72,21135,3.986,6,false,16,6,-1,-1,0,0,2,2611,9.3897,0,0,0
73,21139,4.212,6,false,16,6,-1,-1,0,0,2,2906,9.3897,0,0,0
74,21149,10.271,6,false,16,6,-1,-1,0,0,2,8768,9.3897,0,0,0
75,21156,6.631,6,false,16,6,-1,-1,0,0,2,5166,9.3897,0,0,0
76,21159,3.007,6,false,16,6,-1,-1,0,0,2,5166,9.3897,0,0,0
77,21181,22.678,7,true,21,7,-1,-1,0,0,2,1955,9.3897,0,0,0
78,21189,7.759,7,false,21,7,-1,-1,0,0,2,1955,9.3897,0,0,0
79,21233,43.573,8,true,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
80,21243,9.941,8,false,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
81,21244,1.452,8,false,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
82,21250,5.433,8,false,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
83,21257,6.9,8,false,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
84,21264,6.947,8,false,41,8,-1,-1,0,0,2,9852,9.3897,0,0,0
85,21314,50.728,9,true,49,9,-1,-1,0,0,2,3187,9.3897,0,0,0
86,21323,8.641,9,false,49,9,-1,-1,0,0,2,3187,9.3897,0,0,0
87,21324,1.117,9,false,49,9,-1,-1,0,0,2,3187,9.3897,0,0,0
88,21798,474.189,10,true,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
89,21806,7.508,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
90,21807,1.151,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
91,21812,5.723,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
92,21819,6.901,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
93,21826,6.927,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
94,21833,6.872,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
95,21840,6.904,10,false,472,10,-1,-1,0,0,2,386209,9.3897,0,0,0
96,22221,381.279,11,true,380,11,-1,-1,0,0,2,4502,9.3897,0,0,0
97,22232,10.504,11,false,380,11,-1,-1,0,0,2,4502,9.3897,0,0,0
98,22242,9.846,11,false,380,11,-1,-1,0,0,2,8060,9.3897,0,0,0
99,22245,3.341,11,false,380,11,-1,-1,0,0,2,1588,9.3897,0,0,0
100,22249,3.522,11,false,380,11,-1,-1,0,0,2,1620,9.3897,0,0,0
101,24967,2718.639,11,false,380,11,-1,-1,0,0,2,2716872,9.3897,0,0,0
