row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,speed_multiplier,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,largest_slice_work_done,largest_slice_processed_cells,largest_slice_processed_pixels,largest_slice_processed_indices,largest_slice_cursor_start,largest_slice_cursor_end,largest_slice_fallback_path,largest_slice_processed_per_ms,sus_sim_avg_300,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,sim_frame_budget_ms,sim_slice_budget_ms,sim_upload_slice_budget_ms,sim_strict_budget_enabled,sim_budget_warn_ms,economy_reserved_budget_ms,country_ui_refresh_reason,country_ui_snapshot_ms,country_ui_cache_hit,country_ui_dirty_domains,country_ui_event_refresh_enabled,country_report_mode,country_state_hash_ms,country_report_build_ms,research_queue_size,research_full_scan_fallbacks,research_activation_ms,research_allocation_ms,research_effect_ack_ms,research_discovery_ms,research_modifier_ms,research_report_ms,research_countries_scanned,research_active_countries,research_pending_checks,research_discovery_checks,research_discovery_frontier_mismatches,research_modifier_queries,research_modifier_cache_hits,research_remainder_iterations,prepare_reuse_count,workset_cells_planned,workset_cells_executed,duplicate_range_count,household_market_prepare_ms,household_market_worker_ms,household_market_merge_ms,bio_slice_native_ms,bio_slice_publish_ms,bio_knob_cache_hit,bio_knob_cache_build_ms,bio_slice_fallback_reason,natural_resource_factor_lookup_ms,natural_resource_slot_refresh_ms,natural_resource_knob_update_ms,natural_resource_native_call_ms,natural_resource_fallback_ms,continuation_frames,continuation_slices,continuation_started_slices,continuation_completed_slices,continuation_budget_exhausted,continuation_budget_overrun_frames,continuation_max_budget_overrun_ms,continuation_blocked_by_stage,continuation_country_slices,continuation_economy_slices,continuation_wall_ms,continuation_max_frame_wall_ms,continuation_max_slice_ms,continuation_last_slice_ms,continuation_budget_ms,continuation_last_stage,continuation_last_next_stage,continuation_last_substage,continuation_last_path,continuation_done,continuation_stage_counts,continuation_stage_wall_ms,continuation_stage_max_slice_ms,continuation_substage_counts,continuation_substage_wall_ms,continuation_substage_max_slice_ms,continuation_substage_work,clock_pulse_ms,clock_loop_ms,clock_full_ms,tail_label_ms,tail_label_count,tail_vegetation_ms,tail_vegetation_inflight,tail_vegetation_dedup_skips,tail_vegetation_tasks,tail_vegetation_forced_tasks,tail_vegetation_max_task_ms,tail_vegetation_plan_ms,tail_vegetation_encode_ms,tail_vegetation_cache_update_ms,tail_vegetation_assemble_ms,tail_vegetation_upload_ms,tail_overlay_ms,tail_overlay_last_bake_ms,tail_overlay_interval_msec,tail_overlay_refresh_count,frame_wall_ms,engine_process_ms,engine_physics_ms,render_residual_ms,render_objects_in_frame,render_primitives_in_frame,render_draw_calls_in_frame,runtime_graph_pulse_count,runtime_graph_abi_calls,runtime_graph_gdscript_callbacks,runtime_graph_work_done,runtime_graph_budget_yields,runtime_graph_last_elapsed_us,runtime_graph_last_status,runtime_graph_dirty_mask,runtime_graph_post_pulse_flush_ms,runtime_graph_flush_slot_count,runtime_graph_visual_diff_cell_count,runtime_graph_country_territory_sync_ms,runtime_graph_event_dispatch_ms,runtime_graph_full_flush_count,runtime_graph_simulation_thread_mode,runtime_graph_requested_simulation_thread_mode,runtime_graph_coverage_state,runtime_graph_required_domain_mask,runtime_graph_implemented_domain_mask,runtime_graph_missing_domain_mask,runtime_graph_coverage_blocker,runtime_graph_simulation_worker_ready,runtime_graph_native_executor_workers,runtime_graph_native_executor_interactive,runtime_graph_native_executor_fault_count,runtime_graph_country_pod_active_index_count,runtime_graph_climate_pod_ready,runtime_graph_climate_pod_plan_ms,runtime_graph_climate_pod_replay_ms,runtime_graph_climate_pod_work_units,runtime_graph_climate_pod_changed_cells,runtime_graph_climate_pod_state_hash,runtime_graph_climate_pod_fallback_reason,runtime_graph_climate_trace_depth,runtime_graph_climate_trace_front_day,runtime_graph_climate_trace_lag_days,runtime_graph_climate_trace_latest_hash,runtime_graph_climate_trace_capacity_exceeded,runtime_graph_climate_trace_consumed,runtime_graph_climate_trace_missing,runtime_graph_climate_trace_reference_rejected,runtime_graph_climate_trace_reference_pending,runtime_graph_simulation_host_state,runtime_graph_simulation_committed_day,runtime_graph_simulation_generation,runtime_graph_simulation_time_debt_days,runtime_graph_last_visual_publish_at_us,runtime_graph_snapshot_staleness_ms,runtime_graph_ui_input_to_feedback_ms,runtime_graph_visual_apply_ms,runtime_graph_gpu_upload_ms,runtime_graph_main_wait_on_sim_us,runtime_graph_simulation_environment_generation,runtime_graph_simulation_environment_day,runtime_graph_simulation_environment_cell_count,runtime_graph_simulation_environment_topology_validated,runtime_graph_stale_environment_rejected,runtime_graph_command_queue_depth,runtime_graph_receipt_queue_depth,runtime_graph_snapshot_publish_drop_count,runtime_graph_snapshot_publish_throttled_count,runtime_graph_worker_fault_count,runtime_graph_day_stage_count,runtime_graph_day_completed_stage_count,runtime_graph_day_work_units,runtime_graph_completed_days,runtime_graph_pod_completed_domain_mask,runtime_graph_pod_completed_stage_count,runtime_graph_pod_work_units,runtime_graph_pod_intent_count,runtime_graph_pod_fallback_count,runtime_graph_domain_authority_planned_mask,runtime_graph_domain_authority_committed_mask,runtime_graph_domain_authority_ack_count,runtime_graph_domain_authority_input_hash,runtime_graph_domain_authority_state_hash,runtime_graph_domain_authority_plan_ms,runtime_graph_domain_authority_replay_ms,runtime_graph_domain_authority_fallback_reason,runtime_graph_domain_stage_fallback_count,runtime_graph_domain_stage_fallback_reason,runtime_graph_climate_production_stage_mask,runtime_graph_climate_worker_stage_mask,runtime_graph_climate_pod_parity_compared,runtime_graph_climate_pod_parity_matched,runtime_graph_climate_pod_parity_mismatch_count,runtime_graph_climate_pod_parity_reason,runtime_graph_climate_pod_reference_hash,runtime_graph_climate_parity_day,runtime_graph_climate_parity_stage,runtime_graph_climate_parity_cell,runtime_graph_climate_parity_field,runtime_graph_climate_parity_reference_bits,runtime_graph_climate_parity_worker_bits,runtime_graph_climate_trace_captured,runtime_graph_climate_trace_reference_ready,runtime_graph_climate_trace_consumable,runtime_graph_fault_code,runtime_graph_simulation_invalid_environment_rejected,runtime_graph_country_pod_snapshot_generation,runtime_graph_country_pod_state_hash,runtime_graph_country_pod_work_units,runtime_graph_country_pod_active_country_count,runtime_graph_country_pod_pending_checks,runtime_graph_country_pod_ack_pending,runtime_graph_country_pod_blocker
0,1,20576,false,7,50,9.202,8.506,0.01,0.231,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,2.587,1,0,0,1,-1,-1,,0.386548,4.258,4.258,4.258,1,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0,0.234,0,0,0.058,1,0,0,0,0,0.037,0,0,0,0,0,0,100,0,0,86.958,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,0,0,0,0,0,climate_trace_reference_pending,,,,,0,,,0,0,2,0,0,1.337372,0,0,0,0,0,0,1,0,2400,true,0,0,0,0,0,0,0,0,0,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_reference_pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
1,2,20600,false,10,50,13.768,12.97,0.01,0.248,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.375,2400,2400,0,0,-1,-1,,1745.454545,3.17,4.258,4.258,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,64,59,false,0,0,,58,0,7.82,7.82,0.952,0.062,8,country_owned_by_runtime_graph,,,native_runtime_graph,true,"{""country:country_owned_by_runtime_graph"":58,""native_daily:climate_pass_b"":1,""native_daily:native_daily_complete"":1,""native_daily:native_daily_finalizer"":1,""native_daily:ocean_land"":1,""native_daily:sea_ice"":1,""native_daily:wind_surface"":1}","{""country:country_owned_by_runtime_graph"":3.773,""native_daily:climate_pass_b"":0.558,""native_daily:native_daily_complete"":0.289,""native_daily:native_daily_finalizer"":0.42,""native_daily:ocean_land"":0.952,""native_daily:sea_ice"":0.489,""native_daily:wind_surface"":0.69}","{""country:country_owned_by_runtime_graph"":0.101,""native_daily:climate_pass_b"":0.558,""native_daily:native_daily_complete"":0.289,""native_daily:native_daily_finalizer"":0.42,""native_daily:ocean_land"":0.952,""native_daily:sea_ice"":0.489,""native_daily:wind_surface"":0.69}",{},{},{},{},7.851,9.763,9.969,0,0,0.292,1,0,4,0,0.098,0,0,0,0,0,0,0,100,0,24.6,9165.816,0.017,14.339,0,0,0,1,1,0,65,0,1392,3,0,0,1,2400,0.023,0.024,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,0,0,0,0,6288059419074659568,,,,,,0,,,0,0,2,0,0,22.432392,0,0,0,0,0,0,2,1,2400,true,0,0,0,0,0,0,0,0,0,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_reference_barrier_pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
2,3,20720,false,1,50,13.437,9.305,0.008,3.663,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,1.078,1,0,0,1,-1,-1,,0.927644,2.898333,4.258,4.258,3,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},1.076,0.001,9.009,0,0,0.017,0,0,0,0,0,0.003,0,0,0,0,0,0,100,0,7.956467,24.331,0.019,0,0,0,0,16,16,0,1385,3,1013,2,0,0,1,2400,0.023,0.024,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,0,0,0,0,6288059419074659568,climate_trace_reference_pending,,,,,0,,,0,0,2,0,0,15.483417,0,0,0,0,0,0,3,2,2400,true,0,0,0,0,0,0,0,0,0,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_reference_pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
3,4,20748,false,1,50,20.016,18.384,0.009,0.2,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.166,2400,2400,0,0,-1,-1,,2058.319024,2.92225,4.258,4.258,4,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,2,false,0,0,,1,0,4.665,4.665,0.786,0.097,8,country_owned_by_runtime_graph,,,native_runtime_graph,true,"{""country:country_owned_by_runtime_graph"":1,""native_daily:climate_pass_b"":1,""native_daily:native_daily_complete"":1,""native_daily:native_daily_finalizer"":1,""native_daily:ocean_land"":1,""native_daily:sea_ice"":1,""native_daily:wind_surface"":1}","{""country:country_owned_by_runtime_graph"":0.097,""native_daily:climate_pass_b"":0.519,""native_daily:native_daily_complete"":0.261,""native_daily:native_daily_finalizer"":0.389,""native_daily:ocean_land"":0.751,""native_daily:sea_ice"":0.786,""native_daily:wind_surface"":0.601}","{""country:country_owned_by_runtime_graph"":0.097,""native_daily:climate_pass_b"":0.519,""native_daily:native_daily_complete"":0.261,""native_daily:native_daily_finalizer"":0.389,""native_daily:ocean_land"":0.751,""native_daily:sea_ice"":0.786,""native_daily:wind_surface"":0.601}",{},{},{},{},0,0,4.97,0,0,0.016,0,0,0,0,0,0.003,0,0,0,0,0,0,100,0,14.2105,24.331,0.019,9.2245,0,0,0,17,17,0,1450,3,1263,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,true,8.045,0.0013,19200,2237,-7191628782577606467,,,,,,0,,,0,0,2,0,0,8.506082,0,0,0,0,0,0,4,3,2400,true,0,0,0,0,0,0,0,0,0,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_reference_pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
4,5,20975,false,1,50,12.747,12.006,0.009,0.257,natural_resource_daily,natural_resource_daily,,gdext,1.929,2400,0,0,2400,-1,-1,,1244.16795,3.3046,4.834,4.834,5,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0,0.15,0,0,0.011,0,0,0,0,0,0.001,0,0,0,0,0,0,100,0,7.081062,24.331,0.019,6.920062,0,0,0,47,47,0,3773,5,6522,2,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,7.6924,0.0021,0,0,-5762477229547944908,climate_trace_reference_pending,,,,,0,,,0,0,2,2,2,14.266682,767774331721,48.835,0,0,0,0,5,4,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_reference_pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
5,6,21033,false,53,50,15.504,14.58,0.136,0.256,ocean_currents,daily_wind_prepass,daily_wind_wind,gdext_daily_wind,1.612,2400,2400,0,0,-1,-1,,1488.833757,3.3745,4.834,4.834,6,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,21,1,true,1,1.045,building_employment,0,12,14.892,9.045,1.576,1.576,8,building_employment,building_production,,ECONOMY_GRAPH,false,"{""economy:building_employment"":1,""economy:building_plan"":2,""economy:epoch_begin"":7,""economy:ledger_apply"":1,""economy:trade_settle"":1,""native_daily:climate_pass_b"":1,""native_daily:native_daily_complete"":1,""native_daily:native_daily_finalizer"":1,""native_daily:ocean_land"":1,""native_daily:runtime_hydrology"":1,""native_daily:sea_ice"":1,""native_daily:transpiration"":1,""native_daily:weather_stage_b"":1,""native_daily:wind_surface"":1}","{""economy:building_employment"":1.576,""economy:building_plan"":1.593,""economy:epoch_begin"":2.395,""economy:ledger_apply"":1.327,""economy:trade_settle"":1.381,""native_daily:climate_pass_b"":0.482,""native_daily:native_daily_complete"":0.397,""native_daily:native_daily_finalizer"":1.073,""native_daily:ocean_land"":0.746,""native_daily:runtime_hydrology"":0.61,""native_daily:sea_ice"":0.465,""native_daily:transpiration"":0.378,""native_daily:weather_stage_b"":1.386,""native_daily:wind_surface"":0.613}","{""economy:building_employment"":1.576,""economy:building_plan"":1.439,""economy:epoch_begin"":1.107,""economy:ledger_apply"":1.327,""economy:trade_settle"":1.381,""native_daily:climate_pass_b"":0.482,""native_daily:native_daily_complete"":0.397,""native_daily:native_daily_finalizer"":1.073,""native_daily:ocean_land"":0.746,""native_daily:runtime_hydrology"":0.61,""native_daily:sea_ice"":0.465,""native_daily:transpiration"":0.378,""native_daily:weather_stage_b"":1.386,""native_daily:wind_surface"":0.613}",{},{},{},{},0,0.001,1.559,0,0,0.016,0,0,0,0,0,0.002,0,0,0,0,0,0,100,0,9.6765,22.53,0.043,8.1015,0,0,0,51,51,0,4417,7,670,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,9.3897,0,86400,2400,4381271973020048724,climate_reference_field_mismatch,,,,,0,,,0,0,2,2,2,8.955702,767774331721,107.05,0,0,0,0,6,5,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_reference_field_mismatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
6,7,21180,false,53,50,20.686,19.815,0.115,0.248,trigger_runtime,trigger_evaluate,,TRIGGER_GRAPH,9.644,0,0,0,0,-1,-1,,0,4.373,10.364,10.364,7,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0.001,0.178,0,0,0.012,0,0,0,0,0,0.002,0,0,0,0,0,0,100,0,7.3398,22.53,0.043,7.1498,0,0,0,70,70,0,6063,9,1955,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,9.3897,0,86400,2400,4381271973020048724,climate_trace_future_frame,,,,,0,,,0,0,2,2,2,1.023277,767774331721,253.77,0,0,0,0,7,6,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_future_frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
7,8,21230,false,53,50,40.32,38.915,0.17,0.342,trigger_runtime,trigger_evaluate,,TRIGGER_GRAPH,17.865,0,0,0,0,-1,-1,,0,6.1275,18.409,18.409,8,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,64,1,false,0,0,,0,63,6.293,6.293,1.52,0.027,8,economy_daily,,,ECONOMY_GRAPH,false,"{""bio_occupancy:bio_occupancy_daily"":1,""economy:building_plan"":2,""economy:economy_daily"":60,""economy:epoch_begin"":1}","{""bio_occupancy:bio_occupancy_daily"":0.141,""economy:building_plan"":1.815,""economy:economy_daily"":1.741,""economy:epoch_begin"":1.233}","{""bio_occupancy:bio_occupancy_daily"":0.141,""economy:building_plan"":1.52,""economy:economy_daily"":0.086,""economy:epoch_begin"":1.233}",{},{},{},{},0,0.001,6.644,0,0,0.02,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,25.0715,22.53,0.043,18.4075,0,0,0,71,71,0,6064,10,9852,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,9.3897,0,86400,2400,4381271973020048724,climate_trace_future_frame,,,,,0,,,0,0,2,2,2,0.541357,767774331721,304.13,0,0,0,0,8,7,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_future_frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
8,9,21312,false,53,50,48.129,47.235,0.073,0.263,trigger_runtime,trigger_evaluate,,TRIGGER_GRAPH,34.622002,0,0,0,0,-1,-1,,0,9.487556,36.368004,36.368004,9,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,26,1,true,1,0.014,economy_daily,0,25,8.014,8.014,1.918,0.063,8,economy_daily,,,ECONOMY_GRAPH,false,"{""bio_occupancy:bio_occupancy_daily"":1,""economy:economy_daily"":22,""economy:government_research_procurement"":1,""economy:structural_commit"":1,""economy:trade_dispatch"":1}","{""bio_occupancy:bio_occupancy_daily"":0.176,""economy:economy_daily"":1.11,""economy:government_research_procurement"":1.912,""economy:structural_commit"":1.909,""economy:trade_dispatch"":1.918}","{""bio_occupancy:bio_occupancy_daily"":0.176,""economy:economy_daily"":0.103,""economy:government_research_procurement"":1.912,""economy:structural_commit"":1.909,""economy:trade_dispatch"":1.918}",{},{},{},{},0.001,0.001,0.352,0,0,0.033,0,0,0,0,0,0.006,0,0,0,0,0,0,100,0,13.7555,22.53,0.043,13.3705,0,0,0,72,72,0,6128,10,3187,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,9.3897,0,86400,2400,4381271973020048724,climate_trace_future_frame,,,,,0,,,0,0,2,2,2,0.660302,767774331721,386.509,0,0,0,0,9,8,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_future_frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
9,10,21795,false,53,50,470.73,464.756,0.08,5.129,trigger_runtime,trigger_evaluate,,TRIGGER_GRAPH,69.889999,0,0,0,0,-1,-1,,0,15.5737,70.348999,70.348999,10,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,64,1,false,0,0,,0,63,7.241,7.241,1.719,0.028,8,economy_daily,,,ECONOMY_GRAPH,false,"{""bio_occupancy:bio_occupancy_daily"":1,""economy:economy_daily"":56,""economy:family_commit"":2,""economy:person_commit"":5}","{""bio_occupancy:bio_occupancy_daily"":0.122,""economy:economy_daily"":1.708,""economy:family_commit"":1.914,""economy:person_commit"":2.006}","{""bio_occupancy:bio_occupancy_daily"":0.122,""economy:economy_daily"":0.084,""economy:family_commit"":1.719,""economy:person_commit"":1.496}",{},{},{},{},0,0,0.2,0,0,0.012,0,0,0,0,0,0.003,0,0,0,0,0,0,100,0,160.855333,22.53,0.043,160.643333,0,0,0,73,73,0,6669,11,386209,3,0,0,1,2400,0,3.266,0,SHADOW,SHADOW,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,9.3897,0,86400,2400,4381271973020048724,climate_trace_future_frame,,,,,0,,,0,0,2,2,2,0.792317,767774331721,869.15,0,0,0,0,10,9,2400,true,0,0,0,0,0,0,12,1,21609,0,4092,0,9,0,2,0,0,0,0,0,0,0,climate_trace_future_frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
