frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,21262,540.876,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,21274,11.945,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,21292,17.825,2,true,12,2,-1,-1,0,0,0,1212,1.97,0.001,0,0
3,21294,1.823,2,false,12,2,-1,-1,0,0,0,500,1.97,0.001,0,0
4,21299,5.071,2,false,12,2,-1,-1,0,0,0,509,1.97,0.001,0,0
5,21306,6.922,2,false,12,2,-1,-1,0,0,0,524,1.97,0.001,0,0
6,21313,6.878,2,false,12,2,-1,-1,0,0,0,530,1.97,0.001,0,0
7,21319,6.893,2,false,12,3,-1,-1,0,0,1,16,1.97,0.001,0,0
8,21326,6.915,3,true,3,3,1,2,0,0,1,16,3.2941,0.0014,0,0
9,21333,6.893,3,false,3,3,1,2,0,0,1,16,3.2941,0.0014,0,0
10,21340,6.917,3,false,3,3,1,2,0,0,1,16,3.2941,0.0014,0,0
11,21348,7.768,4,true,2,4,2,2,0,0,2,16,1.888,0.0013,0,0
12,21354,6.012,4,false,2,4,2,2,0,0,2,16,1.888,0.0013,0,0
13,21361,6.918,4,false,2,5,2,3,0,0,2,16,1.888,0.0013,0,0
14,21368,6.88,4,false,2,5,2,3,0,0,3,16,2.8042,0.001,0,0
15,21375,6.898,5,true,2,5,3,2,0,0,3,16,2.8042,0.001,0,0
16,21382,6.92,5,false,2,6,3,3,0,0,3,16,2.8042,0.001,0,0
17,21388,6.881,5,false,2,6,3,3,0,0,4,16,1.8297,0.0011,0,0
18,21395,6.915,6,true,2,6,4,2,0,0,4,16,1.8297,0.0011,0,0
19,21402,6.891,6,false,2,6,4,2,0,0,4,16,1.8297,0.0011,0,0
20,21413,11.237,7,true,2,7,5,2,0,0,5,16,2.7555,0.0014,0,0
21,21416,2.568,7,false,2,7,5,2,0,0,5,16,2.7555,0.0014,0,0
22,21423,6.897,7,false,2,7,5,2,0,0,5,16,2.7555,0.0014,0,0
23,21430,6.978,8,true,2,8,6,2,0,0,6,16,1.8681,0.001,0,0
24,21437,6.822,8,false,2,8,6,2,0,0,6,16,1.8681,0.001,0,0
25,21444,6.895,8,false,2,8,6,2,0,0,6,16,1.8681,0.001,0,0
26,21451,6.969,9,true,2,9,7,2,0,0,7,16,1.9827,0.0012,0,0
27,21458,6.839,9,false,2,9,7,2,0,0,7,16,1.9827,0.0012,0,0
28,21464,6.928,9,false,2,9,7,2,0,0,7,16,1.9827,0.0012,0,0
29,21471,6.855,10,true,2,10,8,2,0,0,8,16,1.9396,0.0011,0,0
30,21478,6.905,10,false,2,10,8,2,0,0,8,16,1.9396,0.0011,0,0
31,21485,6.947,10,false,2,10,8,2,0,0,8,16,1.9396,0.0011,0,0
32,21492,6.848,11,true,2,11,9,2,0,0,9,16,1.8809,0.0011,0,0
33,21499,6.959,11,false,2,11,9,2,0,0,9,16,1.8809,0.0011,0,0
34,21506,6.847,11,false,2,11,9,2,0,0,9,16,1.8809,0.0011,0,0
35,21513,6.893,12,true,2,12,10,2,0,0,10,16,1.8493,0.0011,0,0
36,21520,6.956,12,false,2,12,10,2,0,0,10,16,1.8493,0.0011,0,0
37,21526,6.858,12,false,2,12,10,2,0,0,10,16,1.8493,0.0011,0,0
38,21534,7.584,13,true,2,13,11,2,0,0,11,16,3.395,0.0019,0,0
39,21540,6.214,13,false,2,13,11,2,0,0,11,16,3.395,0.0019,0,0
40,21547,6.902,13,false,2,13,11,2,0,0,11,16,3.395,0.0019,0,0
41,21554,7.346,14,true,2,14,12,2,0,0,12,16,1.9505,0.0012,0,0
42,21561,6.457,14,false,2,14,12,2,0,0,12,16,1.9505,0.0012,0,0
43,21568,6.935,14,false,2,14,12,2,0,0,12,16,1.9505,0.0012,0,0
44,21575,7.532,15,true,2,15,13,2,0,0,13,16,1.9719,0.0015,0,0
45,21582,6.239,15,false,2,15,13,2,0,0,13,16,1.9719,0.0015,0,0
46,21589,6.915,15,false,2,15,13,2,0,0,13,16,1.9719,0.0015,0,0
47,21596,7.184,16,true,2,16,14,2,0,0,14,16,1.9123,0.001,0,0
48,21602,6.611,16,false,2,16,14,2,0,0,14,16,1.9123,0.001,0,0
49,21609,6.878,16,false,2,16,14,2,0,0,14,16,1.9123,0.001,0,0
50,21619,9.289,17,true,3,17,15,2,0,0,15,16,1.8801,0.001,0,0
51,21623,4.542,17,false,3,17,15,2,0,0,15,16,1.8801,0.001,0,0
52,21630,6.861,17,false,3,17,15,2,0,0,15,16,1.8801,0.001,0,0
53,21637,6.926,18,true,2,18,16,2,0,0,16,16,1.7874,0.0009,0,0
54,21644,6.934,18,false,2,18,16,2,0,0,16,16,1.7874,0.0009,0,0
55,21651,6.846,18,false,2,18,16,2,0,0,16,16,1.7874,0.0009,0,0
56,21658,6.915,19,true,2,19,17,2,0,0,17,16,2.4113,0.001,0,0
57,21664,6.879,19,false,2,19,17,2,0,0,17,16,2.4113,0.001,0,0
58,21671,6.947,19,false,2,19,17,2,0,0,17,16,2.4113,0.001,0,0
59,21679,7.275,20,true,2,20,18,2,0,0,18,16,1.91,0.0011,0,0
60,21685,6.484,20,false,2,20,18,2,0,0,18,16,1.91,0.0011,0,0
61,21692,6.936,20,false,2,20,18,2,0,0,18,16,1.91,0.0011,0,0
62,21700,7.53,21,true,2,21,19,2,0,0,19,16,2.4574,0.0011,0,0
63,21706,6.272,21,false,2,21,19,2,0,0,19,16,2.4574,0.0011,0,0
64,21713,6.853,21,false,2,22,19,3,0,0,19,16,2.4574,0.0011,0,0
65,21720,6.915,21,false,2,22,19,3,0,0,20,16,1.832,0.0011,0,0
66,21727,6.921,22,true,2,22,20,2,0,0,20,16,1.832,0.0011,0,0
67,21733,6.88,22,false,2,23,20,3,0,0,20,16,1.832,0.0011,0,0
68,21740,6.918,23,true,2,23,21,2,0,0,21,16,2.1014,0.0013,0,0
69,21747,6.885,23,false,2,23,21,2,0,0,21,16,2.1014,0.0013,0,0
70,21754,6.893,23,false,2,24,21,3,0,0,22,16,2.1014,0.0013,0,0
71,21761,6.945,24,true,2,24,22,2,0,0,22,16,1.8706,0.002,0,0
72,21768,6.862,24,false,2,24,22,2,0,0,22,16,1.8706,0.002,0,0
73,21775,6.922,24,false,2,25,22,3,0,0,23,16,1.8706,0.002,0,0
74,21782,6.878,25,true,2,25,23,2,0,0,23,16,2.8286,0.0016,0,0
75,21789,6.937,25,false,2,25,23,2,0,0,23,16,2.8286,0.0016,0,0
76,21796,6.859,25,false,2,26,23,3,0,0,24,16,2.8286,0.0016,0,0
77,21802,6.895,26,true,2,26,24,2,0,0,24,16,1.8507,0.0012,0,0
78,21809,6.972,26,false,2,26,24,2,0,0,24,16,1.8507,0.0012,0,0
79,21816,6.827,26,false,2,27,24,3,0,0,25,16,1.8507,0.0012,0,0
80,21823,6.935,27,true,2,27,25,2,0,0,25,16,1.8375,0.0013,0,0
81,21830,6.876,27,false,2,27,25,2,0,0,25,16,1.8375,0.0013,0,0
82,21837,6.895,27,false,2,28,25,3,0,0,26,16,1.8375,0.0013,0,0
83,21844,6.939,28,true,2,28,26,2,0,0,26,16,2.1306,0.0016,0,0
84,21851,6.863,28,false,2,28,26,2,0,0,26,16,2.1306,0.0016,0,0
85,21859,8.402,29,true,2,29,27,2,0,0,27,16,2.6844,0.0016,0,0
86,21865,5.399,29,false,2,29,27,2,0,0,27,16,2.6844,0.0016,0,0
87,21871,6.917,29,false,2,30,27,3,0,0,27,16,2.6844,0.0016,0,0
88,21878,6.883,29,false,2,30,27,3,0,0,28,16,1.9242,0.0014,0,0
89,21885,6.897,30,true,2,30,28,2,0,0,28,16,1.9242,0.0014,0,0
90,21892,6.94,30,false,2,31,28,3,0,0,28,16,1.9242,0.0014,0,0
91,21899,6.869,30,false,2,31,28,3,0,0,28,16,1.9242,0.0014,0,0
