frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24940,1.735,2,false,13,88,83,5,0,0,83,26,2.9257,0.0013,0,0
1,24947,6.931,2,false,13,88,84,4,0,0,84,26,1.5814,0.0011,0,0
2,24954,6.879,2,false,13,88,84,4,0,0,84,26,1.5814,0.0011,0,0
3,24961,6.927,2,false,13,89,84,5,0,0,85,26,1.5814,0.0011,0,0
4,24968,6.873,2,false,13,89,85,4,0,0,85,26,1.5075,0.0011,0,0
5,24975,6.904,2,false,13,89,85,4,0,0,85,26,1.5075,0.0011,0,0
6,24982,6.932,2,false,13,90,85,5,0,0,86,26,1.6934,0.0017,0,0
7,24989,6.866,2,false,13,90,86,4,0,0,86,26,1.6934,0.0017,0,0
8,24996,6.963,2,false,13,90,86,4,0,0,86,26,1.6934,0.0017,0,0
9,25002,6.826,2,false,13,91,87,4,0,0,87,26,1.6387,0.0019,0,0
10,25009,6.908,2,false,13,91,87,4,0,0,87,26,1.6387,0.0019,0,0
11,25016,6.951,2,false,13,91,87,4,0,0,87,26,1.6387,0.0019,0,0
12,25025,9.067,2,false,13,92,88,4,0,0,88,26,1.5804,0.0016,0,0
13,25030,4.732,2,false,13,92,88,4,0,0,88,26,1.5804,0.0016,0,0
14,25037,6.85,2,false,13,92,88,4,0,0,88,26,1.5804,0.0016,0,0
15,25044,6.927,2,false,13,93,89,4,0,0,89,26,1.5978,0.0015,0,0
16,25051,6.914,2,false,13,93,89,4,0,0,89,26,1.5978,0.0015,0,0
17,25058,6.859,2,false,13,93,89,4,0,0,89,26,1.5978,0.0015,0,0
18,25065,6.924,2,false,13,94,90,4,0,0,90,26,2.0452,0.0022,0,0
19,25071,6.879,2,false,13,94,90,4,0,0,90,26,2.0452,0.0022,0,0
20,25078,6.944,2,false,13,94,90,4,0,0,90,26,2.0452,0.0022,0,0
21,25085,6.842,2,false,13,95,91,4,0,0,91,26,2.4313,0.0021,0,0
22,25092,6.917,2,false,13,95,91,4,0,0,91,26,2.4313,0.0021,0,0
23,25099,6.925,2,false,13,96,91,5,0,0,91,26,2.4313,0.0021,0,0
24,25106,6.871,2,false,13,96,92,4,0,0,92,26,1.5686,0.0012,0,0
25,25113,6.933,2,false,13,96,92,4,0,0,92,26,1.5686,0.0012,0,0
26,25120,7.099,2,false,13,97,92,5,0,0,93,26,1.5686,0.0012,0,0
27,25127,6.666,2,false,13,97,93,4,0,0,93,26,2.0923,0.0019,0,0
28,25134,6.999,2,false,13,97,93,4,0,0,93,26,2.0923,0.0019,0,0
29,25140,6.792,2,false,13,98,93,5,0,0,93,26,2.0923,0.0019,0,0
30,25148,6.963,2,false,13,98,93,5,0,0,94,26,1.6281,0.0013,0,0
31,25154,6.855,2,false,13,98,94,4,0,0,94,26,1.6281,0.0013,0,0
32,25161,6.914,2,false,13,99,94,5,0,0,94,26,1.6281,0.0013,0,0
33,25168,6.877,2,false,13,99,94,5,0,0,95,26,2.5999,0.0332,0,0
34,25175,6.898,2,false,13,99,95,4,0,0,95,26,2.5999,0.0332,0,0
35,25182,6.916,2,false,13,100,95,5,0,0,95,26,2.5999,0.0332,0,0
36,25189,6.885,2,false,13,100,95,5,0,0,96,26,1.6262,0.0014,0,0
37,25196,6.938,2,false,13,100,96,4,0,0,96,26,1.6262,0.0014,0,0
38,25203,6.853,2,false,13,101,96,5,0,0,96,26,1.6262,0.0014,0,0
39,25209,6.907,2,false,13,101,96,5,0,0,97,26,1.5583,0.0009,0,0
40,25216,6.948,2,false,13,101,97,4,0,0,97,26,1.5583,0.0009,0,0
41,25223,6.844,2,false,13,102,97,5,0,0,97,26,1.5583,0.0009,0,0
42,25230,6.945,2,false,13,102,97,5,0,0,98,26,1.9359,0.0019,0,0
43,25237,6.869,2,false,13,102,98,4,0,0,98,26,1.9359,0.0019,0,0
44,25244,6.922,2,false,13,103,98,5,0,0,98,26,1.9359,0.0019,0,0
45,25251,6.879,2,false,13,103,98,5,0,0,99,26,2.7174,0.003,0,0
46,25258,6.897,2,false,13,103,99,4,0,0,99,26,2.7174,0.003,0,0
47,25265,6.926,2,false,13,104,99,5,0,0,99,26,2.7174,0.003,0,0
48,25272,6.871,2,false,13,104,99,5,0,0,100,26,1.9832,0.0021,0,0
49,25279,6.952,2,false,13,104,100,4,0,0,100,26,1.9832,0.0021,0,0
50,25285,6.841,2,false,13,105,100,5,0,0,100,26,1.9832,0.0021,0,0
51,25292,6.905,2,false,13,105,100,5,0,0,101,26,1.7079,0.0014,0,0
52,25299,6.926,2,false,13,106,101,5,0,0,101,26,1.7079,0.0014,0,0
53,25306,6.875,2,false,13,106,101,5,0,0,101,26,1.7079,0.0014,0,0
54,25313,6.941,2,false,13,106,101,5,0,0,102,26,1.558,0.0012,0,0
55,25320,6.857,2,false,13,107,102,5,0,0,102,26,1.558,0.0012,0,0
56,25327,6.911,2,false,13,107,102,5,0,0,102,26,1.558,0.0012,0,0
57,25334,6.942,2,false,13,107,102,5,0,0,103,26,2.1066,0.0027,0,0
58,25341,6.861,2,false,13,108,103,5,0,0,103,26,2.1066,0.0027,0,0
59,25348,6.93,2,false,13,108,103,5,0,0,103,26,2.1066,0.0027,0,0
60,25355,6.871,2,false,13,108,103,5,0,0,104,26,1.5015,0.0012,0,0
61,25361,6.91,2,false,13,109,104,5,0,0,104,26,1.5015,0.0012,0,0
62,25368,6.881,2,false,13,109,104,5,0,0,104,26,1.5015,0.0012,0,0
63,25375,6.903,2,false,13,109,104,5,0,0,105,26,1.888,0.0021,0,0
64,25382,6.915,2,false,13,110,105,5,0,0,105,26,1.888,0.0021,0,0
65,25389,6.885,2,false,13,110,105,5,0,0,105,26,1.888,0.0021,0,0
66,25396,6.926,2,false,13,110,105,5,0,0,106,26,1.4943,0.0012,0,0
67,25403,6.871,2,false,13,111,106,5,0,0,106,26,1.4943,0.0012,0,0
68,25410,6.906,2,false,13,111,106,5,0,0,106,26,1.4943,0.0012,0,0
69,25417,6.964,2,false,13,111,106,5,0,0,107,26,1.4943,0.0012,0,0
70,25423,6.818,2,false,13,112,107,5,0,0,107,26,2.5468,0.0017,0,0
71,25430,6.947,2,false,13,112,107,5,0,0,107,26,2.5468,0.0017,0,0
72,25438,7.4,2,false,13,112,107,5,0,0,108,26,1.6218,0.0019,0,0
73,25444,6.387,2,false,13,113,108,5,0,0,108,26,1.6218,0.0019,0,0
74,25451,6.884,2,false,13,113,108,5,0,0,108,26,1.6218,0.0019,0,0
75,25458,6.899,2,false,13,113,108,5,0,0,108,26,1.6218,0.0019,0,0
76,25465,6.926,2,false,13,114,109,5,0,0,109,26,1.621,0.002,0,0
77,25472,6.877,2,false,13,114,109,5,0,0,109,26,1.621,0.002,0,0
78,25479,6.945,2,false,13,114,109,5,0,0,109,26,1.621,0.002,0,0
79,25485,6.84,2,false,13,115,110,5,0,0,110,26,1.664,0.002,0,0
80,25493,6.906,2,false,13,115,110,5,0,0,110,26,1.664,0.002,0,0
81,25499,6.939,2,false,13,116,110,6,0,0,111,26,1.664,0.002,0,0
82,25506,6.865,2,false,13,116,111,5,0,0,111,26,1.9788,0.0018,0,0
83,25513,6.931,2,false,13,116,111,5,0,0,111,26,1.9788,0.0018,0,0
84,25520,6.879,2,false,13,117,111,6,0,0,112,26,1.9788,0.0018,0,0
85,25527,6.894,2,false,13,117,112,5,0,0,112,26,1.5181,0.001,0,0
86,25534,6.938,2,false,13,117,112,5,0,0,112,26,1.5181,0.001,0,0
87,25541,6.854,2,false,13,118,112,6,0,0,113,26,1.5181,0.001,0,0
88,25548,6.941,2,false,13,118,113,5,0,0,113,26,1.9407,0.0015,0,0
89,25555,6.872,2,false,13,118,113,5,0,0,113,26,1.9407,0.0015,0,0
90,25561,6.919,2,false,13,119,113,6,0,0,114,26,1.8192,0.0016,0,0
91,25568,6.88,2,false,13,119,114,5,0,0,114,26,1.8192,0.0016,0,0
92,25575,6.886,2,false,13,119,114,5,0,0,114,26,1.8192,0.0016,0,0
93,25582,6.92,2,false,13,120,115,5,0,0,115,26,2.3537,0.0021,0,0
94,25589,6.889,2,false,13,120,115,5,0,0,115,26,2.3537,0.0021,0,0
95,25596,6.932,2,false,13,120,115,5,0,0,115,26,2.3537,0.0021,0,0
96,25603,6.861,2,false,13,121,115,6,0,0,116,26,1.6998,0.002,0,0
97,25610,6.903,2,false,13,121,116,5,0,0,116,26,1.6998,0.002,0,0
98,25617,6.986,2,false,13,121,116,5,0,0,116,26,1.6998,0.002,0,0
99,25623,6.802,2,false,13,122,117,5,0,0,117,26,1.5661,0.002,0,0
100,25631,6.955,2,false,13,122,117,5,0,0,117,26,1.5661,0.002,0,0
101,25637,6.858,2,false,13,122,117,5,0,0,117,26,1.5661,0.002,0,0
102,25644,6.914,2,false,13,123,118,5,0,0,118,26,1.5422,0.0009,0,0
103,25651,6.882,2,false,13,123,118,5,0,0,118,26,1.5422,0.0009,0,0
104,25658,6.899,2,false,13,123,118,5,0,0,118,26,1.5422,0.0009,0,0
105,25665,6.92,2,false,13,124,119,5,0,0,119,26,1.5515,0.0016,0,0
106,25672,6.879,2,false,13,124,119,5,0,0,119,26,1.5515,0.0016,0,0
107,25679,6.936,2,false,13,124,119,5,0,0,120,26,1.5515,0.0016,0,0
108,25686,6.863,2,false,13,125,120,5,0,0,120,26,1.873,0.0011,0,0
109,25692,6.897,2,false,13,125,120,5,0,0,120,26,1.873,0.0011,0,0
110,25699,6.935,2,false,13,126,120,6,0,0,121,26,1.6417,0.0017,0,0
111,25706,6.87,2,false,13,126,121,5,0,0,121,26,1.6417,0.0017,0,0
112,25713,6.929,2,false,13,126,121,5,0,0,121,26,1.6417,0.0017,0,0
113,25720,6.862,2,false,13,127,122,5,0,0,122,26,1.5854,0.0012,0,0
