frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20832,545.274,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20844,11.873,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20866,22.059,2,true,13,2,-1,-1,0,0,0,1372,2.0154,0.0011,0,0
3,20868,1.87,2,false,13,2,-1,-1,0,0,0,501,2.0154,0.0011,0,0
4,20873,5.026,2,false,13,2,-1,-1,0,0,0,501,2.0154,0.0011,0,0
5,20880,6.902,2,false,13,2,-1,-1,0,0,0,497,2.0154,0.0011,0,0
6,20887,6.886,2,false,13,2,-1,-1,0,0,0,647,2.0154,0.0011,0,0
7,20894,6.919,2,false,13,2,-1,-1,0,0,1,13,2.0154,0.0011,0,0
8,20902,8.195,3,true,3,3,1,2,0,0,1,13,3.3596,0.0011,0,0
9,20907,5.6,3,false,3,3,1,2,0,0,1,13,3.3596,0.0011,0,0
10,20914,6.887,3,false,3,3,1,2,0,0,1,13,3.3596,0.0011,0,0
11,20921,6.891,4,true,2,4,2,2,0,0,2,13,1.9123,0.001,0,0
12,20928,6.935,4,false,2,4,2,2,0,0,2,13,1.9123,0.001,0,0
13,20935,6.871,4,false,2,4,2,2,0,0,2,13,1.9123,0.001,0,0
14,20942,7.225,5,true,2,5,3,2,0,0,3,13,3.0208,0.0013,0,0
15,20949,6.58,5,false,2,5,3,2,0,0,3,13,3.0208,0.0013,0,0
16,20956,6.897,5,false,2,5,3,2,0,0,3,13,3.0208,0.0013,0,0
17,20963,7.223,6,true,2,6,4,2,0,0,4,13,1.9143,0.001,0,0
18,20969,6.583,6,false,2,6,4,2,0,0,4,13,1.9143,0.001,0,0
19,20976,6.923,6,false,2,6,4,2,0,0,4,13,1.9143,0.001,0,0
20,20987,10.905,7,true,2,7,5,2,0,0,5,13,2.4605,0.001,0,0
21,20990,2.862,7,false,2,7,5,2,0,0,5,13,2.4605,0.001,0,0
22,20997,6.925,7,false,2,7,5,2,0,0,5,13,2.4605,0.001,0,0
23,21004,7.117,8,true,2,8,6,2,0,0,6,13,1.8749,0.0009,0,0
24,21011,6.721,8,false,2,8,6,2,0,0,6,13,1.8749,0.0009,0,0
25,21018,6.837,8,false,2,8,6,2,0,0,6,13,1.8749,0.0009,0,0
26,21025,6.898,9,true,2,9,7,2,0,0,7,13,1.835,0.001,0,0
27,21032,6.932,9,false,2,9,7,2,0,0,7,13,1.835,0.001,0,0
28,21038,6.88,9,false,2,9,7,2,0,0,7,13,1.835,0.001,0,0
29,21045,6.94,10,true,2,10,8,2,0,0,8,13,1.9457,0.0012,0,0
30,21052,6.856,10,false,2,10,8,2,0,0,8,13,1.9457,0.0012,0,0
31,21059,6.892,10,false,2,10,8,2,0,0,8,13,1.9457,0.0012,0,0
32,21066,6.924,11,true,2,11,9,2,0,0,9,13,1.7989,0.001,0,0
33,21073,6.89,11,false,2,11,9,2,0,0,9,13,1.7989,0.001,0,0
34,21080,6.927,11,false,2,11,9,2,0,0,9,13,1.7989,0.001,0,0
35,21087,7.021,12,true,2,12,10,2,0,0,10,13,1.9561,0.0012,0,0
36,21094,6.753,12,false,2,12,10,2,0,0,10,13,1.9561,0.0012,0,0
37,21101,6.93,12,false,2,12,10,2,0,0,10,13,1.9561,0.0012,0,0
38,21108,7.078,13,true,2,13,11,2,0,0,11,13,3.2815,0.0011,0,0
39,21114,6.713,13,false,2,13,11,2,0,0,11,13,3.2815,0.0011,0,0
40,21121,6.868,13,false,2,13,11,2,0,0,11,13,3.2815,0.0011,0,0
41,21128,7.169,14,true,2,14,12,2,0,0,12,13,1.8086,0.0009,0,0
42,21135,6.676,14,false,2,14,12,2,0,0,12,13,1.8086,0.0009,0,0
43,21142,6.859,14,false,2,14,12,2,0,0,12,13,1.8086,0.0009,0,0
44,21149,6.916,15,true,2,15,13,2,0,0,13,13,1.8556,0.0009,0,0
45,21156,6.882,15,false,2,15,13,2,0,0,13,13,1.8556,0.0009,0,0
46,21163,6.912,15,false,2,15,13,2,0,0,13,13,1.8556,0.0009,0,0
47,21170,7.574,16,true,2,16,14,2,0,0,14,13,2.1697,0.0014,0,0
48,21177,6.23,16,false,2,16,14,2,0,0,14,13,2.1697,0.0014,0,0
49,21183,6.92,16,false,2,16,14,2,0,0,14,13,2.1697,0.0014,0,0
50,21191,7.345,17,true,2,17,15,2,0,0,15,13,1.9091,0.001,0,0
51,21197,6.436,17,false,2,17,15,2,0,0,15,13,1.9091,0.001,0,0
52,21204,6.924,17,false,2,17,15,2,0,0,15,13,1.9091,0.001,0,0
53,21211,6.857,18,true,2,18,16,2,0,0,16,13,1.8932,0.0011,0,0
54,21218,6.939,18,false,2,18,16,2,0,0,16,13,1.8932,0.0011,0,0
55,21225,6.867,18,false,2,19,16,3,0,0,16,13,1.8932,0.0011,0,0
56,21232,6.944,18,false,2,19,16,3,0,0,17,13,2.4426,0.001,0,0
57,21239,6.859,19,true,2,19,17,2,0,0,17,13,2.4426,0.001,0,0
58,21245,6.9,19,false,2,20,17,3,0,0,17,13,2.4426,0.001,0,0
59,21252,6.937,20,true,2,20,18,2,0,0,18,13,1.8528,0.001,0,0
60,21259,6.862,20,false,2,20,18,2,0,0,18,13,1.8528,0.001,0,0
61,21266,6.915,20,false,2,21,18,3,0,0,19,13,1.8528,0.001,0,0
62,21273,6.879,21,true,2,21,19,2,0,0,19,13,2.4796,0.0013,0,0
63,21280,6.897,21,false,2,21,19,2,0,0,19,13,2.4796,0.0013,0,0
64,21287,6.932,21,false,2,22,19,3,0,0,20,13,2.0115,0.0012,0,0
65,21294,6.877,22,true,2,22,20,2,0,0,20,13,2.0115,0.0012,0,0
66,21301,6.942,22,false,2,22,20,2,0,0,20,13,2.0115,0.0012,0,0
67,21308,7.49,23,true,2,23,21,2,0,0,21,13,1.9618,0.001,0,0
68,21315,6.334,23,false,2,23,21,2,0,0,21,13,1.9618,0.001,0,0
69,21321,6.846,23,false,2,23,21,2,0,0,21,13,1.9618,0.001,0,0
70,21329,7.426,24,true,2,24,22,2,0,0,22,13,2.0141,0.0014,0,0
71,21335,6.445,24,false,2,24,22,2,0,0,22,13,2.0141,0.0014,0,0
72,21342,6.828,24,false,2,24,22,2,0,0,22,13,2.0141,0.0014,0,0
73,21351,8.87,25,true,2,25,23,2,0,0,23,13,3.0018,0.0014,0,0
