frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20724,543.082,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20737,12.479,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,20747,9.94,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
3,20748,1.267,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
4,20754,5.614,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
5,20768,13.917,2,true,13,2,-1,-1,0,0,0,1329,2.153,0.0012,0,0
6,20769,1.822,2,false,13,2,-1,-1,0,0,0,499,2.153,0.0012,0,0
7,20775,5.074,2,false,13,2,-1,-1,0,0,0,531,2.153,0.0012,0,0
8,20781,6.895,2,false,13,2,-1,-1,0,0,0,513,2.153,0.0012,0,0
9,20788,6.893,2,false,13,2,-1,-1,0,0,0,512,2.153,0.0012,0,0
10,20795,6.927,2,false,13,2,-1,-1,0,0,1,12,2.153,0.0012,0,0
11,20802,6.872,3,true,3,2,1,1,0,0,1,12,2.153,0.0012,0,0
12,20809,6.926,3,false,3,3,1,2,0,0,1,12,3.6835,0.0015,0,0
13,20816,6.878,3,false,3,3,1,2,0,0,1,12,3.6835,0.0015,0,0
14,20823,6.934,3,false,3,3,1,2,0,0,1,12,3.6835,0.0015,0,0
15,20830,6.87,3,false,3,4,1,3,0,0,2,12,3.6835,0.0015,0,0
16,20837,6.892,4,true,2,4,2,2,0,0,2,12,2.2447,0.0011,0,0
17,20844,6.915,4,false,2,5,2,3,0,0,2,12,2.2447,0.0011,0,0
18,20850,6.885,4,false,2,5,2,3,0,0,3,12,2.2447,0.0011,0,0
19,20857,6.924,5,true,2,5,3,2,0,0,3,12,2.7844,0.0012,0,0
20,20866,8.22,5,false,2,6,3,3,0,0,3,12,2.7844,0.0012,0,0
21,20871,5.563,5,false,2,6,3,3,0,0,4,12,2.7844,0.0012,0,0
22,20878,6.91,6,true,2,6,4,2,0,0,4,12,1.8229,0.001,0,0
23,20885,6.881,6,false,2,7,4,3,0,0,4,12,1.8229,0.001,0,0
24,20892,6.95,6,false,2,7,4,3,0,0,5,12,1.8229,0.001,0,0
25,20899,6.854,7,true,2,7,5,2,0,0,5,12,3.2466,0.0014,0,0
26,20906,6.931,7,false,2,8,5,3,0,0,5,12,3.2466,0.0014,0,0
27,20912,6.864,7,false,2,8,5,3,0,0,6,12,1.7924,0.001,0,0
28,20919,6.91,8,true,2,8,6,2,0,0,6,12,1.7924,0.001,0,0
29,20926,6.926,8,false,2,9,6,3,0,0,6,12,1.7924,0.001,0,0
30,20933,6.87,8,false,2,9,6,3,0,0,7,12,1.8268,0.001,0,0
31,20940,6.921,9,true,2,9,7,2,0,0,7,12,1.8268,0.001,0,0
32,20947,6.876,9,false,2,10,7,3,0,0,7,12,1.8268,0.001,0,0
33,20954,6.905,9,false,2,10,7,3,0,0,8,12,1.8322,0.0011,0,0
34,20961,6.934,10,true,2,10,8,2,0,0,8,12,1.8322,0.0011,0,0
35,20968,6.862,10,false,2,11,8,3,0,0,8,12,1.8322,0.0011,0,0
36,20975,6.919,11,true,2,11,9,2,0,0,9,12,1.8289,0.001,0,0
37,20982,6.884,11,false,2,12,9,3,0,0,9,12,1.8289,0.001,0,0
38,20988,6.901,11,false,2,12,9,3,0,0,10,12,1.8289,0.001,0,0
39,20995,6.931,12,true,2,12,10,2,0,0,10,12,1.9216,0.0009,0,0
40,21002,6.861,12,false,2,13,10,3,0,0,10,12,1.9216,0.0009,0,0
41,21009,6.942,12,false,2,13,10,3,0,0,11,12,1.9216,0.0009,0,0
42,21016,6.869,13,true,2,13,11,2,0,0,11,12,3.287,0.0012,0,0
43,21023,6.896,13,false,2,14,11,3,0,0,11,12,3.287,0.0012,0,0
44,21030,6.928,13,false,2,14,11,3,0,0,12,12,3.287,0.0012,0,0
45,21037,6.865,14,true,3,14,12,2,0,0,12,12,2.26,0.0014,0,0
46,21044,6.936,14,false,3,15,12,3,0,0,12,12,2.26,0.0014,0,0
47,21051,6.884,14,false,3,15,12,3,0,0,13,12,2.26,0.0014,0,0
48,21058,6.893,15,true,2,15,13,2,0,0,13,12,1.8521,0.0012,0,0
49,21064,6.926,15,false,2,16,13,3,0,0,13,12,1.8521,0.0012,0,0
50,21071,6.869,15,false,2,16,13,3,0,0,14,12,1.8521,0.0012,0,0
51,21079,7.207,16,true,2,16,14,2,0,0,14,12,2.0078,0.0012,0,0
52,21085,6.586,16,false,2,17,14,3,0,0,14,12,2.0078,0.0012,0,0
53,21092,6.908,16,false,2,17,14,3,0,0,15,12,1.9609,0.0009,0,0
54,21099,6.919,17,true,2,17,15,2,0,0,15,12,1.9609,0.0009,0,0
55,21106,6.879,17,false,2,18,15,3,0,0,15,12,1.9609,0.0009,0,0
56,21113,6.938,17,false,2,18,15,3,0,0,16,12,1.8688,0.0011,0,0
57,21120,6.865,18,true,2,18,16,2,0,0,16,12,1.8688,0.0011,0,0
58,21126,6.897,18,false,2,19,16,3,0,0,16,12,1.8688,0.0011,0,0
59,21133,6.924,18,false,2,19,16,3,0,0,17,12,2.545,0.0012,0,0
60,21140,6.946,19,true,2,19,17,2,0,0,17,12,2.545,0.0012,0,0
61,21147,6.87,19,false,2,20,17,3,0,0,17,12,2.545,0.0012,0,0
62,21154,6.869,19,false,2,20,17,3,0,0,18,12,1.8718,0.0013,0,0
63,21161,6.888,20,true,2,20,18,2,0,0,18,12,1.8718,0.0013,0,0
64,21168,6.935,20,false,2,21,18,3,0,0,18,12,1.8718,0.0013,0,0
65,21175,6.869,21,true,2,21,19,2,0,0,19,12,2.5701,0.0013,0,0
66,21182,6.95,21,false,2,21,19,2,0,0,19,12,2.5701,0.0013,0,0
67,21189,6.872,21,false,2,22,19,3,0,0,20,12,2.5701,0.0013,0,0
68,21195,6.886,22,true,2,22,20,2,0,0,20,12,1.9748,0.0013,0,0
69,21202,6.978,22,false,2,22,20,2,0,0,20,12,1.9748,0.0013,0,0
70,21209,6.821,22,false,2,23,20,3,0,0,21,12,1.9748,0.0013,0,0
71,21216,6.933,23,true,3,23,21,2,0,0,21,12,1.8866,0.0013,0,0
72,21223,6.872,23,false,3,23,21,2,0,0,21,12,1.8866,0.0013,0,0
73,21230,6.904,23,false,3,24,21,3,0,0,22,12,1.8866,0.0013,0,0
74,21237,6.932,24,true,2,24,22,2,0,0,22,12,1.9046,0.0021,0,0
75,21244,6.865,24,false,2,24,22,2,0,0,22,12,1.9046,0.0021,0,0
76,21251,6.918,24,false,2,25,22,3,0,0,23,12,1.9046,0.0021,0,0
77,21258,6.873,25,true,2,25,23,2,0,0,23,12,3.3206,0.0015,0,0
78,21265,6.95,25,false,2,25,23,2,0,0,23,12,3.3206,0.0015,0,0
79,21271,6.855,25,false,2,26,23,3,0,0,23,12,3.3206,0.0015,0,0
80,21278,6.896,26,true,2,26,24,2,0,0,24,12,2.0287,0.0016,0,0
81,21285,6.951,26,false,2,26,24,2,0,0,24,12,2.0287,0.0016,0,0
82,21292,6.846,26,false,2,27,24,3,0,0,24,12,2.0287,0.0016,0,0
83,21299,7.011,26,false,2,27,24,3,0,0,25,12,1.9464,0.0014,0,0
84,21306,6.795,27,true,2,27,25,2,0,0,25,12,1.9464,0.0014,0,0
85,21313,6.894,27,false,2,28,25,3,0,0,25,12,1.9464,0.0014,0,0
86,21320,6.931,28,true,2,28,26,2,0,0,26,12,2.0808,0.0017,0,0
87,21327,6.878,28,false,2,28,26,2,0,0,26,12,2.0808,0.0017,0,0
88,21334,6.936,28,false,2,29,26,3,0,0,26,12,2.0808,0.0017,0,0
89,21340,6.865,29,true,2,29,27,2,0,0,27,12,2.8982,0.0014,0,0
