frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,28521,671.114,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,28539,18.08,1,true,15,1,-1,-1,0,0,0,0,0,0,0,0
2,28562,22.561,2,true,15,2,-1,-1,0,0,0,1586,2.4184,0.0014,0,0
3,28564,2.444,2,false,15,2,-1,-1,0,0,0,646,2.4184,0.0014,0,0
4,28568,4.435,2,false,15,2,-1,-1,0,0,0,635,2.4184,0.0014,0,0
5,28575,6.915,2,false,15,2,-1,-1,0,0,0,491,2.4184,0.0014,0,0
6,28582,6.908,2,false,15,2,-1,-1,0,0,0,723,2.4184,0.0014,0,0
7,28589,6.887,2,false,15,2,-1,-1,0,0,0,366,2.4184,0.0014,0,0
8,28600,11.032,3,true,4,3,1,2,0,0,1,366,4.2978,0.0102,0,0
9,28603,2.751,3,false,4,3,1,2,0,0,1,366,4.2978,0.0102,0,0
10,28610,6.915,3,false,4,4,1,3,0,0,1,366,4.2978,0.0102,0,0
11,28617,6.923,3,false,4,4,1,3,0,0,1,366,4.2978,0.0102,0,0
12,28624,6.88,3,false,4,4,1,3,0,0,2,366,2.2356,0.0013,0,0
13,28632,8.438,4,true,2,5,2,3,0,0,2,366,2.2356,0.0013,0,0
14,28638,5.356,4,false,2,5,2,3,0,0,2,366,2.2356,0.0013,0,0
15,28644,6.901,4,false,2,5,2,3,0,0,2,366,2.2356,0.0013,0,0
16,28653,8.822,5,true,3,6,3,3,0,0,3,366,3.518,0.0014,0,0
17,28658,4.98,5,false,3,6,3,3,0,0,3,366,3.518,0.0014,0,0
18,28665,6.934,5,false,3,6,3,3,0,0,3,366,3.518,0.0014,0,0
19,28674,9.394,6,true,3,7,4,3,0,0,4,366,2.5243,0.0015,0,0
20,28679,4.37,6,false,3,7,4,3,0,0,4,366,2.5243,0.0015,0,0
21,28686,6.923,6,false,3,7,4,3,0,0,4,366,2.5243,0.0015,0,0
22,28692,6.867,6,false,3,8,4,4,0,0,4,366,2.5243,0.0015,0,0
23,28700,6.986,6,false,3,8,4,4,0,0,5,366,2.7551,0.0012,0,0
24,28707,6.825,7,true,2,8,5,3,0,0,5,366,2.7551,0.0012,0,0
25,28714,7.945,7,false,2,9,5,4,0,0,5,366,2.7551,0.0012,0,0
26,28720,5.889,7,false,2,9,5,4,0,0,6,366,2.4137,0.0014,0,0
27,28727,6.869,8,true,2,9,6,3,0,0,6,366,2.4137,0.0014,0,0
28,28734,6.916,8,false,2,10,6,4,0,0,6,366,2.4137,0.0014,0,0
29,28741,6.884,8,false,2,10,6,4,0,0,6,366,2.4137,0.0014,0,0
30,28748,6.892,9,true,2,10,7,3,0,0,7,366,2.1189,0.0016,0,0
31,28755,6.945,9,false,2,11,7,4,0,0,7,366,2.1189,0.0016,0,0
32,28762,6.858,9,false,2,11,7,4,0,0,7,366,2.1189,0.0016,0,0
33,28769,6.939,9,false,2,11,7,4,0,0,8,366,2.2152,0.0015,0,0
34,28776,7.421,10,true,2,12,8,4,0,0,8,366,2.2152,0.0015,0,0
35,28782,6.345,10,false,2,12,8,4,0,0,8,366,2.2152,0.0015,0,0
36,28789,6.939,10,false,2,12,8,4,0,0,9,366,2.0151,0.0014,0,0
37,28797,7.947,11,true,2,13,9,4,0,0,9,366,2.0151,0.0014,0,0
38,28803,5.879,11,false,2,13,9,4,0,0,9,366,2.0151,0.0014,0,0
39,28810,6.834,11,false,2,13,9,4,0,0,9,366,2.0151,0.0014,0,0
40,28818,8.396,12,true,2,14,10,4,0,0,10,366,2.881,0.0016,0,0
41,28824,5.448,12,false,2,14,10,4,0,0,10,366,2.881,0.0016,0,0
42,28831,6.855,12,false,2,14,10,4,0,0,10,366,2.881,0.0016,0,0
43,28840,9.355,13,true,3,15,11,4,0,0,11,366,3.6274,0.0019,0,0
44,28844,4.44,13,false,3,15,11,4,0,0,11,366,3.6274,0.0019,0,0
45,28851,6.91,13,false,3,15,11,4,0,0,11,366,3.6274,0.0019,0,0
46,28858,6.916,13,false,3,16,11,5,0,0,11,366,3.6274,0.0019,0,0
47,28865,6.891,13,false,3,16,11,5,0,0,12,366,2.7743,0.0023,0,0
48,28873,7.444,14,true,3,16,12,4,0,0,12,366,2.7743,0.0023,0,0
49,28881,8.409,14,false,3,17,12,5,0,0,12,366,2.7743,0.0023,0,0
50,28886,4.837,14,false,3,17,12,5,0,0,12,366,2.7743,0.0023,0,0
51,28893,6.973,14,false,3,17,12,5,0,0,13,366,2.7743,0.0023,0,0
52,28903,10.35,15,true,3,18,13,5,0,0,13,366,2.3168,0.0018,0,0
53,28907,3.425,15,false,3,18,13,5,0,0,13,366,2.3168,0.0018,0,0
54,28914,6.873,15,false,3,18,13,5,0,0,13,366,2.3168,0.0018,0,0
55,28926,12.264,16,true,2,19,14,5,0,0,14,366,3.4821,0.0023,0,0
56,28927,1.503,16,false,2,19,14,5,0,0,14,366,3.4821,0.0023,0,0
57,28934,6.917,16,false,2,19,14,5,0,0,14,366,3.4821,0.0023,0,0
58,28941,6.933,16,false,2,20,14,6,0,0,14,366,3.4821,0.0023,0,0
59,28948,6.864,16,false,2,20,14,6,0,0,15,366,3.4821,0.0023,0,0
60,28955,6.921,17,true,3,20,15,5,0,0,15,366,2.3898,0.0023,0,0
61,28962,6.879,17,false,3,21,15,6,0,0,15,366,2.3898,0.0023,0,0
62,28969,6.906,17,false,3,21,15,6,0,0,15,366,2.3898,0.0023,0,0
63,28976,6.941,17,false,3,21,15,6,0,0,16,366,2.265,0.0019,0,0
64,28984,8.599,18,true,3,22,16,6,0,0,16,366,2.265,0.0019,0,0
65,28990,5.209,18,false,3,22,16,6,0,0,16,366,2.265,0.0019,0,0
66,28996,6.85,18,false,3,22,16,6,0,0,16,366,2.265,0.0019,0,0
67,29005,8.407,19,true,2,23,17,6,0,0,17,366,2.7513,0.0016,0,0
68,29010,5.383,19,false,2,23,17,6,0,0,17,366,2.7513,0.0016,0,0
69,29017,6.901,19,false,2,24,17,7,0,0,17,366,2.7513,0.0016,0,0
70,29024,6.972,19,false,2,24,17,7,0,0,18,22,2.1137,0.0017,0,0
71,29032,8.374,20,true,3,24,18,6,0,0,18,21,2.1137,0.0017,0,0
72,29038,5.393,20,false,3,24,18,6,0,0,18,21,2.1137,0.0017,0,0
