frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,20826,552.083,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,20838,11.556,1,true,9,1,-1,-1,0,0,0,0,0,0,0,0
2,20861,22.85,2,true,13,2,-1,-1,0,0,0,1190,2.1903,0.0019,0,0
3,20862,1.852,2,false,13,2,-1,-1,0,0,0,500,2.1903,0.0019,0,0
4,20868,5.066,2,false,13,2,-1,-1,0,0,0,490,2.1903,0.0019,0,0
5,20874,6.876,2,false,13,2,-1,-1,0,0,0,518,2.1903,0.0019,0,0
6,20881,6.904,2,false,13,2,-1,-1,0,0,0,533,2.1903,0.0019,0,0
7,20888,6.912,2,false,13,2,-1,-1,0,0,0,22,2.1903,0.0019,0,0
8,20895,6.868,3,true,3,2,1,1,0,0,1,22,2.1903,0.0019,0,0
9,20902,6.932,3,false,3,3,1,2,0,0,1,22,3.7558,0.002,0,0
10,20909,6.883,3,false,3,3,1,2,0,0,1,22,3.7558,0.002,0,0
11,20916,6.904,3,false,3,3,1,2,0,0,1,22,3.7558,0.002,0,0
12,20923,7.578,4,true,2,4,2,2,0,0,2,22,1.9578,0.0011,0,0
13,20930,6.218,4,false,2,4,2,2,0,0,2,22,1.9578,0.0011,0,0
14,20936,6.925,4,false,2,4,2,2,0,0,2,22,1.9578,0.0011,0,0
15,20944,7.276,5,true,2,5,3,2,0,0,3,22,2.8638,0.001,0,0
16,20950,6.522,5,false,2,5,3,2,0,0,3,22,2.8638,0.001,0,0
17,20957,6.869,5,false,2,5,3,2,0,0,3,22,2.8638,0.001,0,0
18,20968,11.175,6,true,2,6,4,2,0,0,4,22,2.239,0.0013,0,0
19,20971,2.636,6,false,2,6,4,2,0,0,4,22,2.239,0.0013,0,0
20,20978,6.891,6,false,2,6,4,2,0,0,4,22,2.239,0.0013,0,0
21,20985,6.91,7,true,2,7,5,2,0,0,5,22,2.4716,0.0011,0,0
22,20992,6.898,7,false,2,7,5,2,0,0,5,22,2.4716,0.0011,0,0
23,20999,6.895,7,false,2,7,5,2,0,0,5,22,2.4716,0.0011,0,0
24,21006,7.197,8,true,2,8,6,2,0,0,6,22,1.9763,0.0009,0,0
25,21012,6.603,8,false,2,8,6,2,0,0,6,22,1.9763,0.0009,0,0
26,21019,6.914,8,false,2,8,6,2,0,0,6,22,1.9763,0.0009,0,0
27,21026,6.878,9,true,2,9,7,2,0,0,7,22,1.9626,0.0012,0,0
28,21033,6.941,9,false,2,9,7,2,0,0,7,22,1.9626,0.0012,0,0
29,21040,6.867,9,false,2,9,7,2,0,0,7,22,1.9626,0.0012,0,0
30,21047,6.889,10,true,2,10,8,2,0,0,8,22,1.9665,0.0011,0,0
31,21054,6.949,10,false,2,10,8,2,0,0,8,22,1.9665,0.0011,0,0
32,21061,6.858,10,false,2,11,8,3,0,0,8,22,1.9665,0.0011,0,0
33,21068,6.948,10,false,2,11,8,3,0,0,9,22,1.8479,0.001,0,0
34,21074,6.855,11,true,2,11,9,2,0,0,9,22,1.8479,0.001,0,0
35,21081,6.899,11,false,2,12,9,3,0,0,9,22,1.8479,0.001,0,0
36,21088,6.924,12,true,2,12,10,2,0,0,10,22,2.0362,0.0012,0,0
37,21095,6.882,12,false,2,12,10,2,0,0,10,22,2.0362,0.0012,0,0
38,21102,6.915,12,false,2,13,10,3,0,0,11,22,2.0362,0.0012,0,0
39,21109,6.877,13,true,2,13,11,2,0,0,11,22,3.4249,0.0014,0,0
40,21116,6.904,13,false,2,13,11,2,0,0,11,22,3.4249,0.0014,0,0
41,21123,6.977,13,false,2,14,11,3,0,0,11,22,3.4249,0.0014,0,0
42,21130,6.815,14,true,3,14,12,2,0,0,12,22,1.8562,0.0009,0,0
43,21137,6.939,14,false,3,14,12,2,0,0,12,22,1.8562,0.0009,0,0
44,21144,6.87,14,false,3,15,12,3,0,0,12,22,1.8562,0.0009,0,0
45,21150,6.897,15,true,2,15,13,2,0,0,13,22,1.917,0.0015,0,0
46,21157,6.934,15,false,2,15,13,2,0,0,13,22,1.917,0.0015,0,0
