row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,climate_max_temp_delta,climate_p95_temp_delta,climate_p99_temp_delta,climate_preclamp_max_temp_delta,climate_preclamp_p99_temp_delta,climate_temp_delta_gt_005_count,climate_temp_delta_gt_010_count,climate_temp_delta_gt_020_count,climate_temp_delta_clamped_count,climate_max_transport_anomaly,climate_transport_abs_p95,climate_transport_nonzero_ratio,climate_sea_ice_delta_max,climate_precip_p95,climate_slp_delta_p95,climate_wind_delta_p95,climate_ocean_delta_p95,climate_slp_abs_p95,climate_wind_mag_p95,climate_ocean_mag_p95,climate_upwelling_abs_p95,climate_current_pass,climate_partial,climate_progress_ratio,climate_processed_cells,climate_cursor_start,climate_cursor_end,climate_round_id,climate_node_index,climate_next_node_index,climate_pass_status,climate_pass_stage,climate_pass_substage,climate_pass_path,climate_budget_interrupted,climate_pass_token,weather_dirty_count,water_budget_error,active_weather_ratio,weather_diag_present,weather_field_commit_path,weather_field_commit_publish_verified,weather_field_commit_publish_repaired,weather_field_commit_init_count,weather_field_commit_publish_reason,weather_refresh_convergence,weather_field_solve_tick,weather_commit_tick_delta,weather_last_commit_tick,weather_cold_front_count,weather_warm_front_count,weather_convergence_refresh_stride,weather_native_convergence_boost,weather_convergence_dirty_count,weather_convergence_delta_p95,weather_convergence_published,weather_target_mismatch_count,weather_transitioning_count,weather_transition_alpha_mean,weather_transition_alpha_p95,climate_thermal_finalizer_applied,stage_b_tick_idx,stage_b_call_index,stage_b_run_veg_dyn,stage_b_veg_dyn_ms,stage_b_combined_done,stage_b_ext_ok,stage_b_total_runs,stage_b_total_fallbacks,weather_job_path,phys_phase_locked,phys_diag_tick_idx,phys_sim_day,phys_stage,phys_stage_name,phys_next_stage,phys_next_stage_name,phys_path,phys_done,phys_round_active,phys_physical_round_id,phys_visual_round_active,phys_visual_round_id,phys_visual_pending_commit,phys_visual_lag_ticks,phys_visual_pixel_progress,phys_visual_next_pixel_idx,phys_visual_total_pixels,phys_pending_commit,phys_need_pixel,phys_run_ocean,phys_phase_int_seen,phys_ticks_per_slice,phys_wind_period_ticks,phys_ocean_period_ticks,phys_slice_count,phys_next_pixel_idx,phys_total_pixels,phys_pixel_quota,phys_progress_ratio,phys_processed_pixels,phys_cursor_start,phys_cursor_end,phys_raster_requested_start,phys_raster_requested_end,phys_raster_returned_start,phys_raster_returned_end,phys_raster_pixels,phys_raster_wall_ms,phys_raster_native_ms,phys_raster_used_cpp,phys_raster_atlas_updated,phys_raster_fallback_reason,phys_raster_progress_guard_fired,phys_slp_path,phys_slp_native_ms,phys_slp_rc_ms,phys_slp_out_size,phys_slp_published_to_slot,phys_slp_commit_ok,phys_slp_thermal_p95,phys_slp_delta_p95,phys_wind_cpp_done,phys_wind_rc_ms,phys_wind_wx_size,phys_wind_wy_size,phys_wind_speed_out_size,phys_wind_map_speed_size,phys_wind_commit_ok,phys_wind_delta_p95,phys_wind_dir_delta_p95,phys_wind_dir_flip_count,phys_daily_wind_due,phys_daily_wind_tick_idx,phys_daily_wind_season_phase,phys_daily_wind_ran,phys_daily_wind_path,phys_daily_wind_elapsed_ms,phys_daily_wind_refresh_ms,phys_daily_wind_slp_ms,phys_daily_wind_wind_ms,phys_daily_wind_fallback_reason,phys_daily_wind_slp_commit_ok,phys_daily_wind_wind_commit_ok,phys_daily_wind_wind_cpp_done,phys_daily_wind_slp_published_to_slot,phys_daily_wind_slp_delta_p95,phys_daily_wind_delta_p95,phys_daily_wind_dir_delta_p95,phys_daily_wind_dir_flip_count,phys_psi_path,phys_psi_native_ms,phys_psi_iters_run,phys_psi_residual_final,phys_psi_early_exit,phys_psi_mode,phys_ocean_delta_p95,phys_thermal_current_p95,phys_ocean_current_preclamp_p95,phys_ocean_current_preclamp_max,phys_ocean_current_clamp_count,phys_ocean_current_clamp_ratio,phys_ocean_current_max_magnitude,cell_index,q,r,s,temp_arr,temp_arr_prev,moisture_arr,moisture_arr_prev,snow_cover_arr,snow_cover_arr_prev,temp_baseline_arr,temp_30d_arr,temp_365d_arr,temp_anomaly_arr,sea_ice_frac_arr,sea_ice_frac_arr_prev,weather_intensity_arr,weather_cloud_arr,weather_cloud_water_arr,weather_precip_arr,weather_transition_alpha_arr,weather_classification_temp_arr,weather_classification_moisture_arr,weather_vapor_arr,weather_convergence_arr,weather_instability_arr,weather_field_init_arr,air_mass_temp_anomaly_arr,ocean_thermal_anomaly_arr,local_thermal_anomaly_arr,has_river_arr,river_flow_arr,river_downstream_arr,hydro_parent_arr,river_discharge_arr,river_discharge_30d_arr,river_storage_arr,groundwater_storage_arr,surface_runoff_arr,ema_initialized_arr,temp_season_offset_arr,insolation_now_arr,insolation_dev_arr,day_length_arr,heat_input_arr,thermal_energy_arr,snowpack_arr,water_balance_30d_arr,vegetation_vitality_arr,vitality_low_streak_arr,vitality_high_streak_arr,soil_moisture_arr,vegetation_growth_pressure_arr,temperature_transport_anomaly_arr,vegetation_heat_stress_arr,vegetation_drought_stress_arr,vegetation_cold_stress_arr,vegetation_regen_score_arr,elevation_arr,base_moisture_arr,ocean_current_x_arr,ocean_current_y_arr,wind_x_arr,wind_y_arr,slp_arr,wind_speed_arr,upwelling_strength_arr,wind_stress_curl_arr,ocean_psi_arr,cell_pos_x_arr,cell_pos_y_arr,cell_lat_norm_arr,temp_baseline_year_arr,terrain_arr,landform_arr,vegetation_arr,has_volcano_arr,is_lake_seed_arr,base_terrain_arr,base_landform_arr,base_vegetation_arr,cover_arr,weather_type_arr,weather_prev_type_arr,weather_target_type_arr,is_water_arr,climate_dirty_mask,weather_dirty_mask
0,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,-0.000073,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009,1,0.09319,-0.159196,-0.543623,0.83933,0.024577,1.158137,-0.15,0.079735,-0.639813,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009,1,0.193568,-0.140493,-0.246167,0.969227,0.041797,0.843719,-0.15,1.640724,-2.290202,1.732051,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
2,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,2,2,0,-2,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,-0.00006,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009,1,0.223279,-0.005678,-0.171959,-0.985104,0.032508,0.885733,-0.15,1.948465,-2.918523,3.464102,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
3,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,3,3,0,-3,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,-0.000249,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009,1,0.191696,0.041153,-0.207384,-0.97826,0.023811,0.872583,-0.15,0.95435,-2.279783,5.196152,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,4,4,0,-4,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,-0.000249,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009,1,0.153567,0.032615,0.08821,-0.996102,0.015872,0.857263,-0.15,0.995699,-1.949468,6.928203,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
5,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,5,5,0,-5,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,-0.000211,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370723,1,0.100006,0.053916,0.212144,-0.977238,0.008847,0.84574,-0.15,0.868356,-1.502951,8.660254,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
6,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,6,6,0,-6,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370723,1,0.056544,0.022349,0.171734,-0.985143,0.002872,0.829463,-0.15,0.36112,-0.894676,10.392304,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
7,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,7,7,0,-7,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370723,1,0.049595,0.024725,-0.512484,-0.858697,-0.001932,0.814049,-0.15,0.657271,-0.824446,12.124355,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
8,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,8,8,0,-8,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370723,1,0.012169,0.064152,0.270308,-0.962774,-0.005468,0.805782,-0.15,-0.292128,-0.019838,13.856406,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
9,4,206193,false,60,6.703,5.153,0.005,1.49,0,0,0,0,0,0,0,0,0,0,0.046184,0.2175,0,0,0,0,0,0.099,1.016899,0.061539,0.240069,wind_surface,true,0.285714,0,4,6,1,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,4,-1,false,0,false,false,0,0,,0.043789,4,3,0,phys_none,1,phys_slp,phys_solve,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdscript,-1,0.0645,2400,false,true,0,0,false,-1,-1,-1,-1,-1,false,0,0,0,false,-1,0,false,,-1,-1,-1,-1,,false,false,false,false,0,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,9,9,0,-9,0,0,1,1,0,0,0,0,0,0,0.398724,0.398724,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.003987,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370723,1,-0.017761,-0.016426,-0.184213,0.982886,-0.007661,0.799378,-0.15,-0.512834,0.391615,15.588457,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
