row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,climate_max_temp_delta,climate_p95_temp_delta,climate_p99_temp_delta,climate_preclamp_max_temp_delta,climate_preclamp_p99_temp_delta,climate_temp_delta_gt_005_count,climate_temp_delta_gt_010_count,climate_temp_delta_gt_020_count,climate_temp_delta_clamped_count,climate_max_transport_anomaly,climate_transport_abs_p95,climate_transport_nonzero_ratio,climate_sea_ice_delta_max,climate_precip_p95,climate_slp_delta_p95,climate_wind_delta_p95,climate_ocean_delta_p95,climate_slp_abs_p95,climate_wind_mag_p95,climate_ocean_mag_p95,climate_upwelling_abs_p95,climate_current_pass,climate_partial,climate_progress_ratio,climate_processed_cells,climate_cursor_start,climate_cursor_end,climate_round_id,climate_node_index,climate_next_node_index,climate_pass_status,climate_pass_stage,climate_pass_substage,climate_pass_path,climate_budget_interrupted,climate_pass_token,weather_dirty_count,water_budget_error,active_weather_ratio,weather_diag_present,weather_field_commit_path,weather_field_commit_publish_verified,weather_field_commit_publish_repaired,weather_field_commit_init_count,weather_field_commit_publish_reason,weather_refresh_convergence,weather_field_solve_tick,weather_commit_tick_delta,weather_last_commit_tick,weather_cold_front_count,weather_warm_front_count,weather_convergence_refresh_stride,weather_native_convergence_boost,weather_convergence_dirty_count,weather_convergence_delta_p95,weather_convergence_published,weather_target_mismatch_count,weather_transitioning_count,weather_transition_alpha_mean,weather_transition_alpha_p95,climate_thermal_finalizer_applied,climate_moisture_committed,climate_moisture_commit_path,climate_moisture_commit_slot_size,climate_moisture_commit_flush_ms,stage_b_tick_idx,stage_b_call_index,stage_b_run_veg_dyn,stage_b_veg_dyn_ms,stage_b_combined_done,stage_b_ext_ok,stage_b_total_runs,stage_b_total_fallbacks,weather_job_path,phys_phase_locked,phys_diag_tick_idx,phys_sim_day,phys_stage,phys_stage_name,phys_next_stage,phys_next_stage_name,phys_path,phys_done,phys_round_active,phys_physical_round_id,phys_visual_round_active,phys_visual_round_id,phys_visual_pending_commit,phys_visual_lag_ticks,phys_visual_pixel_progress,phys_visual_next_pixel_idx,phys_visual_total_pixels,phys_pending_commit,phys_need_pixel,phys_run_ocean,phys_phase_int_seen,phys_ticks_per_slice,phys_wind_period_ticks,phys_ocean_period_ticks,phys_slice_count,phys_next_pixel_idx,phys_total_pixels,phys_pixel_quota,phys_progress_ratio,phys_processed_pixels,phys_cursor_start,phys_cursor_end,phys_raster_requested_start,phys_raster_requested_end,phys_raster_returned_start,phys_raster_returned_end,phys_raster_pixels,phys_raster_wall_ms,phys_raster_native_ms,phys_raster_used_cpp,phys_raster_atlas_updated,phys_raster_fallback_reason,phys_raster_progress_guard_fired,phys_slp_path,phys_slp_native_ms,phys_slp_rc_ms,phys_slp_out_size,phys_slp_published_to_slot,phys_slp_commit_ok,phys_slp_thermal_p95,phys_slp_delta_p95,phys_wind_cpp_done,phys_wind_rc_ms,phys_wind_wx_size,phys_wind_wy_size,phys_wind_speed_out_size,phys_wind_map_speed_size,phys_wind_commit_ok,phys_wind_delta_p95,phys_wind_dir_delta_p95,phys_wind_dir_flip_count,phys_daily_wind_due,phys_daily_wind_tick_idx,phys_daily_wind_season_phase,phys_daily_wind_ran,phys_daily_wind_path,phys_daily_wind_elapsed_ms,phys_daily_wind_refresh_ms,phys_daily_wind_slp_ms,phys_daily_wind_wind_ms,phys_daily_wind_fallback_reason,phys_daily_wind_slp_commit_ok,phys_daily_wind_wind_commit_ok,phys_daily_wind_wind_cpp_done,phys_daily_wind_slp_published_to_slot,phys_daily_wind_slp_delta_p95,phys_daily_wind_delta_p95,phys_daily_wind_dir_delta_p95,phys_daily_wind_dir_flip_count,phys_psi_path,phys_psi_native_ms,phys_psi_iters_run,phys_psi_residual_final,phys_psi_early_exit,phys_psi_mode,phys_ocean_delta_p95,phys_thermal_current_p95,phys_ocean_current_preclamp_p95,phys_ocean_current_preclamp_max,phys_ocean_current_clamp_count,phys_ocean_current_clamp_ratio,phys_ocean_current_max_magnitude,cell_index,q,r,s,temp_arr,temp_arr_prev,moisture_arr,moisture_arr_prev,snow_cover_arr,snow_cover_arr_prev,temp_baseline_arr,temp_30d_arr,temp_365d_arr,temp_anomaly_arr,sea_ice_frac_arr,sea_ice_frac_arr_prev,weather_intensity_arr,weather_cloud_arr,weather_cloud_water_arr,weather_precip_arr,weather_transition_alpha_arr,weather_classification_temp_arr,weather_classification_moisture_arr,weather_vapor_arr,weather_convergence_arr,weather_instability_arr,weather_field_init_arr,air_mass_temp_anomaly_arr,ocean_thermal_anomaly_arr,local_thermal_anomaly_arr,has_river_arr,river_flow_arr,river_downstream_arr,hydro_parent_arr,river_discharge_arr,river_discharge_30d_arr,river_storage_arr,groundwater_storage_arr,surface_runoff_arr,ema_initialized_arr,temp_season_offset_arr,insolation_now_arr,insolation_dev_arr,day_length_arr,heat_input_arr,thermal_energy_arr,snowpack_arr,water_balance_30d_arr,vegetation_vitality_arr,vitality_low_streak_arr,vitality_high_streak_arr,soil_moisture_arr,vegetation_growth_pressure_arr,temperature_transport_anomaly_arr,vegetation_heat_stress_arr,vegetation_drought_stress_arr,vegetation_cold_stress_arr,vegetation_regen_score_arr,elevation_arr,base_moisture_arr,ocean_current_x_arr,ocean_current_y_arr,wind_x_arr,wind_y_arr,slp_arr,wind_speed_arr,upwelling_strength_arr,wind_stress_curl_arr,ocean_psi_arr,cell_pos_x_arr,cell_pos_y_arr,cell_lat_norm_arr,temp_baseline_year_arr,terrain_arr,landform_arr,vegetation_arr,has_volcano_arr,is_lake_seed_arr,base_terrain_arr,base_landform_arr,base_vegetation_arr,cover_arr,weather_type_arr,weather_prev_type_arr,weather_target_type_arr,is_water_arr,climate_dirty_mask,weather_dirty_mask
0,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.993628,0.993628,0,0.072913,0.038773,0,0,0,1,0.098522,0.352381,0.034997,1,0,0,-0.009936,0,0,-1,-1,1.091586,0.131622,0.173945,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058105,1,0.033884,-0.07789,0.997566,-0.06973,0.200168,1.391532,-0.15,0.254759,-0.408417,0,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,1,1
1,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,1,0,0,0,0,0,0,0.993702,0.993702,0,0.064162,0.0385,0,0,0,1,0.093773,0.452468,0.089749,1,-0.004112,0,-0.009937,0,0,-1,-1,0.195731,0.031885,0.03119,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058105,1,0.068918,-0.03594,0.996098,-0.088253,0.171325,0.946084,-0.15,0.875993,-1.023595,1.732051,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,1,1
2,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,2,2,0,-2,0,0,1,1,0,0,0,0,0,0,0.993802,0.993802,0,0.08461,0.038545,0,0,0,1,0.1006,0.314504,0.013796,1,-0.004092,0,-0.009938,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058105,1,0.047988,0.021153,0.942799,0.333361,0.167317,0.864824,-0.15,0.670627,-0.912334,3.464102,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,1,1
3,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,3,3,0,-3,0,0,1,1,0,0,0,0,0,0,0.99379,0.99379,0,0.099078,0.037688,0,0,0,1,0.104502,0.243496,0,1,-0.003293,0,-0.009938,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058105,1,0.015758,0.013136,0.913212,0.407484,0.168418,0.860016,-0.15,0.390561,-0.566426,5.196152,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,1,1
4,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,4,4,0,-4,0,0,1,1,0,0,0,0,0,0,0.993762,0.993762,0,0.106547,0.036776,0,0,0,1,0.10735,0.193471,0,1,-0.00168,0,-0.009938,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058105,1,0.009861,-0.017463,0.917257,0.398296,0.169069,0.872842,-0.15,0.379042,-0.471343,6.928203,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,1,1
5,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,5,5,0,-5,0,0,1,1,0,0,0,0,0,0,0.993723,0.993723,0,0.10016,0.03701,0,0,0,1,0.105517,0.236447,0,1,-0.003364,0,-0.009937,0,0,-1,-1,0.2818,0.044283,0.044905,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046385,1,0.023612,-0.037083,0.941643,0.336613,0.16996,0.881,-0.15,0.531457,-0.630017,8.660254,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,1,1
6,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,6,6,0,-6,0,0,1,1,0,0,0,0,0,0,0.993686,0.993686,0,0.088621,0.037295,0,0,0,1,0.102897,0.295611,0,1,-0.004985,0,-0.009937,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033615,1,0.046793,-0.043149,0.978409,0.206677,0.171163,0.882482,-0.15,0.700236,-0.895687,10.392304,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,7,7,0,-7,0,0,1,1,0,0,0,0,0,0,0.993674,0.993674,0,0.075475,0.037282,0,0,0,1,0.100449,0.353081,0.028613,1,-0.006095,0,-0.009937,0,0,-1,-1,3.339405,0.280646,0.532135,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021895,1,0.070379,-0.035339,0.982878,0.184258,0.172552,0.882171,-0.15,0.82227,-1.146513,12.124355,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,8,8,0,-8,0,0,1,1,0,0,0,0,0,0,0.993687,0.993687,0,0.07154,0.037801,0,0,0,1,0.099162,0.369444,0.041148,1,-0.006342,0,-0.009937,0,0,-1,-1,0.59685,0.083482,0.095108,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033615,1,0.087502,-0.025593,0.972847,0.231449,0.17408,0.883678,-0.15,0.811441,-1.278646,13.856406,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9,32,82179,false,60,5.287,3.3,0.011,1.866,0,0,0,0,0,0,0,0,0,0,0.166518,0.475,0,0.042055,0,0,0,0.174098,1.592339,0.111701,0.223788,wind_surface,true,0.285714,0,4,6,4,6,6,partial,wind_surface,wind_surface_knobs,gdext_native_daily_slice,false,0,0,0,0,true,,false,false,0,,false,-1,0,-1,0,0,0,false,0,0,false,0,0,0,0,false,false,,0,0,32,-1,false,0,false,false,0,0,,0.043773,32,3,1,phys_slp,2,phys_wind,gdext,false,true,1,false,0,false,0,1,0,620544,false,false,true,0,4,6,60,16,0,620544,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,false,false,,false,gdext,0.2249,0.2249,2400,true,true,0.081354,0.054774,true,0.4163,2400,2400,2400,2400,true,0.617564,0.551275,0,true,30,0.328695,true,gdext_daily_wind_slp,0.581,0.031,0.289,-1,,true,false,false,true,0.018701,0,0,0,gdscript,-1,0,0,false,off,0,0,0,0,0,0,0,9,9,0,-9,0,0,1,1,0,0,0,0,0,0,0.993724,0.993724,0,0.077661,0.038202,0,0,0,1,0.099921,0.343865,0.030205,1,-0.005737,0,-0.009937,0,0,-1,-1,0.814333,0.106257,0.129764,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046385,1,0.10121,-0.021454,0.968309,0.249755,0.175598,0.883139,-0.15,0.786314,-1.355996,15.588457,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,1,1
