=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3255,0,0.146504,0.097834,-0.32,1,0.02705,0.048611
3257,0,0.146504,0.097834,-0.32,1,0.02705,0.048611
3259,0,0.146504,0.097834,-0.32,1,0.02705,0.048611
3261,0,0.141621,0.097566,-0.254241,1,0.02705,0.048611
3263,0,0.141621,0.097566,-0.254241,1,0.02705,0.048611
3265,0,0.141621,0.097566,-0.254241,1,0.02705,0.048611
3267,0,0.141621,0.097566,-0.254241,1,0.02705,0.048611
3269,0.50705,0.153801,0.098688,0.48,1,0.02705,0.048611
3271,0.50705,0.153801,0.098688,0.48,0,0.02705,0.048611
3273,0.50705,0.153801,0.098688,0.48,0,0.02705,0.048611
3275,0.482821,0.153801,0.098688,0.48,0,0.02705,0.048611
3277,0.457026,0.153801,0.098688,0.48,0,0.02705,0.048611
3279,0.309591,0.159851,0.099336,0.308231,0,0.02705,0.048611
3281,0.309591,0.159851,0.099336,0.308231,0,0.02705,0.048611
3283,0.080563,0.159851,0.099336,0.308231,0,0.02705,0.048611
3285,0.080563,0.159851,0.099336,0.308231,0,0.02705,0.048611
3287,0,0.154522,0.099064,-0.32,0,0.02705,0.048611
3289,0,0.154522,0.099064,-0.32,1,0.02705,0.048611
3291,0,0.154522,0.099064,-0.32,1,0.02705,0.048611
3293,0,0.154522,0.099064,-0.32,1,0.02705,0.048611
3295,0,0.154522,0.099064,-0.32,1,0.02705,0.048611
3297,0,0.149372,0.098793,-0.32,1,0.02705,0.048611
3299,0,0.149372,0.098793,-0.32,1,0.02705,0.048611
3301,0,0.149372,0.098793,-0.32,1,0.02705,0.048611
3303,0,0.149372,0.098793,-0.32,1,0.02705,0.048611
3305,0,0.144393,0.098522,-0.252281,1,0.02705,0.048611
3307,0,0.144393,0.098522,-0.252281,1,0.02705,0.048611
3309,0,0.144393,0.098522,-0.252281,1,0.02705,0.048611
3311,0,0.144393,0.098522,-0.252281,1,0.02705,0.048611
3313,0,0.144393,0.098522,-0.252281,1,0.02705,0.048611
3315,0.50705,0.156481,0.099641,0.48,1,0.02705,0.048611
3317,0.50705,0.156481,0.099641,0.48,1,0.02705,0.048611
3319,0.482771,0.156481,0.099641,0.48,0,0.02705,0.048611
3321,0.482771,0.156481,0.099641,0.48,0,0.02705,0.048611
3323,0.335708,0.162455,0.100288,0.308658,0,0.02705,0.048611
3325,0.310004,0.162455,0.100288,0.308658,0,0.02705,0.048611
3327,0.194571,0.162455,0.100288,0.308658,0,0.02705,0.048611
3329,0,0.162455,0.100288,0.308658,0,0.02705,0.048611
3331,0,0.162455,0.100288,0.308658,1,0.02705,0.048611
3333,0,0.15704,0.100013,-0.32,1,0.02705,0.048611
3335,0,0.15704,0.100013,-0.32,1,0.02705,0.048611
3337,0,0.15704,0.100013,-0.32,1,0.02705,0.048611
3339,0,0.15704,0.100013,-0.32,1,0.02705,0.048611
3341,0,0.151806,0.099739,-0.32,1,0.02705,0.048611
3343,0,0.151806,0.099739,-0.32,1,0.02705,0.048611
3345,0,0.151806,0.099739,-0.32,1,0.02705,0.048611
3347,0,0.151806,0.099739,-0.32,1,0.02705,0.048611
3349,0,0.151806,0.099739,-0.32,1,0.02705,0.048611
3351,0,0.146745,0.099466,-0.258858,1,0.02705,0.048611
3353,0,0.146745,0.099466,-0.258858,1,0.02705,0.048611
3355,0,0.146745,0.099466,-0.258858,1,0.02705,0.048611
