=== ping-pong ������ (cells 69,70,130,131; tick 515..535) ===
 tick_idx  cell_index  temp_arr  temp_arr_prev  weather_precip_arr  weather_transition_alpha_arr  insolation_now_arr  cell_lat_norm_arr  weather_type_arr  weather_prev_type_arr  weather_target_type_arr  is_water_arr
      518          69  0.155849       0.095803            0.015969                          1.00            0.969237           0.025641                 0                      3                        0             0
      519          69  0.213669       0.155849            0.015969                          1.00            1.000000           0.025641                 0                      3                        0             0
      520          69  0.148669       0.155849            0.015969                          1.00            1.000000           0.025641                 0                      3                        0             0
      521          69  0.148669       0.155849            0.015969                          1.00            1.000000           0.025641                 0                      3                        0             0
      522          69  0.148669       0.155849            0.023555                          1.00            1.000000           0.025641                 0                      3                        0             0
      523          69  0.148669       0.155849            0.023555                          1.00            1.000000           0.025641                 0                      3                        0             0
      524          69  0.148669       0.155849            0.023555                          1.00            1.000000           0.025641                 0                      3                        0             0
      525          69  0.148669       0.155849            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      526          69  0.148669       0.155849            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      527          69  0.162596       0.155849            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      528          69  0.225384       0.155849            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      529          69  0.225384       0.155849            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      530          69  0.254460       0.225384            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      531          69  0.189460       0.225384            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      532          69  0.189460       0.225384            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      533          69  0.189460       0.225384            0.030954                          1.00            1.000000           0.025641                 0                      3                        0             0
      534          69  0.189460       0.225384            0.047222                          0.35            1.000000           0.025641                 0                      0                        3             0
      535          69  0.189460       0.225384            0.047222                          0.70            1.000000           0.025641                 0                      0                        3             0
      518          70  0.104748       0.061098            0.008447                          1.00            0.969237           0.025641                 0                      5                        0             0
      519          70  0.219418       0.104748            0.008447                          1.00            1.000000           0.025641                 0                      5                        0             0
      520          70  0.154418       0.104748            0.008447                          1.00            1.000000           0.025641                 0                      5                        0             0
      521          70  0.154418       0.104748            0.008447                          1.00            1.000000           0.025641                 0                      5                        0             0
      522          70  0.154418       0.104748            0.021926                          1.00            1.000000           0.025641                 0                      5                        0             0
      523          70  0.154418       0.104748            0.021926                          1.00            1.000000           0.025641                 0                      5                        0             0
      524          70  0.154418       0.104748            0.021926                          1.00            1.000000           0.025641                 0                      5                        0             0
      525          70  0.154418       0.104748            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      526          70  0.154418       0.104748            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      527          70  0.118084       0.104748            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      528          70  0.148822       0.104748            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      529          70  0.148822       0.104748            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      530          70  0.259692       0.148822            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      531          70  0.194692       0.148822            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      532          70  0.194692       0.148822            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      533          70  0.194692       0.148822            0.024930                          1.00            1.000000           0.025641                 0                      5                        0             0
      534          70  0.194692       0.148822            0.041034                          1.00            1.000000           0.025641                 0                      5                        0             0
      535          70  0.194692       0.148822            0.041034                          1.00            1.000000           0.025641                 0                      5                        0             0
      518         130  0.155542       0.096951            0.018550                          1.00            0.959798           0.051282                 0                      5                        0             0
      519         130  0.210234       0.155542            0.018550                          1.00            1.000000           0.051282                 0                      5                        0             0
      520         130  0.145234       0.155542            0.018550                          1.00            1.000000           0.051282                 0                      5                        0             0
      521         130  0.145234       0.155542            0.018550                          1.00            1.000000           0.051282                 0                      5                        0             0
      522         130  0.145234       0.155542            0.031001                          1.00            1.000000           0.051282                 0                      5                        0             0
      523         130  0.145234       0.155542            0.031001                          1.00            1.000000           0.051282                 0                      5                        0             0
      524         130  0.145234       0.155542            0.031001                          1.00            1.000000           0.051282                 0                      5                        0             0
      525         130  0.145234       0.155542            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      526         130  0.145234       0.155542            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      527         130  0.163053       0.155542            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      528         130  0.218669       0.155542            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      529         130  0.218669       0.155542            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      530         130  0.250918       0.218669            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      531         130  0.185918       0.218669            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      532         130  0.185918       0.218669            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      533         130  0.185918       0.218669            0.036311                          1.00            1.000000           0.051282                 0                      5                        0             0
      534         130  0.185918       0.218669            0.044157                          1.00            1.000000           0.051282                 0                      5                        0             0
      535         130  0.185918       0.218669            0.044157                          1.00            1.000000           0.051282                 0                      5                        0             0
      518         131  0.118058       0.070697            0.006979                          1.00            0.959798           0.051282                 0                      0                        0             0
      519         131  0.216983       0.118058            0.006979                          1.00            1.000000           0.051282                 0                      0                        0             0
      520         131  0.151983       0.118058            0.006979                          1.00            1.000000           0.051282                 0                      0                        0             0
      521         131  0.151983       0.118058            0.006979                          1.00            1.000000           0.051282                 0                      0                        0             0
      522         131  0.151983       0.118058            0.014416                          1.00            1.000000           0.051282                 0                      0                        0             0
