frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25255,1.483,237,false,1,237,235,2,0,0,235,257,2.8279,0.0013,0,0
1,25257,1.61,237,false,1,237,235,2,0,0,235,257,2.8279,0.0013,0,0
2,25262,5.288,237,false,1,237,235,2,0,0,236,257,2.8279,0.0013,0,0
3,25269,7.034,238,true,2,238,236,2,0,0,236,257,2.0198,0.0016,0,0
4,25276,6.773,238,false,2,238,236,2,0,0,236,257,2.0198,0.0016,0,0
5,25283,6.895,238,false,2,238,236,2,0,0,236,257,2.0198,0.0016,0,0
6,25290,6.916,239,true,2,239,237,2,0,0,237,257,1.7925,0.001,0,0
7,25297,6.883,239,false,2,239,237,2,0,0,237,257,1.7925,0.001,0,0
8,25304,6.951,239,false,2,239,237,2,0,0,238,257,1.7925,0.001,0,0
9,25311,7.153,240,true,2,240,238,2,0,0,238,257,2.0886,0.0013,0,0
10,25317,6.609,240,false,2,240,238,2,0,0,238,257,2.0886,0.0013,0,0
11,25324,6.92,240,false,2,240,238,2,0,0,238,257,2.0886,0.0013,0,0
12,25332,7.287,241,true,2,241,239,2,0,0,239,257,2.8177,0.0017,0,0
13,25338,6.526,241,false,2,241,239,2,0,0,239,257,2.8177,0.0017,0,0
14,25345,6.858,241,false,2,242,239,3,0,0,239,257,2.8177,0.0017,0,0
15,25352,6.926,241,false,2,242,239,3,0,0,240,257,1.8299,0.001,0,0
16,25359,6.865,242,true,2,242,240,2,0,0,240,257,1.8299,0.001,0,0
17,25366,6.908,242,false,2,243,240,3,0,0,241,257,1.8299,0.001,0,0
18,25373,6.922,243,true,2,243,241,2,0,0,241,257,2.1255,0.001,0,0
19,25379,6.871,243,false,2,243,241,2,0,0,241,257,2.1255,0.001,0,0
20,25386,6.916,244,true,2,244,242,2,0,0,242,257,1.8171,0.001,0,0
21,25393,6.896,244,false,2,244,242,2,0,0,242,257,1.8171,0.001,0,0
22,25400,6.896,244,false,2,244,242,2,0,0,242,257,1.8171,0.001,0,0
23,25408,7.724,245,true,2,245,243,2,0,0,243,257,2.8912,0.0014,0,0
24,25414,6.068,245,false,2,245,243,2,0,0,243,257,2.8912,0.0014,0,0
25,25421,6.923,245,false,2,245,243,2,0,0,243,257,2.8912,0.0014,0,0
26,25428,6.877,246,true,2,246,244,2,0,0,244,257,1.9523,0.0011,0,0
27,25435,6.934,246,false,2,246,244,2,0,0,244,257,1.9523,0.0011,0,0
28,25442,6.871,246,false,2,246,244,2,0,0,244,257,1.9523,0.0011,0,0
29,25449,6.893,247,true,2,247,245,2,0,0,245,257,2.4534,0.0009,0,0
30,25455,6.943,247,false,2,247,245,2,0,0,245,257,2.4534,0.0009,0,0
31,25462,6.863,247,false,2,247,245,2,0,0,245,257,2.4534,0.0009,0,0
