frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,26341,3.041,238,false,1,238,236,2,0,0,236,27,1.921,0.0014,0,0
1,26348,6.995,238,false,1,238,236,2,0,0,236,27,1.921,0.0014,0,0
2,26356,7.966,239,true,2,239,237,2,0,0,237,27,1.9811,0.0014,0,0
3,26361,5.736,239,false,2,239,237,2,0,0,237,27,1.9811,0.0014,0,0
4,26368,6.938,239,false,2,239,237,2,0,0,237,27,1.9811,0.0014,0,0
5,26376,7.615,240,true,2,240,238,2,0,0,238,27,1.9415,0.0011,0,0
6,26382,6.192,240,false,2,240,238,2,0,0,238,27,1.9415,0.0011,0,0
7,26389,6.86,240,false,2,240,238,2,0,0,238,27,1.9415,0.0011,0,0
8,26397,8.212,241,true,3,241,239,2,0,0,239,27,3.0413,0.0015,0,0
9,26403,5.637,241,false,3,241,239,2,0,0,239,27,3.0413,0.0015,0,0
10,26410,6.847,241,false,3,241,239,2,0,0,239,27,3.0413,0.0015,0,0
11,26418,7.934,242,true,2,242,240,2,0,0,240,27,1.9826,0.0012,0,0
12,26424,5.864,242,false,2,242,240,2,0,0,240,27,1.9826,0.0012,0,0
13,26430,6.944,242,false,2,242,240,2,0,0,240,27,1.9826,0.0012,0,0
14,26439,8.626,243,true,3,243,241,2,0,0,241,27,2.1318,0.0011,0,0
15,26444,5.136,243,false,3,243,241,2,0,0,241,27,2.1318,0.0011,0,0
16,26451,6.929,243,false,3,243,241,2,0,0,241,27,2.1318,0.0011,0,0
17,26459,7.634,244,true,2,244,242,2,0,0,242,27,2.0259,0.0011,0,0
18,26465,6.171,244,false,2,244,242,2,0,0,242,27,2.0259,0.0011,0,0
19,26472,6.872,244,false,2,244,242,2,0,0,242,27,2.0259,0.0011,0,0
20,26480,8.167,245,true,2,245,243,2,0,0,243,27,2.8433,0.0011,0,0
21,26486,5.668,245,false,2,245,243,2,0,0,243,27,2.8433,0.0011,0,0
22,26492,6.856,245,false,2,245,243,2,0,0,243,27,2.8433,0.0011,0,0
23,26500,7.639,246,true,2,246,244,2,0,0,244,27,2.4558,0.0018,0,0
24,26506,6.191,246,false,2,246,244,2,0,0,244,27,2.4558,0.0018,0,0
25,26513,6.86,246,false,2,247,244,3,0,0,244,27,2.4558,0.0018,0,0
26,26520,6.955,246,false,2,247,244,3,0,0,245,27,2.4742,0.0013,0,0
27,26527,6.851,247,true,2,247,245,2,0,0,245,27,2.4742,0.0013,0,0
